Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 6933ms | tok/sec: 75,626 | mfu: 1.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.843984 | lrm: 1.00 | dt: 306ms | tok/sec: 1,712,358 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.466777 | lrm: 1.00 | dt: 309ms | tok/sec: 1,695,139 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.008159 | lrm: 1.00 | dt: 373ms | tok/sec: 1,405,857 | mfu: 34.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.628561 | lrm: 1.00 | dt: 406ms | tok/sec: 1,292,157 | mfu: 31.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.290846 | lrm: 1.00 | dt: 342ms | tok/sec: 1,531,062 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.033442 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,590 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.819242 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,126 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.635794 | lrm: 1.00 | dt: 342ms | tok/sec: 1,532,031 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.480478 | lrm: 1.00 | dt: 332ms | tok/sec: 1,578,795 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.347810 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,593 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.237019 | lrm: 1.00 | dt: 361ms | tok/sec: 1,453,430 | mfu: 35.1% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.138481 | lrm: 1.00 | dt: 333ms | tok/sec: 1,574,596 | mfu: 38.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.050632 | lrm: 1.00 | dt: 374ms | tok/sec: 1,403,486 | mfu: 33.9% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 5.976630 | lrm: 1.00 | dt: 387ms | tok/sec: 1,356,248 | mfu: 32.8% | epoch: 1 | remaining: 299s    
step 00015 (0.5%) | loss: 5.910127 | lrm: 1.00 | dt: 356ms | tok/sec: 1,471,058 | mfu: 35.5% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 5.853093 | lrm: 1.00 | dt: 316ms | tok/sec: 1,661,624 | mfu: 40.1% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.797981 | lrm: 1.00 | dt: 348ms | tok/sec: 1,507,774 | mfu: 36.4% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.748370 | lrm: 1.00 | dt: 439ms | tok/sec: 1,194,287 | mfu: 28.9% | epoch: 1 | remaining: 297s    
step 00019 (1.0%) | loss: 5.702227 | lrm: 1.00 | dt: 310ms | tok/sec: 1,692,960 | mfu: 40.9% | epoch: 1 | remaining: 297s    
step 00020 (1.1%) | loss: 5.659937 | lrm: 1.00 | dt: 312ms | tok/sec: 1,681,870 | mfu: 40.6% | epoch: 1 | remaining: 296s    
step 00021 (1.2%) | loss: 5.620587 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,893 | mfu: 38.6% | epoch: 1 | remaining: 296s    
step 00022 (1.3%) | loss: 5.586075 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,436 | mfu: 39.2% | epoch: 1 | remaining: 296s    
step 00023 (1.4%) | loss: 5.550182 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,265 | mfu: 38.9% | epoch: 1 | remaining: 295s    
step 00024 (1.5%) | loss: 5.515700 | lrm: 1.00 | dt: 367ms | tok/sec: 1,428,135 | mfu: 34.5% | epoch: 1 | remaining: 295s    
step 00025 (1.6%) | loss: 5.484124 | lrm: 1.00 | dt: 313ms | tok/sec: 1,677,461 | mfu: 40.5% | epoch: 1 | remaining: 295s    
step 00026 (1.7%) | loss: 5.454439 | lrm: 1.00 | dt: 315ms | tok/sec: 1,663,429 | mfu: 40.2% | epoch: 1 | remaining: 294s    
step 00027 (1.8%) | loss: 5.425893 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,988 | mfu: 38.7% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.400092 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,166 | mfu: 39.8% | epoch: 1 | remaining: 294s    
step 00029 (2.1%) | loss: 5.373001 | lrm: 1.00 | dt: 314ms | tok/sec: 1,668,387 | mfu: 40.3% | epoch: 1 | remaining: 294s    
step 00030 (2.2%) | loss: 5.343969 | lrm: 1.00 | dt: 325ms | tok/sec: 1,615,584 | mfu: 39.0% | epoch: 1 | remaining: 293s    
step 00031 (2.3%) | loss: 5.316568 | lrm: 1.00 | dt: 320ms | tok/sec: 1,636,433 | mfu: 39.5% | epoch: 1 | remaining: 293s    
step 00032 (2.4%) | loss: 5.291658 | lrm: 1.00 | dt: 314ms | tok/sec: 1,668,321 | mfu: 40.3% | epoch: 1 | remaining: 293s    
