run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	0	a0	0	ok	1.000827	0.996598	0.32492839999999995
2	0	a1	0	ok	1.001233	0.996598	0.2412184
3	0	a2	0	ok	1.001242	0.996598	0.2445286
4	0	a3	0	crash		0.996598	0.14183140000000002
5	0	a4	0	ok	1.003033	0.996598	0.2261839
6	0	a5	0	ok	1.014117	0.996598	0.3484522
7	1	a0	0	ok	1.013573	0.996598	0.2373027
8	1	a1	0	ok	1.013691	0.996598	0.31041009999999997
9	1	a2	0	ok	0.9957	0.9957	0.6595565999999998
10	1	a3	0	ok	1.003531	0.9957	0.30224170000000006
11	1	a4	0	crash		0.9957	0.4302540999999999
12	1	a5	0	ok	1.011091	0.9957	0.5247335999999999
13	2	a0	0	ok	0.997575	0.9957	0.38020859999999995
14	2	a1	0	ok	0.9957	0.9957	0.2296738
15	2	a2	0	ok	0.9957	0.9957	0.305839
16	2	a3	0	ok	0.998086	0.9957	0.21882110000000005
17	2	a4	0	ok	0.998619	0.9957	0.43336359999999996
18	2	a5	0	ok	0.997399	0.9957	0.33744140000000006
19	3	a0	0	ok	0.9957	0.9957	0.340791
20	3	a1	0	ok	0.996608	0.9957	0.24595759999999997
21	3	a2	0	ok	0.996307	0.9957	0.3771592999999999
22	3	a3	0	ok	0.996264	0.9957	0.38558549999999997
23	3	a4	0	ok	0.99682	0.9957	0.46077310000000005
24	3	a5	0	ok	0.995688	0.995688	0.3625325
25	4	a0	0	ok	0.995688	0.995688	0.4154821
26	4	a1	0	crash		0.995688	0.6386030000000003
27	4	a2	0	ok	0.994321	0.994321	0.29477090000000006
28	4	a3	0	ok	0.994884	0.994321	0.2332888
29	4	a4	0	ok	0.995688	0.994321	0.4962880499999999
30	4	a5	0	ok	0.994333	0.994321	0.24230314999999997
31	5	a0	0	ok	0.994321	0.994321	0.0
32	5	a1	0	ok	0.994321	0.994321	0.0
33	5	a2	0	ok	0.994321	0.994321	0.0
34	5	a3	0	ok	0.994321	0.994321	0.0
35	5	a4	0	ok	0.994321	0.994321	0.0
36	5	a5	0	ok	0.994321	0.994321	0.0
