Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 6860ms | tok/sec: 76,428 | mfu: 1.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.850942 | lrm: 1.00 | dt: 314ms | tok/sec: 1,672,014 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.440363 | lrm: 1.00 | dt: 314ms | tok/sec: 1,667,655 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.972471 | lrm: 1.00 | dt: 353ms | tok/sec: 1,483,633 | mfu: 35.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.570699 | lrm: 1.00 | dt: 370ms | tok/sec: 1,418,269 | mfu: 34.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.241245 | lrm: 1.00 | dt: 339ms | tok/sec: 1,547,326 | mfu: 37.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.988445 | lrm: 1.00 | dt: 330ms | tok/sec: 1,590,675 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.774849 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,680 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.594252 | lrm: 1.00 | dt: 341ms | tok/sec: 1,538,599 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.442440 | lrm: 1.00 | dt: 330ms | tok/sec: 1,587,343 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.313033 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,962 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.205254 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,482 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.111430 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,936 | mfu: 39.5% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.028431 | lrm: 1.00 | dt: 357ms | tok/sec: 1,468,711 | mfu: 35.5% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.957463 | lrm: 1.00 | dt: 350ms | tok/sec: 1,499,390 | mfu: 36.2% | epoch: 1 | remaining: 299s    
step 00015 (0.5%) | loss: 5.891944 | lrm: 1.00 | dt: 390ms | tok/sec: 1,343,856 | mfu: 32.5% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 5.834538 | lrm: 1.00 | dt: 316ms | tok/sec: 1,659,844 | mfu: 40.1% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.778644 | lrm: 1.00 | dt: 320ms | tok/sec: 1,639,595 | mfu: 39.6% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.728160 | lrm: 1.00 | dt: 339ms | tok/sec: 1,544,466 | mfu: 37.3% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.680749 | lrm: 1.00 | dt: 333ms | tok/sec: 1,575,706 | mfu: 38.1% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.637217 | lrm: 1.00 | dt: 345ms | tok/sec: 1,521,592 | mfu: 36.8% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.595570 | lrm: 1.00 | dt: 344ms | tok/sec: 1,524,675 | mfu: 36.8% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.557359 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,434 | mfu: 38.6% | epoch: 1 | remaining: 296s    
step 00023 (1.4%) | loss: 5.517319 | lrm: 1.00 | dt: 353ms | tok/sec: 1,484,593 | mfu: 35.9% | epoch: 1 | remaining: 296s    
step 00024 (1.5%) | loss: 5.479282 | lrm: 1.00 | dt: 343ms | tok/sec: 1,527,153 | mfu: 36.9% | epoch: 1 | remaining: 295s    
step 00025 (1.6%) | loss: 5.443274 | lrm: 1.00 | dt: 333ms | tok/sec: 1,573,749 | mfu: 38.0% | epoch: 1 | remaining: 295s    
step 00026 (1.7%) | loss: 5.409354 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,603 | mfu: 39.1% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 5.377958 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,785 | mfu: 38.7% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.348133 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,253 | mfu: 39.0% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.315959 | lrm: 1.00 | dt: 356ms | tok/sec: 1,474,688 | mfu: 35.6% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.281991 | lrm: 1.00 | dt: 323ms | tok/sec: 1,624,984 | mfu: 39.3% | epoch: 1 | remaining: 293s    
step 00031 (2.3%) | loss: 5.249566 | lrm: 1.00 | dt: 325ms | tok/sec: 1,615,018 | mfu: 39.0% | epoch: 1 | remaining: 293s    
step 00032 (2.4%) | loss: 5.219471 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,492 | mfu: 38.3% | epoch: 1 | remaining: 293s    
step 00033 (2.5%) | loss: 5.191149 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,730 | mfu: 39.4% | epoch: 1 | remaining: 292s    
step 00034 (2.6%) | loss: 5.157235 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,300 | mfu: 38.8% | epoch: 1 | remaining: 292s    
step 00035 (2.7%) | loss: 5.127215 | lrm: 1.00 | dt: 330ms | tok/sec: 1,589,929 | mfu: 38.4% | epoch: 1 | remaining: 292s    
step 00036 (2.8%) | loss: 5.097657 | lrm: 1.00 | dt: 348ms | tok/sec: 1,508,508 | mfu: 36.4% | epoch: 1 | remaining: 291s    
step 00037 (2.9%) | loss: 5.068415 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,147 | mfu: 39.8% | epoch: 1 | remaining: 291s    
step 00038 (3.0%) | loss: 5.038125 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,089 | mfu: 39.0% | epoch: 1 | remaining: 291s    
step 00039 (3.1%) | loss: 5.009417 | lrm: 1.00 | dt: 334ms | tok/sec: 1,571,451 | mfu: 38.0% | epoch: 1 | remaining: 290s    
step 00040 (3.2%) | loss: 4.979555 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,300 | mfu: 39.5% | epoch: 1 | remaining: 290s    
step 00041 (3.3%) | loss: 4.950049 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,504 | mfu: 38.8% | epoch: 1 | remaining: 290s    
step 00042 (3.5%) | loss: 4.922555 | lrm: 1.00 | dt: 332ms | tok/sec: 1,579,360 | mfu: 38.2% | epoch: 1 | remaining: 289s    
step 00043 (3.6%) | loss: 4.893773 | lrm: 1.00 | dt: 332ms | tok/sec: 1,580,544 | mfu: 38.2% | epoch: 1 | remaining: 289s    
step 00044 (3.7%) | loss: 4.866774 | lrm: 1.00 | dt: 381ms | tok/sec: 1,376,008 | mfu: 33.2% | epoch: 1 | remaining: 289s    
step 00045 (3.8%) | loss: 4.838575 | lrm: 1.00 | dt: 344ms | tok/sec: 1,523,894 | mfu: 36.8% | epoch: 1 | remaining: 288s    
step 00046 (3.9%) | loss: 4.809463 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,826 | mfu: 39.6% | epoch: 1 | remaining: 288s    
step 00047 (4.0%) | loss: 4.771917 | lrm: 1.00 | dt: 433ms | tok/sec: 1,210,217 | mfu: 29.2% | epoch: 1 | remaining: 287s    
step 00048 (4.2%) | loss: 4.747460 | lrm: 1.00 | dt: 361ms | tok/sec: 1,450,864 | mfu: 35.1% | epoch: 1 | remaining: 287s    
step 00049 (4.3%) | loss: 4.716281 | lrm: 1.00 | dt: 320ms | tok/sec: 1,639,857 | mfu: 39.6% | epoch: 1 | remaining: 287s    
step 00050 (4.4%) | loss: 4.683659 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,436 | mfu: 38.7% | epoch: 1 | remaining: 286s    
step 00051 (4.5%) | loss: 4.656056 | lrm: 1.00 | dt: 349ms | tok/sec: 1,501,118 | mfu: 36.3% | epoch: 1 | remaining: 286s    
step 00052 (4.6%) | loss: 4.628322 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,751 | mfu: 39.2% | epoch: 1 | remaining: 286s    
step 00053 (4.7%) | loss: 4.602056 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,276 | mfu: 39.4% | epoch: 1 | remaining: 285s    
step 00054 (4.8%) | loss: 4.573862 | lrm: 1.00 | dt: 333ms | tok/sec: 1,572,749 | mfu: 38.0% | epoch: 1 | remaining: 285s    
