Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 37,748,736
  lm_head                 : 6,291,456
  transformer_matrices    : 56,624,256
  scalars                 : 16
  total                   : 106,955,920
Estimated FLOPs per token: 4.293988e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011235 | lrm: 1.00 | dt: 7209ms | tok/sec: 36,361 | mfu: 1.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.831670 | lrm: 1.00 | dt: 256ms | tok/sec: 1,025,738 | mfu: 44.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.387415 | lrm: 1.00 | dt: 261ms | tok/sec: 1,002,944 | mfu: 43.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.903734 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,622 | mfu: 43.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.503420 | lrm: 1.00 | dt: 287ms | tok/sec: 914,338 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.182559 | lrm: 1.00 | dt: 263ms | tok/sec: 995,040 | mfu: 43.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.938028 | lrm: 1.00 | dt: 258ms | tok/sec: 1,014,156 | mfu: 44.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.735162 | lrm: 1.00 | dt: 270ms | tok/sec: 969,872 | mfu: 42.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.568489 | lrm: 1.00 | dt: 273ms | tok/sec: 960,082 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.429548 | lrm: 1.00 | dt: 267ms | tok/sec: 982,710 | mfu: 42.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.315871 | lrm: 1.00 | dt: 265ms | tok/sec: 989,462 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.213804 | lrm: 1.00 | dt: 273ms | tok/sec: 958,937 | mfu: 41.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.121532 | lrm: 1.00 | dt: 267ms | tok/sec: 982,026 | mfu: 42.6% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.044611 | lrm: 1.00 | dt: 265ms | tok/sec: 988,708 | mfu: 42.9% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.975164 | lrm: 1.00 | dt: 266ms | tok/sec: 986,930 | mfu: 42.8% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.908608 | lrm: 1.00 | dt: 271ms | tok/sec: 966,064 | mfu: 41.9% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 5.847768 | lrm: 1.00 | dt: 270ms | tok/sec: 972,569 | mfu: 42.2% | epoch: 1 | remaining: 298s    
step 00017 (0.5%) | loss: 5.788763 | lrm: 1.00 | dt: 266ms | tok/sec: 984,689 | mfu: 42.7% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 5.735348 | lrm: 1.00 | dt: 269ms | tok/sec: 972,811 | mfu: 42.2% | epoch: 1 | remaining: 298s    
step 00019 (0.7%) | loss: 5.682659 | lrm: 1.00 | dt: 274ms | tok/sec: 958,361 | mfu: 41.6% | epoch: 1 | remaining: 298s    
step 00020 (0.8%) | loss: 5.632498 | lrm: 1.00 | dt: 267ms | tok/sec: 980,301 | mfu: 42.5% | epoch: 1 | remaining: 297s    
step 00021 (0.9%) | loss: 5.584657 | lrm: 1.00 | dt: 269ms | tok/sec: 974,498 | mfu: 42.3% | epoch: 1 | remaining: 297s    
step 00022 (1.0%) | loss: 5.541116 | lrm: 1.00 | dt: 269ms | tok/sec: 975,916 | mfu: 42.4% | epoch: 1 | remaining: 297s    
step 00023 (1.1%) | loss: 5.498201 | lrm: 1.00 | dt: 272ms | tok/sec: 962,364 | mfu: 41.8% | epoch: 1 | remaining: 297s    
step 00024 (1.2%) | loss: 5.457152 | lrm: 1.00 | dt: 267ms | tok/sec: 982,362 | mfu: 42.6% | epoch: 1 | remaining: 296s    
step 00025 (1.3%) | loss: 5.415545 | lrm: 1.00 | dt: 268ms | tok/sec: 977,662 | mfu: 42.4% | epoch: 1 | remaining: 296s    
step 00026 (1.3%) | loss: 5.374897 | lrm: 1.00 | dt: 269ms | tok/sec: 974,861 | mfu: 42.3% | epoch: 1 | remaining: 296s    
step 00027 (1.4%) | loss: 5.336662 | lrm: 1.00 | dt: 269ms | tok/sec: 975,869 | mfu: 42.3% | epoch: 1 | remaining: 295s    
step 00028 (1.5%) | loss: 5.302602 | lrm: 1.00 | dt: 267ms | tok/sec: 981,291 | mfu: 42.6% | epoch: 1 | remaining: 295s    
step 00029 (1.6%) | loss: 5.267056 | lrm: 1.00 | dt: 272ms | tok/sec: 962,680 | mfu: 41.8% | epoch: 1 | remaining: 295s    
step 00030 (1.7%) | loss: 5.226887 | lrm: 1.00 | dt: 269ms | tok/sec: 973,704 | mfu: 42.3% | epoch: 1 | remaining: 295s    
