run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	1	a2	0	ok	0.993369	0.993369	0.0
2	1	a5	0	ok	0.996937	0.993369	0.0
3	2	a4	0	ok	1.002711	0.993369	0.0
4	3	a1	0	ok	0.998188	0.993369	0.0
5	4	a0	0	ok	0.997722	0.993369	0.0
6	5	a2	0	ok	1.002563	0.993369	0.0
7	6	a5	0	ok	0.998237	0.993369	0.0
8	7	a5	0	ok	0.998683	0.993369	0.0
9	8	a5	0	ok	1.000128	0.993369	0.0
10	9	a5	0	ok	0.99856	0.993369	0.0
11	10	a5	0	ok	0.998461	0.993369	0.0
12	11	a4	0	ok	0.999534	0.993369	0.0
13	12	a1	0	ok	0.996838	0.993369	0.0
14	14	a2	0	ok	0.98245	0.98245	0.0
15	15	a1	0	ok	0.980185	0.980185	0.0
16	16	a0	0	ok	0.976806	0.976806	0.0
17	17	a4	0	ok	0.979709	0.976806	0.0
18	18	a3	0	ok	0.97985	0.976806	0.0
19	19	a2	0	crash		0.976806	0.0
20	20	a1	0	crash		0.976806	0.0
21	21	a2	0	crash		0.976806	0.0
22	22	a0	0	crash		0.976806	0.0
23	23	a3	0	ok	0.980081	0.976806	0.0
24	24	a4	0	crash		0.976806	0.0
25	25	a2	0	crash		0.976806	0.0
26	26	a1	0	crash		0.976806	0.0
27	27	a0	0	crash		0.976806	0.0
28	28	a3	0	crash		0.976806	0.0
29	29	a4	0	crash		0.976806	0.0
30	30	a1	0	crash		0.976806	0.0
31	31	a0	0	ok	0.977025	0.976806	0.0
32	32	a4	0	ok	0.979237	0.976806	0.0
33	33	a3	0	ok	0.989947	0.976806	0.0
34	34	a0	0	ok	0.977564	0.976806	0.0
35	35	a3	0	ok	0.979047	0.976806	0.0
36	36	a3	0	ok	0.978964	0.976806	0.0
