Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011406 | lrm: 1.00 | dt: 8437ms | tok/sec: 62,140 | mfu: 2.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.204515 | lrm: 1.00 | dt: 519ms | tok/sec: 1,010,362 | mfu: 43.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.942555 | lrm: 1.00 | dt: 544ms | tok/sec: 963,146 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.470524 | lrm: 1.00 | dt: 528ms | tok/sec: 993,302 | mfu: 43.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.016183 | lrm: 1.00 | dt: 541ms | tok/sec: 968,693 | mfu: 42.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.640709 | lrm: 1.00 | dt: 527ms | tok/sec: 995,001 | mfu: 43.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.344579 | lrm: 1.00 | dt: 544ms | tok/sec: 962,984 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.099416 | lrm: 1.00 | dt: 530ms | tok/sec: 988,508 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.888467 | lrm: 1.00 | dt: 545ms | tok/sec: 961,632 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.708450 | lrm: 1.00 | dt: 533ms | tok/sec: 984,067 | mfu: 42.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.554108 | lrm: 1.00 | dt: 543ms | tok/sec: 965,495 | mfu: 41.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.423748 | lrm: 1.00 | dt: 560ms | tok/sec: 936,137 | mfu: 40.5% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.307761 | lrm: 1.00 | dt: 531ms | tok/sec: 986,783 | mfu: 42.7% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.204021 | lrm: 1.00 | dt: 541ms | tok/sec: 968,675 | mfu: 42.0% | epoch: 1 | remaining: 298s    
step 00014 (0.5%) | loss: 6.116549 | lrm: 1.00 | dt: 572ms | tok/sec: 915,981 | mfu: 39.7% | epoch: 1 | remaining: 298s    
step 00015 (0.7%) | loss: 6.038062 | lrm: 1.00 | dt: 529ms | tok/sec: 991,730 | mfu: 43.0% | epoch: 1 | remaining: 297s    
step 00016 (0.9%) | loss: 5.970810 | lrm: 1.00 | dt: 547ms | tok/sec: 958,324 | mfu: 41.5% | epoch: 1 | remaining: 297s    
step 00017 (1.1%) | loss: 5.906850 | lrm: 1.00 | dt: 533ms | tok/sec: 983,387 | mfu: 42.6% | epoch: 1 | remaining: 296s    
step 00018 (1.3%) | loss: 5.848585 | lrm: 1.00 | dt: 546ms | tok/sec: 959,853 | mfu: 41.6% | epoch: 1 | remaining: 296s    
step 00019 (1.5%) | loss: 5.794655 | lrm: 1.00 | dt: 534ms | tok/sec: 981,857 | mfu: 42.5% | epoch: 1 | remaining: 295s    
step 00020 (1.6%) | loss: 5.745401 | lrm: 1.00 | dt: 542ms | tok/sec: 966,770 | mfu: 41.9% | epoch: 1 | remaining: 295s    
step 00021 (1.8%) | loss: 5.699595 | lrm: 1.00 | dt: 538ms | tok/sec: 973,692 | mfu: 42.2% | epoch: 1 | remaining: 294s    
step 00022 (2.0%) | loss: 5.658995 | lrm: 1.00 | dt: 557ms | tok/sec: 941,731 | mfu: 40.8% | epoch: 1 | remaining: 293s    
step 00023 (2.2%) | loss: 5.617968 | lrm: 1.00 | dt: 569ms | tok/sec: 921,381 | mfu: 39.9% | epoch: 1 | remaining: 293s    
step 00024 (2.4%) | loss: 5.579161 | lrm: 1.00 | dt: 537ms | tok/sec: 976,969 | mfu: 42.3% | epoch: 1 | remaining: 292s    
step 00025 (2.5%) | loss: 5.544301 | lrm: 1.00 | dt: 546ms | tok/sec: 960,025 | mfu: 41.6% | epoch: 1 | remaining: 292s    
step 00026 (2.7%) | loss: 5.511649 | lrm: 1.00 | dt: 538ms | tok/sec: 973,851 | mfu: 42.2% | epoch: 1 | remaining: 291s    
step 00027 (2.9%) | loss: 5.479724 | lrm: 1.00 | dt: 540ms | tok/sec: 971,706 | mfu: 42.1% | epoch: 1 | remaining: 291s    
step 00028 (3.1%) | loss: 5.450510 | lrm: 1.00 | dt: 539ms | tok/sec: 971,987 | mfu: 42.1% | epoch: 1 | remaining: 290s    
step 00029 (3.3%) | loss: 5.420693 | lrm: 1.00 | dt: 537ms | tok/sec: 975,717 | mfu: 42.3% | epoch: 1 | remaining: 290s    
step 00030 (3.4%) | loss: 5.389422 | lrm: 1.00 | dt: 539ms | tok/sec: 972,587 | mfu: 42.1% | epoch: 1 | remaining: 289s    
step 00031 (3.6%) | loss: 5.359417 | lrm: 1.00 | dt: 538ms | tok/sec: 973,855 | mfu: 42.2% | epoch: 1 | remaining: 289s    
