Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'LLLL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.836605e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011406 | lrm: 0.00 | dt: 18570ms | tok/sec: 28,232 | mfu: 1.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011362 | lrm: 0.00 | dt: 503ms | tok/sec: 1,042,478 | mfu: 51.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011352 | lrm: 0.00 | dt: 504ms | tok/sec: 1,040,034 | mfu: 50.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011328 | lrm: 0.00 | dt: 505ms | tok/sec: 1,038,676 | mfu: 50.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011313 | lrm: 0.00 | dt: 505ms | tok/sec: 1,037,983 | mfu: 50.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011341 | lrm: 0.00 | dt: 505ms | tok/sec: 1,038,648 | mfu: 50.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011340 | lrm: 0.00 | dt: 519ms | tok/sec: 1,009,705 | mfu: 49.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011319 | lrm: 0.00 | dt: 504ms | tok/sec: 1,039,472 | mfu: 50.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011311 | lrm: 0.00 | dt: 505ms | tok/sec: 1,037,880 | mfu: 50.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011295 | lrm: 0.00 | dt: 559ms | tok/sec: 937,704 | mfu: 45.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011302 | lrm: 0.00 | dt: 514ms | tok/sec: 1,020,368 | mfu: 49.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011305 | lrm: 0.00 | dt: 531ms | tok/sec: 988,113 | mfu: 48.3% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 9.011298 | lrm: 0.04 | dt: 506ms | tok/sec: 1,036,587 | mfu: 50.7% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 9.008702 | lrm: 0.07 | dt: 544ms | tok/sec: 964,167 | mfu: 47.1% | epoch: 1 | remaining: 298s    
step 00014 (0.5%) | loss: 9.001427 | lrm: 0.11 | dt: 551ms | tok/sec: 951,832 | mfu: 46.5% | epoch: 1 | remaining: 298s    
step 00015 (0.7%) | loss: 8.985031 | lrm: 0.14 | dt: 547ms | tok/sec: 958,954 | mfu: 46.9% | epoch: 1 | remaining: 297s    
step 00016 (0.9%) | loss: 8.948051 | lrm: 0.18 | dt: 545ms | tok/sec: 962,061 | mfu: 47.0% | epoch: 1 | remaining: 297s    
step 00017 (1.1%) | loss: 8.864488 | lrm: 0.21 | dt: 551ms | tok/sec: 950,682 | mfu: 46.5% | epoch: 1 | remaining: 296s    
step 00018 (1.3%) | loss: 8.723556 | lrm: 0.25 | dt: 546ms | tok/sec: 959,799 | mfu: 46.9% | epoch: 1 | remaining: 296s    
step 00019 (1.4%) | loss: 8.562678 | lrm: 0.29 | dt: 547ms | tok/sec: 957,639 | mfu: 46.8% | epoch: 1 | remaining: 295s    
step 00020 (1.6%) | loss: 8.385884 | lrm: 0.32 | dt: 546ms | tok/sec: 960,483 | mfu: 46.9% | epoch: 1 | remaining: 295s    
step 00021 (1.8%) | loss: 8.185662 | lrm: 0.36 | dt: 551ms | tok/sec: 951,081 | mfu: 46.5% | epoch: 1 | remaining: 294s    
step 00022 (2.0%) | loss: 7.986322 | lrm: 0.40 | dt: 548ms | tok/sec: 957,443 | mfu: 46.8% | epoch: 1 | remaining: 293s    
step 00023 (2.2%) | loss: 7.789807 | lrm: 0.43 | dt: 553ms | tok/sec: 948,174 | mfu: 46.3% | epoch: 1 | remaining: 293s    
step 00024 (2.4%) | loss: 7.602238 | lrm: 0.47 | dt: 547ms | tok/sec: 958,187 | mfu: 46.8% | epoch: 1 | remaining: 292s    
step 00025 (2.5%) | loss: 7.427280 | lrm: 0.51 | dt: 551ms | tok/sec: 951,892 | mfu: 46.5% | epoch: 1 | remaining: 292s    
step 00026 (2.7%) | loss: 7.261184 | lrm: 0.54 | dt: 548ms | tok/sec: 956,620 | mfu: 46.8% | epoch: 1 | remaining: 291s    
step 00027 (2.9%) | loss: 7.106475 | lrm: 0.58 | dt: 550ms | tok/sec: 952,631 | mfu: 46.6% | epoch: 1 | remaining: 291s    
step 00028 (3.1%) | loss: 6.962218 | lrm: 0.62 | dt: 549ms | tok/sec: 955,214 | mfu: 46.7% | epoch: 1 | remaining: 290s    
step 00029 (3.3%) | loss: 6.826937 | lrm: 0.65 | dt: 554ms | tok/sec: 946,942 | mfu: 46.3% | epoch: 1 | remaining: 290s    
step 00030 (3.5%) | loss: 6.701396 | lrm: 0.69 | dt: 549ms | tok/sec: 954,866 | mfu: 46.7% | epoch: 1 | remaining: 289s    
step 00031 (3.6%) | loss: 6.584199 | lrm: 0.73 | dt: 551ms | tok/sec: 950,907 | mfu: 46.5% | epoch: 1 | remaining: 289s    
step 00032 (3.8%) | loss: 6.478303 | lrm: 0.76 | dt: 552ms | tok/sec: 950,567 | mfu: 46.5% | epoch: 1 | remaining: 288s    
step 00033 (4.0%) | loss: 6.381696 | lrm: 0.80 | dt: 553ms | tok/sec: 948,417 | mfu: 46.4% | epoch: 1 | remaining: 287s    
step 00034 (4.2%) | loss: 6.287486 | lrm: 0.84 | dt: 549ms | tok/sec: 954,240 | mfu: 46.6% | epoch: 1 | remaining: 287s    
step 00035 (4.4%) | loss: 6.205101 | lrm: 0.87 | dt: 552ms | tok/sec: 948,970 | mfu: 46.4% | epoch: 1 | remaining: 286s    
step 00036 (4.6%) | loss: 6.128733 | lrm: 0.91 | dt: 552ms | tok/sec: 950,480 | mfu: 46.5% | epoch: 1 | remaining: 286s    
step 00037 (4.7%) | loss: 6.058538 | lrm: 0.95 | dt: 550ms | tok/sec: 953,036 | mfu: 46.6% | epoch: 1 | remaining: 285s    
step 00038 (4.9%) | loss: 5.993406 | lrm: 0.98 | dt: 554ms | tok/sec: 945,972 | mfu: 46.2% | epoch: 1 | remaining: 285s    
step 00039 (5.1%) | loss: 5.933000 | lrm: 1.00 | dt: 549ms | tok/sec: 954,835 | mfu: 46.7% | epoch: 1 | remaining: 284s    
step 00040 (5.3%) | loss: 5.875635 | lrm: 1.00 | dt: 551ms | tok/sec: 951,585 | mfu: 46.5% | epoch: 1 | remaining: 284s    
step 00041 (5.5%) | loss: 5.822494 | lrm: 1.00 | dt: 552ms | tok/sec: 949,631 | mfu: 46.4% | epoch: 1 | remaining: 283s    
step 00042 (5.7%) | loss: 5.774561 | lrm: 1.00 | dt: 552ms | tok/sec: 950,453 | mfu: 46.5% | epoch: 1 | remaining: 282s    
step 00043 (5.8%) | loss: 5.726849 | lrm: 1.00 | dt: 555ms | tok/sec: 944,428 | mfu: 46.2% | epoch: 1 | remaining: 282s    
step 00044 (6.0%) | loss: 5.680189 | lrm: 1.00 | dt: 549ms | tok/sec: 954,303 | mfu: 46.6% | epoch: 1 | remaining: 281s    
step 00045 (6.2%) | loss: 5.636599 | lrm: 1.00 | dt: 553ms | tok/sec: 948,859 | mfu: 46.4% | epoch: 1 | remaining: 281s    
step 00046 (6.4%) | loss: 5.593195 | lrm: 1.00 | dt: 552ms | tok/sec: 949,231 | mfu: 46.4% | epoch: 1 | remaining: 280s    
step 00047 (6.6%) | loss: 5.546995 | lrm: 1.00 | dt: 555ms | tok/sec: 945,020 | mfu: 46.2% | epoch: 1 | remaining: 280s    
step 00048 (6.8%) | loss: 5.512218 | lrm: 1.00 | dt: 550ms | tok/sec: 953,925 | mfu: 46.6% | epoch: 1 | remaining: 279s    
step 00049 (6.9%) | loss: 5.471515 | lrm: 1.00 | dt: 552ms | tok/sec: 949,906 | mfu: 46.4% | epoch: 1 | remaining: 279s    
