run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	1	a5	0	ok	1.013559	1.012347	0.0
2	2	a2	0	ok	1.001925	1.001925	0.0
3	3	a4	0	ok	1.001942	1.001925	0.0
4	4	a1	0	ok	1.012457	1.001925	0.0
5	5	a0	0	ok	1.01782	1.001925	0.0
6	6	a3	0	ok	1.011943	1.001925	0.0
7	7	a5	0	ok	1.015579	1.001925	0.0
8	8	a2	0	crash		1.001925	0.0
9	9	a4	0	crash		1.001925	0.0
10	10	a1	0	ok	1.01351	1.001925	0.0
11	11	a0	0	ok	1.015329	1.001925	0.0
12	12	a3	0	ok	1.012479	1.001925	0.0
13	13	a5	0	ok	1.012817	1.001925	0.0
14	14	a2	0	ok	1.004821	1.001925	0.0
15	15	a4	0	crash		1.001925	0.0
16	16	a1	0	ok	1.014915	1.001925	0.0
17	17	a0	0	ok	1.001749	1.001749	0.0
18	18	a3	0	ok	1.013271	1.001749	0.0
19	19	a5	0	ok	1.013939	1.001749	0.0
20	20	a2	0	ok	0.999826	0.999826	0.0
21	21	a4	0	crash		0.999826	0.0
22	22	a1	0	ok	1.001943	0.999826	0.0
23	23	a0	0	crash		0.999826	0.0
24	24	a3	0	ok	1.015242	0.999826	0.0
25	25	a5	0	ok	1.017683	0.999826	0.0
26	26	a2	0	ok	1.002127	0.999826	0.0
27	27	a4	0	ok	1.001167	0.999826	0.0
28	28	a1	0	crash		0.999826	0.0
29	29	a0	0	crash		0.999826	0.0
30	30	a3	0	ok	1.012943	0.999826	0.0
31	31	a5	0	ok	1.013452	0.999826	0.0
32	32	a2	0	ok	1.001223	0.999826	0.0
33	33	a4	0	ok	1.00359	0.999826	0.0
34	34	a1	0	crash		0.999826	0.0
35	35	a0	0	ok	1.004999	0.999826	0.0
36	36	a3	0	ok	1.011649	0.999826	0.0
