Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 7044ms | tok/sec: 74,434 | mfu: 1.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.672149 | lrm: 1.00 | dt: 308ms | tok/sec: 1,704,360 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.170112 | lrm: 1.00 | dt: 314ms | tok/sec: 1,668,989 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.805432 | lrm: 1.00 | dt: 353ms | tok/sec: 1,484,128 | mfu: 35.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.549710 | lrm: 1.00 | dt: 371ms | tok/sec: 1,414,976 | mfu: 34.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.311454 | lrm: 1.00 | dt: 364ms | tok/sec: 1,438,863 | mfu: 34.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.107042 | lrm: 1.00 | dt: 359ms | tok/sec: 1,460,438 | mfu: 35.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.919407 | lrm: 1.00 | dt: 362ms | tok/sec: 1,448,025 | mfu: 35.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.755748 | lrm: 1.00 | dt: 355ms | tok/sec: 1,478,696 | mfu: 35.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.612718 | lrm: 1.00 | dt: 363ms | tok/sec: 1,445,313 | mfu: 34.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.483045 | lrm: 1.00 | dt: 334ms | tok/sec: 1,568,487 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.368825 | lrm: 1.00 | dt: 366ms | tok/sec: 1,432,242 | mfu: 34.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.266167 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,896 | mfu: 39.6% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.170987 | lrm: 1.00 | dt: 371ms | tok/sec: 1,412,297 | mfu: 34.1% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 6.088874 | lrm: 1.00 | dt: 374ms | tok/sec: 1,399,985 | mfu: 33.8% | epoch: 1 | remaining: 299s    
step 00015 (0.5%) | loss: 6.013595 | lrm: 1.00 | dt: 348ms | tok/sec: 1,504,748 | mfu: 36.4% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 5.948264 | lrm: 1.00 | dt: 350ms | tok/sec: 1,498,497 | mfu: 36.2% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.884633 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,563 | mfu: 39.4% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.827583 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,221 | mfu: 39.1% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.772268 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,216 | mfu: 38.9% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.722179 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,401 | mfu: 39.1% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.674783 | lrm: 1.00 | dt: 325ms | tok/sec: 1,615,471 | mfu: 39.0% | epoch: 1 | remaining: 296s    
step 00022 (1.3%) | loss: 5.632113 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,097 | mfu: 39.1% | epoch: 1 | remaining: 296s    
step 00023 (1.4%) | loss: 5.588206 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,456 | mfu: 39.0% | epoch: 1 | remaining: 296s    
step 00024 (1.5%) | loss: 5.545295 | lrm: 1.00 | dt: 354ms | tok/sec: 1,482,449 | mfu: 35.8% | epoch: 1 | remaining: 295s    
step 00025 (1.6%) | loss: 5.506112 | lrm: 1.00 | dt: 314ms | tok/sec: 1,669,893 | mfu: 40.3% | epoch: 1 | remaining: 295s    
step 00026 (1.7%) | loss: 5.469179 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,701 | mfu: 39.3% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 5.433690 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,545 | mfu: 39.4% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.401122 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,533 | mfu: 39.6% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.368874 | lrm: 1.00 | dt: 345ms | tok/sec: 1,521,134 | mfu: 36.8% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.334310 | lrm: 1.00 | dt: 335ms | tok/sec: 1,565,362 | mfu: 37.8% | epoch: 1 | remaining: 293s    
step 00031 (2.2%) | loss: 5.302032 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,355 | mfu: 39.2% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.272238 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,189 | mfu: 38.7% | epoch: 1 | remaining: 293s    
step 00033 (2.5%) | loss: 5.244626 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,179 | mfu: 38.6% | epoch: 1 | remaining: 292s    
step 00034 (2.6%) | loss: 5.211257 | lrm: 1.00 | dt: 319ms | tok/sec: 1,646,043 | mfu: 39.8% | epoch: 1 | remaining: 292s    
step 00035 (2.7%) | loss: 5.182958 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,885 | mfu: 39.0% | epoch: 1 | remaining: 292s    
step 00036 (2.8%) | loss: 5.155040 | lrm: 1.00 | dt: 337ms | tok/sec: 1,556,880 | mfu: 37.6% | epoch: 1 | remaining: 291s    
step 00037 (2.9%) | loss: 5.127292 | lrm: 1.00 | dt: 320ms | tok/sec: 1,636,613 | mfu: 39.5% | epoch: 1 | remaining: 291s    
step 00038 (3.0%) | loss: 5.097762 | lrm: 1.00 | dt: 321ms | tok/sec: 1,635,238 | mfu: 39.5% | epoch: 1 | remaining: 291s    
step 00039 (3.1%) | loss: 5.069446 | lrm: 1.00 | dt: 329ms | tok/sec: 1,591,972 | mfu: 38.5% | epoch: 1 | remaining: 290s    
step 00040 (3.2%) | loss: 5.039918 | lrm: 1.00 | dt: 323ms | tok/sec: 1,625,146 | mfu: 39.3% | epoch: 1 | remaining: 290s    
step 00041 (3.3%) | loss: 5.011465 | lrm: 1.00 | dt: 321ms | tok/sec: 1,635,439 | mfu: 39.5% | epoch: 1 | remaining: 290s    
step 00042 (3.4%) | loss: 4.984632 | lrm: 1.00 | dt: 330ms | tok/sec: 1,589,458 | mfu: 38.4% | epoch: 1 | remaining: 289s    
step 00043 (3.5%) | loss: 4.956023 | lrm: 1.00 | dt: 363ms | tok/sec: 1,445,576 | mfu: 34.9% | epoch: 1 | remaining: 289s    
step 00044 (3.7%) | loss: 4.927525 | lrm: 1.00 | dt: 380ms | tok/sec: 1,378,891 | mfu: 33.3% | epoch: 1 | remaining: 289s    
step 00045 (3.8%) | loss: 4.900865 | lrm: 1.00 | dt: 352ms | tok/sec: 1,491,214 | mfu: 36.0% | epoch: 1 | remaining: 288s    
step 00046 (3.9%) | loss: 4.874493 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,761 | mfu: 38.7% | epoch: 1 | remaining: 288s    
step 00047 (4.0%) | loss: 4.838708 | lrm: 1.00 | dt: 398ms | tok/sec: 1,317,439 | mfu: 31.8% | epoch: 1 | remaining: 288s    
