run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	1	a0	0	ok	1.001837	0.997333	0.0
2	2	a1	0	ok	0.99832	0.997333	0.0
3	3	a3	0	ok	0.996858	0.996858	0.0
4	4	a2	0	ok	0.996252	0.996252	0.0
5	5	a5	0	ok	0.997633	0.996252	0.0
6	6	a4	0	ok	0.998935	0.996252	0.0
7	7	a0	0	ok	0.996295	0.996252	0.0
8	8	a1	0	ok	1.000538	0.996252	0.0
9	9	a2	0	ok	0.996052	0.996052	0.0
10	10	a0	0	ok	0.998909	0.996052	0.0
11	11	a5	0	ok	0.997013	0.996052	0.0
12	12	a1	0	ok	0.996179	0.996052	0.0
13	13	a3	0	ok	1.00614	0.996052	0.0
14	14	a4	0	ok	0.995414	0.995414	0.0
15	15	a0	0	ok	0.997887	0.995414	0.0
16	16	a2	0	ok	0.996457	0.995414	0.0
17	17	a1	0	ok	0.996103	0.995414	0.0
18	18	a4	0	ok	0.995455	0.995414	0.0
19	19	a5	0	ok	0.996694	0.995414	0.0
20	20	a3	0	ok	0.997055	0.995414	0.0
21	21	a1	0	ok	0.996366	0.995414	0.0
22	22	a4	0	ok	0.996477	0.995414	0.0
23	23	a2	0	ok	1.000004	0.995414	0.0
24	24	a1	0	ok	0.996225	0.995414	0.0
25	25	a2	0	ok	0.996851	0.995414	0.0
26	26	a4	0	ok	0.995826	0.995414	0.0
27	27	a3	0	ok	0.997939	0.995414	0.0
28	28	a2	0	ok	0.997156	0.995414	0.0
29	29	a4	0	ok	0.997736	0.995414	0.0
30	30	a0	0	ok	0.996846	0.995414	0.0
31	31	a0	0	ok	0.996885	0.995414	0.0
32	32	a5	0	ok	0.996632	0.995414	0.0
33	33	a3	0	ok	0.997561	0.995414	0.0
34	34	a5	0	ok	0.996683	0.995414	0.0
35	36	a3	0	ok	0.997035	0.995414	0.0
36	36	a5	0	ok	0.99637	0.995414	0.0
