Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'mlp_ratio': 3, 'short_window_div': 4, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 20,971,520
  lm_head                 : 4,194,304
  transformer_matrices    : 26,215,040
  scalars                 : 20
  total                   : 55,575,188
Estimated FLOPs per token: 2.422249e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 8035ms | tok/sec: 32,626 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.866941 | lrm: 1.00 | dt: 167ms | tok/sec: 1,568,519 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.487724 | lrm: 1.00 | dt: 171ms | tok/sec: 1,530,340 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.036830 | lrm: 1.00 | dt: 175ms | tok/sec: 1,496,404 | mfu: 36.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.660040 | lrm: 1.00 | dt: 169ms | tok/sec: 1,548,184 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.327021 | lrm: 1.00 | dt: 173ms | tok/sec: 1,513,961 | mfu: 37.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.073952 | lrm: 1.00 | dt: 189ms | tok/sec: 1,384,126 | mfu: 33.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.869148 | lrm: 1.00 | dt: 173ms | tok/sec: 1,513,738 | mfu: 37.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.694629 | lrm: 1.00 | dt: 176ms | tok/sec: 1,492,826 | mfu: 36.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.546112 | lrm: 1.00 | dt: 182ms | tok/sec: 1,442,300 | mfu: 35.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.422570 | lrm: 1.00 | dt: 193ms | tok/sec: 1,360,470 | mfu: 33.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.313203 | lrm: 1.00 | dt: 170ms | tok/sec: 1,538,568 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.215140 | lrm: 1.00 | dt: 177ms | tok/sec: 1,483,250 | mfu: 36.3% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.132480 | lrm: 1.00 | dt: 174ms | tok/sec: 1,508,273 | mfu: 36.9% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.059020 | lrm: 1.00 | dt: 172ms | tok/sec: 1,520,628 | mfu: 37.2% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.991421 | lrm: 1.00 | dt: 187ms | tok/sec: 1,403,292 | mfu: 34.4% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.931641 | lrm: 1.00 | dt: 175ms | tok/sec: 1,498,558 | mfu: 36.7% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.873921 | lrm: 1.00 | dt: 173ms | tok/sec: 1,512,449 | mfu: 37.0% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.823001 | lrm: 1.00 | dt: 174ms | tok/sec: 1,510,872 | mfu: 37.0% | epoch: 1 | remaining: 299s    
step 00019 (0.5%) | loss: 5.774989 | lrm: 1.00 | dt: 176ms | tok/sec: 1,488,411 | mfu: 36.4% | epoch: 1 | remaining: 298s    
step 00020 (0.5%) | loss: 5.729921 | lrm: 1.00 | dt: 172ms | tok/sec: 1,520,415 | mfu: 37.2% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.688920 | lrm: 1.00 | dt: 178ms | tok/sec: 1,469,817 | mfu: 36.0% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.653028 | lrm: 1.00 | dt: 176ms | tok/sec: 1,491,263 | mfu: 36.5% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.618081 | lrm: 1.00 | dt: 175ms | tok/sec: 1,499,682 | mfu: 36.7% | epoch: 1 | remaining: 298s    
step 00024 (0.8%) | loss: 5.585396 | lrm: 1.00 | dt: 174ms | tok/sec: 1,505,417 | mfu: 36.9% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.552103 | lrm: 1.00 | dt: 175ms | tok/sec: 1,498,676 | mfu: 36.7% | epoch: 1 | remaining: 297s    
step 00026 (0.9%) | loss: 5.519683 | lrm: 1.00 | dt: 190ms | tok/sec: 1,377,771 | mfu: 33.7% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.487953 | lrm: 1.00 | dt: 173ms | tok/sec: 1,517,183 | mfu: 37.1% | epoch: 1 | remaining: 297s    
step 00028 (1.0%) | loss: 5.460043 | lrm: 1.00 | dt: 176ms | tok/sec: 1,488,759 | mfu: 36.4% | epoch: 1 | remaining: 297s    
step 00029 (1.1%) | loss: 5.432167 | lrm: 1.00 | dt: 172ms | tok/sec: 1,521,000 | mfu: 37.2% | epoch: 1 | remaining: 297s    
step 00030 (1.1%) | loss: 5.401181 | lrm: 1.00 | dt: 173ms | tok/sec: 1,514,787 | mfu: 37.1% | epoch: 1 | remaining: 296s    
