Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 41,943,040
  lm_head                 : 5,242,880
  transformer_matrices    : 39,322,880
  scalars                 : 16
  total                   : 91,751,696
Estimated FLOPs per token: 3.460378e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011345 | lrm: 1.00 | dt: 8885ms | tok/sec: 29,503 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.198400 | lrm: 1.00 | dt: 214ms | tok/sec: 1,226,222 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.940178 | lrm: 1.00 | dt: 215ms | tok/sec: 1,219,473 | mfu: 42.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.903040 | lrm: 1.00 | dt: 217ms | tok/sec: 1,205,337 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.648279 | lrm: 1.00 | dt: 223ms | tok/sec: 1,177,504 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.337806 | lrm: 1.00 | dt: 234ms | tok/sec: 1,119,565 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.094265 | lrm: 1.00 | dt: 224ms | tok/sec: 1,172,394 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.871802 | lrm: 1.00 | dt: 217ms | tok/sec: 1,208,327 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.667828 | lrm: 1.00 | dt: 216ms | tok/sec: 1,213,116 | mfu: 42.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.471473 | lrm: 1.00 | dt: 233ms | tok/sec: 1,125,484 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.290742 | lrm: 1.00 | dt: 224ms | tok/sec: 1,168,898 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.119102 | lrm: 1.00 | dt: 220ms | tok/sec: 1,191,613 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.958984 | lrm: 1.00 | dt: 217ms | tok/sec: 1,206,476 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.817347 | lrm: 1.00 | dt: 224ms | tok/sec: 1,169,572 | mfu: 40.9% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.687547 | lrm: 1.00 | dt: 227ms | tok/sec: 1,155,802 | mfu: 40.4% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 6.567563 | lrm: 1.00 | dt: 226ms | tok/sec: 1,158,494 | mfu: 40.5% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 6.460600 | lrm: 1.00 | dt: 219ms | tok/sec: 1,199,156 | mfu: 41.9% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 6.362332 | lrm: 1.00 | dt: 223ms | tok/sec: 1,173,008 | mfu: 41.0% | epoch: 1 | remaining: 298s    
step 00018 (0.5%) | loss: 6.273728 | lrm: 1.00 | dt: 225ms | tok/sec: 1,164,654 | mfu: 40.7% | epoch: 1 | remaining: 298s    
step 00019 (0.6%) | loss: 6.191760 | lrm: 1.00 | dt: 225ms | tok/sec: 1,166,135 | mfu: 40.8% | epoch: 1 | remaining: 298s    
step 00020 (0.7%) | loss: 6.116468 | lrm: 1.00 | dt: 223ms | tok/sec: 1,176,843 | mfu: 41.2% | epoch: 1 | remaining: 298s    
step 00021 (0.7%) | loss: 6.049463 | lrm: 1.00 | dt: 221ms | tok/sec: 1,186,823 | mfu: 41.5% | epoch: 1 | remaining: 298s    
step 00022 (0.8%) | loss: 5.989460 | lrm: 1.00 | dt: 227ms | tok/sec: 1,154,242 | mfu: 40.4% | epoch: 1 | remaining: 297s    
step 00023 (0.9%) | loss: 5.933656 | lrm: 1.00 | dt: 226ms | tok/sec: 1,160,425 | mfu: 40.6% | epoch: 1 | remaining: 297s    
step 00024 (1.0%) | loss: 5.882244 | lrm: 1.00 | dt: 223ms | tok/sec: 1,175,764 | mfu: 41.1% | epoch: 1 | remaining: 297s    
step 00025 (1.0%) | loss: 5.833783 | lrm: 1.00 | dt: 221ms | tok/sec: 1,187,646 | mfu: 41.5% | epoch: 1 | remaining: 297s    
step 00026 (1.1%) | loss: 5.788984 | lrm: 1.00 | dt: 224ms | tok/sec: 1,168,265 | mfu: 40.9% | epoch: 1 | remaining: 296s    
step 00027 (1.2%) | loss: 5.747046 | lrm: 1.00 | dt: 227ms | tok/sec: 1,153,368 | mfu: 40.3% | epoch: 1 | remaining: 296s    
step 00028 (1.3%) | loss: 5.712196 | lrm: 1.00 | dt: 225ms | tok/sec: 1,163,673 | mfu: 40.7% | epoch: 1 | remaining: 296s    
step 00029 (1.3%) | loss: 5.678509 | lrm: 1.00 | dt: 222ms | tok/sec: 1,178,211 | mfu: 41.2% | epoch: 1 | remaining: 296s    
step 00030 (1.4%) | loss: 5.643104 | lrm: 1.00 | dt: 224ms | tok/sec: 1,169,572 | mfu: 40.9% | epoch: 1 | remaining: 296s    
step 00031 (1.5%) | loss: 5.612673 | lrm: 1.00 | dt: 225ms | tok/sec: 1,165,108 | mfu: 40.7% | epoch: 1 | remaining: 295s    
step 00032 (1.6%) | loss: 5.584397 | lrm: 1.00 | dt: 223ms | tok/sec: 1,173,792 | mfu: 41.0% | epoch: 1 | remaining: 295s    
step 00033 (1.6%) | loss: 5.558915 | lrm: 1.00 | dt: 223ms | tok/sec: 1,176,017 | mfu: 41.1% | epoch: 1 | remaining: 295s    
step 00034 (1.7%) | loss: 5.532594 | lrm: 1.00 | dt: 224ms | tok/sec: 1,172,897 | mfu: 41.0% | epoch: 1 | remaining: 295s    
step 00035 (1.8%) | loss: 5.506878 | lrm: 1.00 | dt: 225ms | tok/sec: 1,162,617 | mfu: 40.7% | epoch: 1 | remaining: 294s    
step 00036 (1.9%) | loss: 5.481915 | lrm: 1.00 | dt: 245ms | tok/sec: 1,070,969 | mfu: 37.5% | epoch: 1 | remaining: 294s    
step 00037 (1.9%) | loss: 5.459101 | lrm: 1.00 | dt: 218ms | tok/sec: 1,200,011 | mfu: 42.0% | epoch: 1 | remaining: 294s    
step 00038 (2.0%) | loss: 5.434626 | lrm: 1.00 | dt: 222ms | tok/sec: 1,180,098 | mfu: 41.3% | epoch: 1 | remaining: 294s    
step 00039 (2.1%) | loss: 5.410496 | lrm: 1.00 | dt: 223ms | tok/sec: 1,174,266 | mfu: 41.1% | epoch: 1 | remaining: 294s    
step 00040 (2.2%) | loss: 5.389904 | lrm: 1.00 | dt: 227ms | tok/sec: 1,152,875 | mfu: 40.3% | epoch: 1 | remaining: 293s    
step 00041 (2.2%) | loss: 5.367099 | lrm: 1.00 | dt: 225ms | tok/sec: 1,162,595 | mfu: 40.7% | epoch: 1 | remaining: 293s    
step 00042 (2.3%) | loss: 5.346876 | lrm: 1.00 | dt: 221ms | tok/sec: 1,186,919 | mfu: 41.5% | epoch: 1 | remaining: 293s    
step 00043 (2.4%) | loss: 5.323208 | lrm: 1.00 | dt: 223ms | tok/sec: 1,176,255 | mfu: 41.1% | epoch: 1 | remaining: 293s    
step 00044 (2.5%) | loss: 5.301415 | lrm: 1.00 | dt: 222ms | tok/sec: 1,179,339 | mfu: 41.2% | epoch: 1 | remaining: 292s    
step 00045 (2.5%) | loss: 5.282659 | lrm: 1.00 | dt: 227ms | tok/sec: 1,155,456 | mfu: 40.4% | epoch: 1 | remaining: 292s    
step 00046 (2.6%) | loss: 5.260631 | lrm: 1.00 | dt: 224ms | tok/sec: 1,167,824 | mfu: 40.8% | epoch: 1 | remaining: 292s    
step 00047 (2.7%) | loss: 5.237571 | lrm: 1.00 | dt: 223ms | tok/sec: 1,176,124 | mfu: 41.1% | epoch: 1 | remaining: 292s    
step 00048 (2.8%) | loss: 5.216255 | lrm: 1.00 | dt: 222ms | tok/sec: 1,179,006 | mfu: 41.2% | epoch: 1 | remaining: 291s    
step 00049 (2.8%) | loss: 5.193166 | lrm: 1.00 | dt: 225ms | tok/sec: 1,165,539 | mfu: 40.8% | epoch: 1 | remaining: 291s    
step 00050 (2.9%) | loss: 5.174517 | lrm: 1.00 | dt: 226ms | tok/sec: 1,161,379 | mfu: 40.6% | epoch: 1 | remaining: 291s    
step 00051 (3.0%) | loss: 5.153149 | lrm: 1.00 | dt: 224ms | tok/sec: 1,169,336 | mfu: 40.9% | epoch: 1 | remaining: 291s    
step 00052 (3.1%) | loss: 5.134102 | lrm: 1.00 | dt: 222ms | tok/sec: 1,178,677 | mfu: 41.2% | epoch: 1 | remaining: 291s    
step 00053 (3.1%) | loss: 5.114920 | lrm: 1.00 | dt: 225ms | tok/sec: 1,163,240 | mfu: 40.7% | epoch: 1 | remaining: 290s    
step 00054 (3.2%) | loss: 5.091986 | lrm: 1.00 | dt: 225ms | tok/sec: 1,164,264 | mfu: 40.7% | epoch: 1 | remaining: 290s    
step 00055 (3.3%) | loss: 5.072714 | lrm: 1.00 | dt: 222ms | tok/sec: 1,178,213 | mfu: 41.2% | epoch: 1 | remaining: 290s    
step 00056 (3.4%) | loss: 5.054433 | lrm: 1.00 | dt: 224ms | tok/sec: 1,171,586 | mfu: 41.0% | epoch: 1 | remaining: 290s    
step 00057 (3.4%) | loss: 5.037658 | lrm: 1.00 | dt: 223ms | tok/sec: 1,176,061 | mfu: 41.1% | epoch: 1 | remaining: 289s    
step 00058 (3.5%) | loss: 5.018769 | lrm: 1.00 | dt: 227ms | tok/sec: 1,152,503 | mfu: 40.3% | epoch: 1 | remaining: 289s    
step 00059 (3.6%) | loss: 5.000296 | lrm: 1.00 | dt: 223ms | tok/sec: 1,176,632 | mfu: 41.1% | epoch: 1 | remaining: 289s    
step 00060 (3.7%) | loss: 4.983343 | lrm: 1.00 | dt: 226ms | tok/sec: 1,161,402 | mfu: 40.6% | epoch: 1 | remaining: 289s    
step 00061 (3.7%) | loss: 4.962673 | lrm: 1.00 | dt: 224ms | tok/sec: 1,169,589 | mfu: 40.9% | epoch: 1 | remaining: 289s    
step 00062 (3.8%) | loss: 4.944185 | lrm: 1.00 | dt: 224ms | tok/sec: 1,171,922 | mfu: 41.0% | epoch: 1 | remaining: 288s    
step 00063 (3.9%) | loss: 4.923833 | lrm: 1.00 | dt: 224ms | tok/sec: 1,172,198 | mfu: 41.0% | epoch: 1 | remaining: 288s    
step 00064 (4.0%) | loss: 4.902565 | lrm: 1.00 | dt: 224ms | tok/sec: 1,172,038 | mfu: 41.0% | epoch: 1 | remaining: 288s    
step 00065 (4.0%) | loss: 4.883597 | lrm: 1.00 | dt: 226ms | tok/sec: 1,158,688 | mfu: 40.5% | epoch: 1 | remaining: 288s    
step 00066 (4.1%) | loss: 4.865692 | lrm: 1.00 | dt: 225ms | tok/sec: 1,165,632 | mfu: 40.8% | epoch: 1 | remaining: 287s    
step 00067 (4.2%) | loss: 4.848905 | lrm: 1.00 | dt: 224ms | tok/sec: 1,171,305 | mfu: 41.0% | epoch: 1 | remaining: 287s    
step 00068 (4.3%) | loss: 4.827635 | lrm: 1.00 | dt: 224ms | tok/sec: 1,169,566 | mfu: 40.9% | epoch: 1 | remaining: 287s    
step 00069 (4.3%) | loss: 4.806221 | lrm: 1.00 | dt: 224ms | tok/sec: 1,168,350 | mfu: 40.9% | epoch: 1 | remaining: 287s    
step 00070 (4.4%) | loss: 4.783943 | lrm: 1.00 | dt: 224ms | tok/sec: 1,169,487 | mfu: 40.9% | epoch: 1 | remaining: 287s    
step 00071 (4.5%) | loss: 4.767604 | lrm: 1.00 | dt: 224ms | tok/sec: 1,168,350 | mfu: 40.9% | epoch: 1 | remaining: 286s    
step 00072 (4.6%) | loss: 4.749036 | lrm: 1.00 | dt: 223ms | tok/sec: 1,175,544 | mfu: 41.1% | epoch: 1 | remaining: 286s    
step 00073 (4.6%) | loss: 4.731611 | lrm: 1.00 | dt: 222ms | tok/sec: 1,180,717 | mfu: 41.3% | epoch: 1 | remaining: 286s    
step 00074 (4.7%) | loss: 4.716341 | lrm: 1.00 | dt: 226ms | tok/sec: 1,160,112 | mfu: 40.6% | epoch: 1 | remaining: 286s    
step 00075 (4.8%) | loss: 4.699663 | lrm: 1.00 | dt: 226ms | tok/sec: 1,159,107 | mfu: 40.5% | epoch: 1 | remaining: 285s    
step 00076 (4.9%) | loss: 4.680710 | lrm: 1.00 | dt: 222ms | tok/sec: 1,179,322 | mfu: 41.2% | epoch: 1 | remaining: 285s    
step 00077 (4.9%) | loss: 4.663284 | lrm: 1.00 | dt: 222ms | tok/sec: 1,178,902 | mfu: 41.2% | epoch: 1 | remaining: 285s    
step 00078 (5.0%) | loss: 4.646725 | lrm: 1.00 | dt: 222ms | tok/sec: 1,181,808 | mfu: 41.3% | epoch: 1 | remaining: 285s    
step 00079 (5.1%) | loss: 4.630680 | lrm: 1.00 | dt: 224ms | tok/sec: 1,170,203 | mfu: 40.9% | epoch: 1 | remaining: 285s    
step 00080 (5.2%) | loss: 4.608534 | lrm: 1.00 | dt: 225ms | tok/sec: 1,163,229 | mfu: 40.7% | epoch: 1 | remaining: 284s    
step 00081 (5.2%) | loss: 4.589388 | lrm: 1.00 | dt: 225ms | tok/sec: 1,164,599 | mfu: 40.7% | epoch: 1 | remaining: 284s    
step 00082 (5.3%) | loss: 4.568799 | lrm: 1.00 | dt: 222ms | tok/sec: 1,179,380 | mfu: 41.2% | epoch: 1 | remaining: 284s    
step 00083 (5.4%) | loss: 4.551445 | lrm: 1.00 | dt: 224ms | tok/sec: 1,169,878 | mfu: 40.9% | epoch: 1 | remaining: 284s    
