run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	1	a3	0	ok	0.987981	0.987981	0.0
2	2	a2	0	ok	0.988312	0.987981	0.0
3	3	a5	0	ok	0.988049	0.987981	0.0
4	4	a1	0	ok	0.988497	0.987981	0.0
5	5	a0	0	ok	1.001559	0.987981	0.0
6	6	a4	0	ok	0.996189	0.987981	0.0
7	7	a3	0	ok	0.996087	0.987981	0.0
8	8	a2	0	ok	0.995947	0.987981	0.0
9	9	a5	0	ok	0.994781	0.987981	0.0
10	10	a4	0	ok	0.986692	0.986692	0.0
11	11	a3	0	ok	0.991359	0.986692	0.0
12	12	a1	0	ok	0.993673	0.986692	0.0
13	13	a2	0	ok	0.994703	0.986692	0.0
14	14	a5	0	ok	0.984898	0.984898	0.0
15	15	a4	0	ok	0.988923	0.984898	0.0
16	16	a3	0	ok	0.988032	0.984898	0.0
17	17	a1	0	ok	0.98961	0.984898	0.0
18	18	a2	0	ok	0.988608	0.984898	0.0
19	19	a5	0	ok	0.992199	0.984898	0.0
20	20	a4	0	ok	0.986335	0.984898	0.0
21	21	a3	0	ok	0.982021	0.982021	0.0
22	22	a2	0	ok	0.98444	0.982021	0.0
23	23	a5	0	ok	0.990065	0.982021	0.0
24	24	a4	0	ok	0.981666	0.981666	0.0
25	25	a1	0	ok	0.984484	0.981666	0.0
26	26	a3	0	ok	0.993004	0.981666	0.0
27	27	a0	0	ok	0.985629	0.981666	0.0
28	28	a2	0	crash		0.981666	0.0
29	29	a5	0	ok	0.985588	0.981666	0.0
30	30	a4	0	ok	0.97996	0.97996	0.0
31	31	a1	0	ok	0.979659	0.979659	0.0
32	32	a0	0	ok	0.979108	0.979108	0.0
33	33	a1	0	ok	0.978436	0.978436	0.0
34	34	a0	0	ok	0.97848	0.978436	0.0
35	35	a0	0	ok	0.977649	0.977649	0.0
36	36	a0	0	ok	0.978546	0.977649	0.0
