Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 6426ms | tok/sec: 40,794 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867334 | lrm: 1.00 | dt: 164ms | tok/sec: 1,599,727 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486185 | lrm: 1.00 | dt: 171ms | tok/sec: 1,532,100 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034194 | lrm: 1.00 | dt: 216ms | tok/sec: 1,210,961 | mfu: 29.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655182 | lrm: 1.00 | dt: 181ms | tok/sec: 1,446,663 | mfu: 35.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322740 | lrm: 1.00 | dt: 199ms | tok/sec: 1,317,987 | mfu: 31.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069854 | lrm: 1.00 | dt: 298ms | tok/sec: 879,112 | mfu: 21.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.865010 | lrm: 1.00 | dt: 238ms | tok/sec: 1,101,021 | mfu: 26.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690651 | lrm: 1.00 | dt: 197ms | tok/sec: 1,330,366 | mfu: 32.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.542481 | lrm: 1.00 | dt: 186ms | tok/sec: 1,405,972 | mfu: 34.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.419340 | lrm: 1.00 | dt: 213ms | tok/sec: 1,230,203 | mfu: 29.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.310433 | lrm: 1.00 | dt: 189ms | tok/sec: 1,389,231 | mfu: 33.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.212902 | lrm: 1.00 | dt: 173ms | tok/sec: 1,519,075 | mfu: 36.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.130868 | lrm: 1.00 | dt: 213ms | tok/sec: 1,230,927 | mfu: 29.7% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.058128 | lrm: 1.00 | dt: 194ms | tok/sec: 1,349,569 | mfu: 32.6% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 5.991129 | lrm: 1.00 | dt: 265ms | tok/sec: 988,219 | mfu: 23.9% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.931954 | lrm: 1.00 | dt: 225ms | tok/sec: 1,166,648 | mfu: 28.2% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.874956 | lrm: 1.00 | dt: 256ms | tok/sec: 1,024,827 | mfu: 24.8% | epoch: 1 | remaining: 298s    
step 00018 (0.5%) | loss: 5.824887 | lrm: 1.00 | dt: 233ms | tok/sec: 1,123,155 | mfu: 27.1% | epoch: 1 | remaining: 298s    
step 00019 (0.6%) | loss: 5.777726 | lrm: 1.00 | dt: 269ms | tok/sec: 974,798 | mfu: 23.6% | epoch: 1 | remaining: 298s    
step 00020 (0.7%) | loss: 5.733358 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,909 | mfu: 24.2% | epoch: 1 | remaining: 298s    
step 00021 (0.8%) | loss: 5.693266 | lrm: 1.00 | dt: 268ms | tok/sec: 979,327 | mfu: 23.7% | epoch: 1 | remaining: 297s    
step 00022 (0.8%) | loss: 5.658299 | lrm: 1.00 | dt: 242ms | tok/sec: 1,082,853 | mfu: 26.2% | epoch: 1 | remaining: 297s    
step 00023 (0.9%) | loss: 5.624316 | lrm: 1.00 | dt: 250ms | tok/sec: 1,047,355 | mfu: 25.3% | epoch: 1 | remaining: 297s    
step 00024 (1.0%) | loss: 5.592631 | lrm: 1.00 | dt: 234ms | tok/sec: 1,121,687 | mfu: 27.1% | epoch: 1 | remaining: 297s    
step 00025 (1.1%) | loss: 5.560523 | lrm: 1.00 | dt: 212ms | tok/sec: 1,238,918 | mfu: 29.9% | epoch: 1 | remaining: 297s    
step 00026 (1.2%) | loss: 5.529500 | lrm: 1.00 | dt: 263ms | tok/sec: 997,246 | mfu: 24.1% | epoch: 1 | remaining: 296s    
step 00027 (1.2%) | loss: 5.499331 | lrm: 1.00 | dt: 239ms | tok/sec: 1,098,549 | mfu: 26.5% | epoch: 1 | remaining: 296s    
step 00028 (1.3%) | loss: 5.472883 | lrm: 1.00 | dt: 227ms | tok/sec: 1,152,368 | mfu: 27.8% | epoch: 1 | remaining: 296s    
step 00029 (1.4%) | loss: 5.446273 | lrm: 1.00 | dt: 246ms | tok/sec: 1,064,324 | mfu: 25.7% | epoch: 1 | remaining: 296s    
step 00030 (1.5%) | loss: 5.416506 | lrm: 1.00 | dt: 238ms | tok/sec: 1,101,478 | mfu: 26.6% | epoch: 1 | remaining: 295s    
