run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	1	a1	0	ok	1.001379	1.001379	0.0
2	2	a0	0	ok	1.001892	1.001379	0.0
3	3	a3	0	ok	1.0008	1.0008	0.0
4	4	a4	0	ok	1.000781	1.000781	0.0
5	5	a1	0	ok	1.008119	1.000781	0.0
6	6	a0	0	ok	1.007828	1.000781	0.0
7	7	a3	0	ok	1.01021	1.000781	0.0
8	8	a4	0	ok	1.006829	1.000781	0.0
9	9	a1	0	ok	0.997025	0.997025	0.0
10	10	a0	0	ok	1.002599	0.997025	0.0
11	11	a3	0	ok	0.988145	0.988145	0.0
12	12	a4	0	ok	1.010004	0.988145	0.0
13	13	a1	0	ok	0.994308	0.988145	0.0
14	14	a0	0	ok	0.986791	0.986791	0.0
15	15	a3	0	ok	0.994653	0.986791	0.0
16	16	a4	0	ok	0.986041	0.986041	0.0
17	17	a1	0	ok	0.995232	0.986041	0.0
18	18	a0	0	ok	0.994629	0.986041	0.0
19	19	a3	0	ok	0.991023	0.986041	0.0
20	20	a4	0	ok	0.98278	0.98278	0.0
21	21	a1	0	ok	0.996529	0.98278	0.0
22	22	a0	0	ok	0.987351	0.98278	0.0
23	23	a3	0	ok	0.99044	0.98278	0.0
24	24	a4	0	ok	0.982146	0.982146	0.0
25	25	a2	0	ok	1.010895	0.982146	0.0
26	26	a5	0	ok	0.990125	0.982146	0.0
27	27	a2	0	ok	1.034067	0.982146	0.0
28	28	a5	0	ok	1.007564	0.982146	0.0
29	29	a2	0	ok	1.006761	0.982146	0.0
30	30	a5	0	ok	0.990844	0.982146	0.0
31	31	a2	0	ok	1.032114	0.982146	0.0
32	32	a5	0	ok	1.010386	0.982146	0.0
33	33	a2	0	ok	1.0052	0.982146	0.0
34	34	a5	0	ok	0.997068	0.982146	0.0
35	35	a2	0	ok	1.007255	0.982146	0.0
36	36	a5	0	ok	0.988531	0.982146	0.0
