Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 25,165,824
  lm_head                 : 6,291,456
  transformer_matrices    : 56,623,872
  scalars                 : 16
  total                   : 94,372,624
Estimated FLOPs per token: 4.718638e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011235 | lrm: 1.00 | dt: 6601ms | tok/sec: 39,713 | mfu: 1.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.829370 | lrm: 1.00 | dt: 268ms | tok/sec: 979,729 | mfu: 46.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.401034 | lrm: 1.00 | dt: 267ms | tok/sec: 983,318 | mfu: 46.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.915990 | lrm: 1.00 | dt: 268ms | tok/sec: 977,190 | mfu: 46.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.534609 | lrm: 1.00 | dt: 302ms | tok/sec: 867,808 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.211820 | lrm: 1.00 | dt: 275ms | tok/sec: 953,143 | mfu: 45.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.968320 | lrm: 1.00 | dt: 272ms | tok/sec: 964,707 | mfu: 46.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.768688 | lrm: 1.00 | dt: 279ms | tok/sec: 939,328 | mfu: 44.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.599943 | lrm: 1.00 | dt: 288ms | tok/sec: 911,581 | mfu: 43.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.458285 | lrm: 1.00 | dt: 274ms | tok/sec: 955,891 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.341318 | lrm: 1.00 | dt: 271ms | tok/sec: 965,841 | mfu: 46.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.238087 | lrm: 1.00 | dt: 281ms | tok/sec: 933,758 | mfu: 44.5% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.145567 | lrm: 1.00 | dt: 284ms | tok/sec: 923,753 | mfu: 44.1% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.067772 | lrm: 1.00 | dt: 279ms | tok/sec: 939,592 | mfu: 44.8% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.999047 | lrm: 1.00 | dt: 277ms | tok/sec: 947,528 | mfu: 45.2% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.935560 | lrm: 1.00 | dt: 286ms | tok/sec: 917,741 | mfu: 43.8% | epoch: 1 | remaining: 299s    
step 00016 (0.5%) | loss: 5.879579 | lrm: 1.00 | dt: 282ms | tok/sec: 930,378 | mfu: 44.4% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 5.826039 | lrm: 1.00 | dt: 277ms | tok/sec: 946,540 | mfu: 45.1% | epoch: 1 | remaining: 298s    
step 00018 (0.7%) | loss: 5.779214 | lrm: 1.00 | dt: 281ms | tok/sec: 932,906 | mfu: 44.5% | epoch: 1 | remaining: 298s    
step 00019 (0.7%) | loss: 5.735070 | lrm: 1.00 | dt: 282ms | tok/sec: 929,226 | mfu: 44.3% | epoch: 1 | remaining: 297s    
step 00020 (0.8%) | loss: 5.693299 | lrm: 1.00 | dt: 279ms | tok/sec: 939,539 | mfu: 44.8% | epoch: 1 | remaining: 297s    
step 00021 (0.9%) | loss: 5.655448 | lrm: 1.00 | dt: 281ms | tok/sec: 931,713 | mfu: 44.4% | epoch: 1 | remaining: 297s    
step 00022 (1.0%) | loss: 5.621963 | lrm: 1.00 | dt: 281ms | tok/sec: 931,770 | mfu: 44.4% | epoch: 1 | remaining: 297s    
step 00023 (1.1%) | loss: 5.589238 | lrm: 1.00 | dt: 280ms | tok/sec: 935,545 | mfu: 44.6% | epoch: 1 | remaining: 296s    
step 00024 (1.2%) | loss: 5.558227 | lrm: 1.00 | dt: 278ms | tok/sec: 942,052 | mfu: 44.9% | epoch: 1 | remaining: 296s    
step 00025 (1.3%) | loss: 5.526323 | lrm: 1.00 | dt: 279ms | tok/sec: 941,150 | mfu: 44.9% | epoch: 1 | remaining: 296s    
step 00026 (1.4%) | loss: 5.494976 | lrm: 1.00 | dt: 282ms | tok/sec: 931,181 | mfu: 44.4% | epoch: 1 | remaining: 296s    
step 00027 (1.5%) | loss: 5.464525 | lrm: 1.00 | dt: 279ms | tok/sec: 939,822 | mfu: 44.8% | epoch: 1 | remaining: 295s    
step 00028 (1.6%) | loss: 5.437672 | lrm: 1.00 | dt: 278ms | tok/sec: 941,337 | mfu: 44.9% | epoch: 1 | remaining: 295s    
step 00029 (1.7%) | loss: 5.410479 | lrm: 1.00 | dt: 282ms | tok/sec: 930,233 | mfu: 44.4% | epoch: 1 | remaining: 295s    
step 00030 (1.8%) | loss: 5.379626 | lrm: 1.00 | dt: 280ms | tok/sec: 936,075 | mfu: 44.6% | epoch: 1 | remaining: 294s    
step 00031 (1.9%) | loss: 5.352450 | lrm: 1.00 | dt: 280ms | tok/sec: 934,732 | mfu: 44.6% | epoch: 1 | remaining: 294s    
step 00032 (2.0%) | loss: 5.326466 | lrm: 1.00 | dt: 278ms | tok/sec: 942,882 | mfu: 45.0% | epoch: 1 | remaining: 294s    
step 00033 (2.1%) | loss: 5.301085 | lrm: 1.00 | dt: 283ms | tok/sec: 925,267 | mfu: 44.1% | epoch: 1 | remaining: 294s    
step 00034 (2.1%) | loss: 5.274075 | lrm: 1.00 | dt: 278ms | tok/sec: 943,102 | mfu: 45.0% | epoch: 1 | remaining: 293s    
step 00035 (2.2%) | loss: 5.246073 | lrm: 1.00 | dt: 279ms | tok/sec: 939,239 | mfu: 44.8% | epoch: 1 | remaining: 293s    
step 00036 (2.3%) | loss: 5.219148 | lrm: 1.00 | dt: 283ms | tok/sec: 926,748 | mfu: 44.2% | epoch: 1 | remaining: 293s    
step 00037 (2.4%) | loss: 5.193522 | lrm: 1.00 | dt: 279ms | tok/sec: 938,835 | mfu: 44.8% | epoch: 1 | remaining: 292s    
step 00038 (2.5%) | loss: 5.166533 | lrm: 1.00 | dt: 280ms | tok/sec: 935,127 | mfu: 44.6% | epoch: 1 | remaining: 292s    
