Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Batch ramp: ((0.25, 1), (0.65, 2), (1.01, 4)) at 131,072 tokens per fwd/bwd

step 00000 (0.0%) | loss: 9.011368 | lrm: 1.00 | dt: 6646ms | tok/sec: 19,722 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.885606 | lrm: 1.00 | dt: 79ms | tok/sec: 1,655,716 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.542496 | lrm: 1.00 | dt: 80ms | tok/sec: 1,636,957 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.109501 | lrm: 1.00 | dt: 81ms | tok/sec: 1,620,159 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.743757 | lrm: 1.00 | dt: 85ms | tok/sec: 1,549,891 | mfu: 37.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.427977 | lrm: 1.00 | dt: 80ms | tok/sec: 1,630,568 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.178541 | lrm: 1.00 | dt: 80ms | tok/sec: 1,633,902 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.970883 | lrm: 1.00 | dt: 98ms | tok/sec: 1,334,630 | mfu: 32.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.795980 | lrm: 1.00 | dt: 80ms | tok/sec: 1,630,408 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.648424 | lrm: 1.00 | dt: 88ms | tok/sec: 1,484,755 | mfu: 35.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.520227 | lrm: 1.00 | dt: 82ms | tok/sec: 1,597,017 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.405982 | lrm: 1.00 | dt: 92ms | tok/sec: 1,423,238 | mfu: 34.4% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.311356 | lrm: 1.00 | dt: 84ms | tok/sec: 1,553,403 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.227639 | lrm: 1.00 | dt: 92ms | tok/sec: 1,429,626 | mfu: 34.5% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.151164 | lrm: 1.00 | dt: 154ms | tok/sec: 850,646 | mfu: 20.6% | epoch: 1 | remaining: 300s    
step 00015 (0.1%) | loss: 6.088593 | lrm: 1.00 | dt: 122ms | tok/sec: 1,074,209 | mfu: 26.0% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 6.033160 | lrm: 1.00 | dt: 101ms | tok/sec: 1,295,173 | mfu: 31.3% | epoch: 1 | remaining: 299s    
step 00017 (0.2%) | loss: 5.977895 | lrm: 1.00 | dt: 87ms | tok/sec: 1,508,937 | mfu: 36.5% | epoch: 1 | remaining: 299s    
step 00018 (0.2%) | loss: 5.928758 | lrm: 1.00 | dt: 125ms | tok/sec: 1,051,785 | mfu: 25.4% | epoch: 1 | remaining: 299s    
step 00019 (0.3%) | loss: 5.884219 | lrm: 1.00 | dt: 124ms | tok/sec: 1,060,504 | mfu: 25.6% | epoch: 1 | remaining: 299s    
step 00020 (0.3%) | loss: 5.846617 | lrm: 1.00 | dt: 117ms | tok/sec: 1,119,107 | mfu: 27.0% | epoch: 1 | remaining: 299s    
step 00021 (0.4%) | loss: 5.811236 | lrm: 1.00 | dt: 136ms | tok/sec: 966,996 | mfu: 23.4% | epoch: 1 | remaining: 299s    
step 00022 (0.4%) | loss: 5.776425 | lrm: 1.00 | dt: 104ms | tok/sec: 1,257,211 | mfu: 30.4% | epoch: 1 | remaining: 299s    
step 00023 (0.4%) | loss: 5.743009 | lrm: 1.00 | dt: 100ms | tok/sec: 1,309,722 | mfu: 31.6% | epoch: 1 | remaining: 299s    
step 00024 (0.5%) | loss: 5.712719 | lrm: 1.00 | dt: 95ms | tok/sec: 1,382,772 | mfu: 33.4% | epoch: 1 | remaining: 298s    
step 00025 (0.5%) | loss: 5.676171 | lrm: 1.00 | dt: 82ms | tok/sec: 1,595,428 | mfu: 38.5% | epoch: 1 | remaining: 298s    
step 00026 (0.5%) | loss: 5.646942 | lrm: 1.00 | dt: 122ms | tok/sec: 1,075,796 | mfu: 26.0% | epoch: 1 | remaining: 298s    
step 00027 (0.6%) | loss: 5.621702 | lrm: 1.00 | dt: 109ms | tok/sec: 1,197,610 | mfu: 28.9% | epoch: 1 | remaining: 298s    
step 00028 (0.6%) | loss: 5.597726 | lrm: 1.00 | dt: 110ms | tok/sec: 1,191,027 | mfu: 28.8% | epoch: 1 | remaining: 298s    
step 00029 (0.7%) | loss: 5.570873 | lrm: 1.00 | dt: 125ms | tok/sec: 1,052,474 | mfu: 25.4% | epoch: 1 | remaining: 298s    
step 00030 (0.7%) | loss: 5.545405 | lrm: 1.00 | dt: 80ms | tok/sec: 1,639,114 | mfu: 39.6% | epoch: 1 | remaining: 298s    
