Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 25,165,824
  lm_head                 : 6,291,456
  transformer_matrices    : 56,623,872
  scalars                 : 16
  total                   : 94,372,624
Estimated FLOPs per token: 5.284869e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011235 | lrm: 1.00 | dt: 13817ms | tok/sec: 18,972 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.829394 | lrm: 1.00 | dt: 273ms | tok/sec: 960,577 | mfu: 51.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.401174 | lrm: 1.00 | dt: 275ms | tok/sec: 952,184 | mfu: 50.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.916152 | lrm: 1.00 | dt: 276ms | tok/sec: 951,491 | mfu: 50.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.534884 | lrm: 1.00 | dt: 300ms | tok/sec: 874,753 | mfu: 46.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.212140 | lrm: 1.00 | dt: 281ms | tok/sec: 934,286 | mfu: 49.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.968664 | lrm: 1.00 | dt: 279ms | tok/sec: 940,909 | mfu: 50.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.769000 | lrm: 1.00 | dt: 289ms | tok/sec: 906,413 | mfu: 48.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.600271 | lrm: 1.00 | dt: 282ms | tok/sec: 929,637 | mfu: 49.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.458635 | lrm: 1.00 | dt: 281ms | tok/sec: 933,192 | mfu: 49.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.341722 | lrm: 1.00 | dt: 282ms | tok/sec: 929,281 | mfu: 49.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.238551 | lrm: 1.00 | dt: 287ms | tok/sec: 913,864 | mfu: 48.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.146126 | lrm: 1.00 | dt: 282ms | tok/sec: 931,151 | mfu: 49.7% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.068473 | lrm: 1.00 | dt: 282ms | tok/sec: 929,370 | mfu: 49.6% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.999902 | lrm: 1.00 | dt: 284ms | tok/sec: 921,589 | mfu: 49.2% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.936602 | lrm: 1.00 | dt: 287ms | tok/sec: 914,004 | mfu: 48.8% | epoch: 1 | remaining: 299s    
step 00016 (0.5%) | loss: 5.880738 | lrm: 1.00 | dt: 283ms | tok/sec: 926,965 | mfu: 49.5% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 5.827365 | lrm: 1.00 | dt: 284ms | tok/sec: 921,990 | mfu: 49.2% | epoch: 1 | remaining: 298s    
step 00018 (0.7%) | loss: 5.780921 | lrm: 1.00 | dt: 284ms | tok/sec: 922,640 | mfu: 49.3% | epoch: 1 | remaining: 298s    
step 00019 (0.8%) | loss: 5.737184 | lrm: 1.00 | dt: 282ms | tok/sec: 929,420 | mfu: 49.6% | epoch: 1 | remaining: 297s    
step 00020 (0.9%) | loss: 5.695767 | lrm: 1.00 | dt: 283ms | tok/sec: 926,080 | mfu: 49.5% | epoch: 1 | remaining: 297s    
step 00021 (0.9%) | loss: 5.658231 | lrm: 1.00 | dt: 285ms | tok/sec: 920,515 | mfu: 49.2% | epoch: 1 | remaining: 297s    
step 00022 (1.0%) | loss: 5.625235 | lrm: 1.00 | dt: 283ms | tok/sec: 927,234 | mfu: 49.5% | epoch: 1 | remaining: 297s    
step 00023 (1.1%) | loss: 5.593249 | lrm: 1.00 | dt: 282ms | tok/sec: 929,041 | mfu: 49.6% | epoch: 1 | remaining: 296s    
step 00024 (1.2%) | loss: 5.563041 | lrm: 1.00 | dt: 285ms | tok/sec: 921,276 | mfu: 49.2% | epoch: 1 | remaining: 296s    
step 00025 (1.3%) | loss: 5.531976 | lrm: 1.00 | dt: 282ms | tok/sec: 928,768 | mfu: 49.6% | epoch: 1 | remaining: 296s    
step 00026 (1.4%) | loss: 5.501459 | lrm: 1.00 | dt: 286ms | tok/sec: 917,247 | mfu: 49.0% | epoch: 1 | remaining: 295s    
step 00027 (1.5%) | loss: 5.471808 | lrm: 1.00 | dt: 283ms | tok/sec: 925,357 | mfu: 49.4% | epoch: 1 | remaining: 295s    
step 00028 (1.6%) | loss: 5.445831 | lrm: 1.00 | dt: 286ms | tok/sec: 917,674 | mfu: 49.0% | epoch: 1 | remaining: 295s    
step 00029 (1.7%) | loss: 5.419430 | lrm: 1.00 | dt: 284ms | tok/sec: 923,237 | mfu: 49.3% | epoch: 1 | remaining: 295s    
step 00030 (1.8%) | loss: 5.389365 | lrm: 1.00 | dt: 284ms | tok/sec: 924,356 | mfu: 49.4% | epoch: 1 | remaining: 294s    
