run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	1	a1	0	ok	0.987686	0.987686	0.0
2	2	a0	0	ok	0.988168	0.987686	0.0
3	3	a4	0	ok	1.003243	0.987686	0.0
4	4	a5	0	ok	1.003546	0.987686	0.0
5	5	a2	0	ok	0.997353	0.987686	0.0
6	6	a3	0	ok	0.988497	0.987686	0.0
7	7	a1	0	ok	0.997297	0.987686	0.0
8	8	a0	0	ok	0.999011	0.987686	0.0
9	9	a2	0	ok	0.990329	0.987686	0.0
10	10	a4	0	ok	0.996114	0.987686	0.0
11	11	a5	0	ok	0.98523	0.98523	0.0
12	12	a1	0	ok	0.990053	0.98523	0.0
13	13	a0	0	ok	0.984671	0.984671	0.0
14	14	a2	0	ok	0.994464	0.984671	0.0
15	15	a3	0	ok	0.989854	0.984671	0.0
16	16	a4	0	ok	0.987916	0.984671	0.0
17	17	a5	0	ok	0.985159	0.984671	0.0
18	18	a1	0	ok	0.985236	0.984671	0.0
19	19	a0	0	ok	0.981817	0.981817	0.0
20	20	a2	0	ok	0.984954	0.981817	0.0
21	21	a3	0	ok	0.986247	0.981817	0.0
22	22	a4	0	ok	0.989689	0.981817	0.0
23	23	a5	0	ok	0.986355	0.981817	0.0
24	24	a1	0	ok	0.987079	0.981817	0.0
25	25	a0	0	ok	1.053934	0.981817	0.0
26	26	a2	0	ok	1.045863	0.981817	0.0
27	27	a3	0	ok	0.993373	0.981817	0.0
28	28	a4	0	ok	1.036138	0.981817	0.0
29	29	a5	0	ok	1.043352	0.981817	0.0
30	30	a1	0	ok	0.9918	0.981817	0.0
31	31	a0	0	ok	0.986542	0.981817	0.0
32	32	a2	0	ok	0.98464	0.981817	0.0
33	33	a3	0	ok	0.983388	0.981817	0.0
34	34	a4	0	ok	0.980071	0.980071	0.0
35	35	a5	0	ok	0.98438	0.980071	0.0
36	36	a3	0	ok	0.982139	0.980071	0.0
