Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 6775ms | tok/sec: 38,690 | mfu: 0.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867334 | lrm: 1.00 | dt: 154ms | tok/sec: 1,698,934 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486184 | lrm: 1.00 | dt: 157ms | tok/sec: 1,669,541 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034196 | lrm: 1.00 | dt: 156ms | tok/sec: 1,678,115 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655211 | lrm: 1.00 | dt: 157ms | tok/sec: 1,674,086 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322774 | lrm: 1.00 | dt: 157ms | tok/sec: 1,667,475 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069889 | lrm: 1.00 | dt: 182ms | tok/sec: 1,441,303 | mfu: 34.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.865045 | lrm: 1.00 | dt: 182ms | tok/sec: 1,440,727 | mfu: 34.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690687 | lrm: 1.00 | dt: 182ms | tok/sec: 1,442,353 | mfu: 34.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.542512 | lrm: 1.00 | dt: 170ms | tok/sec: 1,544,895 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.419371 | lrm: 1.00 | dt: 179ms | tok/sec: 1,463,490 | mfu: 35.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.310461 | lrm: 1.00 | dt: 169ms | tok/sec: 1,554,794 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.212930 | lrm: 1.00 | dt: 158ms | tok/sec: 1,661,609 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.130899 | lrm: 1.00 | dt: 157ms | tok/sec: 1,667,500 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.058159 | lrm: 1.00 | dt: 160ms | tok/sec: 1,636,460 | mfu: 39.5% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.991157 | lrm: 1.00 | dt: 177ms | tok/sec: 1,483,120 | mfu: 35.8% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.931986 | lrm: 1.00 | dt: 160ms | tok/sec: 1,634,511 | mfu: 39.5% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.874999 | lrm: 1.00 | dt: 169ms | tok/sec: 1,552,693 | mfu: 37.5% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.824935 | lrm: 1.00 | dt: 162ms | tok/sec: 1,622,574 | mfu: 39.2% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.777775 | lrm: 1.00 | dt: 183ms | tok/sec: 1,433,718 | mfu: 34.6% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.733403 | lrm: 1.00 | dt: 157ms | tok/sec: 1,667,751 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.693307 | lrm: 1.00 | dt: 178ms | tok/sec: 1,471,715 | mfu: 35.6% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.658352 | lrm: 1.00 | dt: 158ms | tok/sec: 1,658,944 | mfu: 40.1% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.624395 | lrm: 1.00 | dt: 167ms | tok/sec: 1,568,996 | mfu: 37.9% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.592708 | lrm: 1.00 | dt: 177ms | tok/sec: 1,480,215 | mfu: 35.8% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.560575 | lrm: 1.00 | dt: 161ms | tok/sec: 1,631,797 | mfu: 39.4% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.529553 | lrm: 1.00 | dt: 157ms | tok/sec: 1,668,680 | mfu: 40.3% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.499395 | lrm: 1.00 | dt: 185ms | tok/sec: 1,418,131 | mfu: 34.3% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.472932 | lrm: 1.00 | dt: 173ms | tok/sec: 1,512,056 | mfu: 36.5% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.446284 | lrm: 1.00 | dt: 188ms | tok/sec: 1,396,712 | mfu: 33.7% | epoch: 1 | remaining: 297s    
step 00030 (1.1%) | loss: 5.416450 | lrm: 1.00 | dt: 156ms | tok/sec: 1,679,920 | mfu: 40.6% | epoch: 1 | remaining: 297s    
step 00031 (1.1%) | loss: 5.390077 | lrm: 1.00 | dt: 170ms | tok/sec: 1,537,524 | mfu: 37.1% | epoch: 1 | remaining: 296s    
step 00032 (1.2%) | loss: 5.364953 | lrm: 1.00 | dt: 184ms | tok/sec: 1,425,271 | mfu: 34.4% | epoch: 1 | remaining: 296s    
step 00033 (1.2%) | loss: 5.340397 | lrm: 1.00 | dt: 180ms | tok/sec: 1,456,449 | mfu: 35.2% | epoch: 1 | remaining: 296s    
step 00034 (1.3%) | loss: 5.314665 | lrm: 1.00 | dt: 175ms | tok/sec: 1,501,429 | mfu: 36.3% | epoch: 1 | remaining: 296s    
step 00035 (1.4%) | loss: 5.287864 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,611 | mfu: 40.5% | epoch: 1 | remaining: 296s    
step 00036 (1.4%) | loss: 5.261675 | lrm: 1.00 | dt: 166ms | tok/sec: 1,578,959 | mfu: 38.2% | epoch: 1 | remaining: 296s    
step 00037 (1.5%) | loss: 5.236568 | lrm: 1.00 | dt: 157ms | tok/sec: 1,668,257 | mfu: 40.3% | epoch: 1 | remaining: 295s    
