run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	1	a1	0	ok	1.001611	0.997333	0.0
2	2	a4	0	crash		0.997333	0.0
3	3	a2	0	ok	1.0012	0.997333	0.0
4	5	a0	0	ok	1.041227	0.997333	0.0
5	7	a2	0	ok	1.04378	0.997333	0.0
6	8	a1	0	ok	1.042401	0.997333	0.0
7	9	a3	0	ok	1.042821	0.997333	0.0
8	10	a0	0	ok	1.001088	0.997333	0.0
9	11	a4	0	ok	1.014614	0.997333	0.0
10	12	a2	0	ok	0.988582	0.988582	0.0
11	13	a5	0	ok	1.029788	0.988582	0.0
12	14	a0	0	ok	0.99576	0.988582	0.0
13	15	a4	0	ok	1.043372	0.988582	0.0
14	16	a2	0	ok	0.994878	0.988582	0.0
15	17	a1	0	ok	0.994598	0.988582	0.0
16	18	a5	0	crash		0.988582	0.0
17	19	a0	0	ok	0.997892	0.988582	0.0
18	20	a4	0	ok	1.030786	0.988582	0.0
19	21	a2	0	ok	0.99142	0.988582	0.0
20	22	a1	0	ok	1.022835	0.988582	0.0
21	23	a5	0	ok	1.003419	0.988582	0.0
22	24	a0	0	ok	0.996555	0.988582	0.0
23	25	a4	0	ok	1.025886	0.988582	0.0
24	26	a2	0	ok	0.988312	0.988312	0.0
25	27	a1	0	ok	0.998954	0.988312	0.0
26	28	a5	0	ok	0.997949	0.988312	0.0
27	29	a0	0	ok	0.996579	0.988312	0.0
28	30	a4	0	ok	1.003372	0.988312	0.0
29	31	a1	0	ok	1.005521	0.988312	0.0
30	32	a5	0	ok	1.001522	0.988312	0.0
