Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011406 | lrm: 1.00 | dt: 9014ms | tok/sec: 58,161 | mfu: 2.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.214421 | lrm: 1.00 | dt: 515ms | tok/sec: 1,018,594 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.006237 | lrm: 1.00 | dt: 540ms | tok/sec: 971,746 | mfu: 42.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.604197 | lrm: 1.00 | dt: 524ms | tok/sec: 1,000,807 | mfu: 43.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.163179 | lrm: 1.00 | dt: 539ms | tok/sec: 971,957 | mfu: 42.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.785985 | lrm: 1.00 | dt: 524ms | tok/sec: 1,001,294 | mfu: 43.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.475216 | lrm: 1.00 | dt: 538ms | tok/sec: 973,648 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.219992 | lrm: 1.00 | dt: 529ms | tok/sec: 991,348 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.000666 | lrm: 1.00 | dt: 537ms | tok/sec: 976,053 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.811285 | lrm: 1.00 | dt: 529ms | tok/sec: 991,562 | mfu: 43.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.647792 | lrm: 1.00 | dt: 538ms | tok/sec: 974,896 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.509335 | lrm: 1.00 | dt: 531ms | tok/sec: 987,383 | mfu: 42.8% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.385765 | lrm: 1.00 | dt: 536ms | tok/sec: 977,336 | mfu: 42.3% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.274762 | lrm: 1.00 | dt: 533ms | tok/sec: 983,218 | mfu: 42.6% | epoch: 1 | remaining: 298s    
step 00014 (0.5%) | loss: 6.181069 | lrm: 1.00 | dt: 535ms | tok/sec: 979,135 | mfu: 42.4% | epoch: 1 | remaining: 298s    
step 00015 (0.7%) | loss: 6.096792 | lrm: 1.00 | dt: 531ms | tok/sec: 986,651 | mfu: 42.7% | epoch: 1 | remaining: 297s    
step 00016 (0.9%) | loss: 6.024505 | lrm: 1.00 | dt: 535ms | tok/sec: 980,192 | mfu: 42.5% | epoch: 1 | remaining: 297s    
step 00017 (1.1%) | loss: 5.956368 | lrm: 1.00 | dt: 535ms | tok/sec: 979,064 | mfu: 42.4% | epoch: 1 | remaining: 296s    
step 00018 (1.2%) | loss: 5.894617 | lrm: 1.00 | dt: 532ms | tok/sec: 985,879 | mfu: 42.7% | epoch: 1 | remaining: 296s    
step 00019 (1.4%) | loss: 5.837792 | lrm: 1.00 | dt: 536ms | tok/sec: 977,337 | mfu: 42.3% | epoch: 1 | remaining: 295s    
step 00020 (1.6%) | loss: 5.786125 | lrm: 1.00 | dt: 536ms | tok/sec: 978,687 | mfu: 42.4% | epoch: 1 | remaining: 295s    
step 00021 (1.8%) | loss: 5.738515 | lrm: 1.00 | dt: 538ms | tok/sec: 974,585 | mfu: 42.2% | epoch: 1 | remaining: 294s    
step 00022 (2.0%) | loss: 5.696556 | lrm: 1.00 | dt: 534ms | tok/sec: 982,138 | mfu: 42.5% | epoch: 1 | remaining: 294s    
step 00023 (2.1%) | loss: 5.654773 | lrm: 1.00 | dt: 536ms | tok/sec: 978,680 | mfu: 42.4% | epoch: 1 | remaining: 293s    
step 00024 (2.3%) | loss: 5.615389 | lrm: 1.00 | dt: 535ms | tok/sec: 979,933 | mfu: 42.4% | epoch: 1 | remaining: 293s    
step 00025 (2.5%) | loss: 5.580331 | lrm: 1.00 | dt: 538ms | tok/sec: 974,991 | mfu: 42.2% | epoch: 1 | remaining: 292s    
step 00026 (2.7%) | loss: 5.547813 | lrm: 1.00 | dt: 531ms | tok/sec: 986,583 | mfu: 42.7% | epoch: 1 | remaining: 291s    
step 00027 (2.9%) | loss: 5.516590 | lrm: 1.00 | dt: 534ms | tok/sec: 982,466 | mfu: 42.6% | epoch: 1 | remaining: 291s    
step 00028 (3.0%) | loss: 5.488259 | lrm: 1.00 | dt: 538ms | tok/sec: 975,052 | mfu: 42.2% | epoch: 1 | remaining: 290s    
step 00029 (3.2%) | loss: 5.459253 | lrm: 1.00 | dt: 534ms | tok/sec: 981,293 | mfu: 42.5% | epoch: 1 | remaining: 290s    
step 00030 (3.4%) | loss: 5.428916 | lrm: 1.00 | dt: 532ms | tok/sec: 984,934 | mfu: 42.7% | epoch: 1 | remaining: 289s    
