Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 7109ms | tok/sec: 73,748 | mfu: 1.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.856584 | lrm: 1.00 | dt: 310ms | tok/sec: 1,691,552 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.431908 | lrm: 1.00 | dt: 312ms | tok/sec: 1,682,812 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.959785 | lrm: 1.00 | dt: 486ms | tok/sec: 1,078,917 | mfu: 26.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.557016 | lrm: 1.00 | dt: 369ms | tok/sec: 1,421,903 | mfu: 34.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.230043 | lrm: 1.00 | dt: 376ms | tok/sec: 1,394,905 | mfu: 33.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.978975 | lrm: 1.00 | dt: 432ms | tok/sec: 1,214,950 | mfu: 29.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.766817 | lrm: 1.00 | dt: 426ms | tok/sec: 1,230,427 | mfu: 29.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.587680 | lrm: 1.00 | dt: 454ms | tok/sec: 1,154,584 | mfu: 27.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.437172 | lrm: 1.00 | dt: 478ms | tok/sec: 1,096,928 | mfu: 26.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.309241 | lrm: 1.00 | dt: 526ms | tok/sec: 996,777 | mfu: 24.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.203481 | lrm: 1.00 | dt: 590ms | tok/sec: 888,158 | mfu: 21.5% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.111395 | lrm: 1.00 | dt: 466ms | tok/sec: 1,124,959 | mfu: 27.2% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.027972 | lrm: 1.00 | dt: 519ms | tok/sec: 1,010,056 | mfu: 24.4% | epoch: 1 | remaining: 298s    
step 00014 (0.5%) | loss: 5.955910 | lrm: 1.00 | dt: 473ms | tok/sec: 1,109,121 | mfu: 26.8% | epoch: 1 | remaining: 298s    
step 00015 (0.7%) | loss: 5.889897 | lrm: 1.00 | dt: 507ms | tok/sec: 1,033,639 | mfu: 25.0% | epoch: 1 | remaining: 297s    
step 00016 (0.9%) | loss: 5.832650 | lrm: 1.00 | dt: 378ms | tok/sec: 1,387,006 | mfu: 33.5% | epoch: 1 | remaining: 297s    
step 00017 (1.0%) | loss: 5.776844 | lrm: 1.00 | dt: 437ms | tok/sec: 1,198,997 | mfu: 29.0% | epoch: 1 | remaining: 297s    
step 00018 (1.1%) | loss: 5.726269 | lrm: 1.00 | dt: 473ms | tok/sec: 1,107,787 | mfu: 26.8% | epoch: 1 | remaining: 296s    
step 00019 (1.3%) | loss: 5.678806 | lrm: 1.00 | dt: 458ms | tok/sec: 1,145,257 | mfu: 27.7% | epoch: 1 | remaining: 296s    
step 00020 (1.4%) | loss: 5.634843 | lrm: 1.00 | dt: 493ms | tok/sec: 1,062,717 | mfu: 25.7% | epoch: 1 | remaining: 295s    
step 00021 (1.6%) | loss: 5.592549 | lrm: 1.00 | dt: 504ms | tok/sec: 1,041,185 | mfu: 25.2% | epoch: 1 | remaining: 295s    
step 00022 (1.8%) | loss: 5.553641 | lrm: 1.00 | dt: 407ms | tok/sec: 1,287,478 | mfu: 31.1% | epoch: 1 | remaining: 294s    
step 00023 (1.9%) | loss: 5.512605 | lrm: 1.00 | dt: 432ms | tok/sec: 1,213,797 | mfu: 29.3% | epoch: 1 | remaining: 294s    
step 00024 (2.0%) | loss: 5.474057 | lrm: 1.00 | dt: 595ms | tok/sec: 881,824 | mfu: 21.3% | epoch: 1 | remaining: 293s    
step 00025 (2.2%) | loss: 5.437944 | lrm: 1.00 | dt: 392ms | tok/sec: 1,337,915 | mfu: 32.3% | epoch: 1 | remaining: 293s    
step 00026 (2.4%) | loss: 5.403148 | lrm: 1.00 | dt: 335ms | tok/sec: 1,563,169 | mfu: 37.8% | epoch: 1 | remaining: 293s    
step 00027 (2.5%) | loss: 5.369949 | lrm: 1.00 | dt: 560ms | tok/sec: 936,404 | mfu: 22.6% | epoch: 1 | remaining: 292s    
step 00028 (2.7%) | loss: 5.339225 | lrm: 1.00 | dt: 347ms | tok/sec: 1,510,023 | mfu: 36.5% | epoch: 1 | remaining: 292s    
step 00029 (2.8%) | loss: 5.307229 | lrm: 1.00 | dt: 464ms | tok/sec: 1,130,809 | mfu: 27.3% | epoch: 1 | remaining: 291s    
step 00030 (2.9%) | loss: 5.273545 | lrm: 1.00 | dt: 406ms | tok/sec: 1,289,863 | mfu: 31.2% | epoch: 1 | remaining: 291s    
step 00031 (3.1%) | loss: 5.240172 | lrm: 1.00 | dt: 392ms | tok/sec: 1,337,655 | mfu: 32.3% | epoch: 1 | remaining: 290s    
step 00032 (3.2%) | loss: 5.208517 | lrm: 1.00 | dt: 414ms | tok/sec: 1,266,870 | mfu: 30.6% | epoch: 1 | remaining: 290s    
step 00033 (3.3%) | loss: 5.179483 | lrm: 1.00 | dt: 414ms | tok/sec: 1,267,634 | mfu: 30.6% | epoch: 1 | remaining: 290s    
step 00034 (3.5%) | loss: 5.145256 | lrm: 1.00 | dt: 360ms | tok/sec: 1,455,895 | mfu: 35.2% | epoch: 1 | remaining: 289s    
step 00035 (3.6%) | loss: 5.115372 | lrm: 1.00 | dt: 411ms | tok/sec: 1,275,997 | mfu: 30.8% | epoch: 1 | remaining: 289s    
step 00036 (3.7%) | loss: 5.085980 | lrm: 1.00 | dt: 408ms | tok/sec: 1,286,110 | mfu: 31.1% | epoch: 1 | remaining: 288s    
step 00037 (3.9%) | loss: 5.056867 | lrm: 1.00 | dt: 416ms | tok/sec: 1,259,885 | mfu: 30.4% | epoch: 1 | remaining: 288s    
step 00038 (4.0%) | loss: 5.026937 | lrm: 1.00 | dt: 407ms | tok/sec: 1,288,116 | mfu: 31.1% | epoch: 1 | remaining: 288s    
step 00039 (4.2%) | loss: 4.998726 | lrm: 1.00 | dt: 410ms | tok/sec: 1,278,010 | mfu: 30.9% | epoch: 1 | remaining: 287s    
step 00040 (4.3%) | loss: 4.967327 | lrm: 1.00 | dt: 366ms | tok/sec: 1,433,175 | mfu: 34.6% | epoch: 1 | remaining: 287s    
step 00041 (4.4%) | loss: 4.938424 | lrm: 1.00 | dt: 394ms | tok/sec: 1,330,944 | mfu: 32.2% | epoch: 1 | remaining: 286s    
step 00042 (4.5%) | loss: 4.910809 | lrm: 1.00 | dt: 430ms | tok/sec: 1,218,982 | mfu: 29.5% | epoch: 1 | remaining: 286s    
step 00043 (4.7%) | loss: 4.880708 | lrm: 1.00 | dt: 456ms | tok/sec: 1,149,260 | mfu: 27.8% | epoch: 1 | remaining: 285s    
step 00044 (4.8%) | loss: 4.850401 | lrm: 1.00 | dt: 486ms | tok/sec: 1,078,891 | mfu: 26.1% | epoch: 1 | remaining: 285s    
step 00045 (5.0%) | loss: 4.820543 | lrm: 1.00 | dt: 455ms | tok/sec: 1,152,506 | mfu: 27.8% | epoch: 1 | remaining: 285s    
step 00046 (5.2%) | loss: 4.790985 | lrm: 1.00 | dt: 433ms | tok/sec: 1,212,104 | mfu: 29.3% | epoch: 1 | remaining: 284s    
step 00047 (5.3%) | loss: 4.754230 | lrm: 1.00 | dt: 474ms | tok/sec: 1,106,285 | mfu: 26.7% | epoch: 1 | remaining: 284s    
step 00048 (5.5%) | loss: 4.729481 | lrm: 1.00 | dt: 519ms | tok/sec: 1,010,674 | mfu: 24.4% | epoch: 1 | remaining: 283s    
step 00049 (5.6%) | loss: 4.697775 | lrm: 1.00 | dt: 429ms | tok/sec: 1,222,142 | mfu: 29.5% | epoch: 1 | remaining: 283s    
step 00050 (5.8%) | loss: 4.665576 | lrm: 1.00 | dt: 388ms | tok/sec: 1,352,441 | mfu: 32.7% | epoch: 1 | remaining: 282s    
step 00051 (5.9%) | loss: 4.637389 | lrm: 1.00 | dt: 364ms | tok/sec: 1,441,312 | mfu: 34.8% | epoch: 1 | remaining: 282s    
step 00052 (6.0%) | loss: 4.607456 | lrm: 1.00 | dt: 366ms | tok/sec: 1,432,894 | mfu: 34.6% | epoch: 1 | remaining: 282s    
step 00053 (6.1%) | loss: 4.580689 | lrm: 1.00 | dt: 431ms | tok/sec: 1,215,632 | mfu: 29.4% | epoch: 1 | remaining: 281s    
step 00054 (6.3%) | loss: 4.554786 | lrm: 1.00 | dt: 383ms | tok/sec: 1,370,416 | mfu: 33.1% | epoch: 1 | remaining: 281s    
step 00055 (6.4%) | loss: 4.527367 | lrm: 1.00 | dt: 440ms | tok/sec: 1,190,218 | mfu: 28.8% | epoch: 1 | remaining: 280s    
step 00056 (6.6%) | loss: 4.503788 | lrm: 1.00 | dt: 389ms | tok/sec: 1,346,152 | mfu: 32.5% | epoch: 1 | remaining: 280s    
step 00057 (6.7%) | loss: 4.479754 | lrm: 1.00 | dt: 489ms | tok/sec: 1,071,839 | mfu: 25.9% | epoch: 1 | remaining: 279s    
step 00058 (6.9%) | loss: 4.450589 | lrm: 1.00 | dt: 396ms | tok/sec: 1,323,620 | mfu: 32.0% | epoch: 1 | remaining: 279s    
step 00059 (7.0%) | loss: 4.427933 | lrm: 1.00 | dt: 368ms | tok/sec: 1,426,123 | mfu: 34.5% | epoch: 1 | remaining: 279s    
step 00060 (7.1%) | loss: 4.402333 | lrm: 1.00 | dt: 319ms | tok/sec: 1,644,280 | mfu: 39.7% | epoch: 1 | remaining: 278s    
step 00061 (7.2%) | loss: 4.373889 | lrm: 1.00 | dt: 442ms | tok/sec: 1,186,337 | mfu: 28.7% | epoch: 1 | remaining: 278s    
step 00062 (7.4%) | loss: 4.351793 | lrm: 1.00 | dt: 423ms | tok/sec: 1,240,030 | mfu: 30.0% | epoch: 1 | remaining: 277s    
