Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSLL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.516613e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 15103ms | tok/sec: 34,714 | mfu: 0.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854708 | lrm: 1.00 | dt: 349ms | tok/sec: 1,500,379 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442372 | lrm: 1.00 | dt: 349ms | tok/sec: 1,503,385 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971780 | lrm: 1.00 | dt: 375ms | tok/sec: 1,396,558 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578796 | lrm: 1.00 | dt: 375ms | tok/sec: 1,397,149 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248883 | lrm: 1.00 | dt: 373ms | tok/sec: 1,404,212 | mfu: 35.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998119 | lrm: 1.00 | dt: 439ms | tok/sec: 1,194,773 | mfu: 30.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787147 | lrm: 1.00 | dt: 532ms | tok/sec: 985,659 | mfu: 25.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.607071 | lrm: 1.00 | dt: 459ms | tok/sec: 1,141,255 | mfu: 29.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455247 | lrm: 1.00 | dt: 413ms | tok/sec: 1,268,250 | mfu: 32.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325495 | lrm: 1.00 | dt: 431ms | tok/sec: 1,215,263 | mfu: 30.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217215 | lrm: 1.00 | dt: 534ms | tok/sec: 982,654 | mfu: 25.0% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.120885 | lrm: 1.00 | dt: 441ms | tok/sec: 1,188,127 | mfu: 30.2% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.035103 | lrm: 1.00 | dt: 568ms | tok/sec: 922,799 | mfu: 23.5% | epoch: 1 | remaining: 298s    
step 00014 (0.5%) | loss: 5.963064 | lrm: 1.00 | dt: 526ms | tok/sec: 996,711 | mfu: 25.3% | epoch: 1 | remaining: 298s    
step 00015 (0.7%) | loss: 5.898517 | lrm: 1.00 | dt: 459ms | tok/sec: 1,141,713 | mfu: 29.0% | epoch: 1 | remaining: 297s    
step 00016 (0.8%) | loss: 5.842390 | lrm: 1.00 | dt: 442ms | tok/sec: 1,186,609 | mfu: 30.2% | epoch: 1 | remaining: 297s    
step 00017 (1.0%) | loss: 5.787936 | lrm: 1.00 | dt: 465ms | tok/sec: 1,128,564 | mfu: 28.7% | epoch: 1 | remaining: 297s    
step 00018 (1.1%) | loss: 5.739001 | lrm: 1.00 | dt: 481ms | tok/sec: 1,089,295 | mfu: 27.7% | epoch: 1 | remaining: 296s    
step 00019 (1.3%) | loss: 5.693392 | lrm: 1.00 | dt: 640ms | tok/sec: 819,063 | mfu: 20.8% | epoch: 1 | remaining: 295s    
step 00020 (1.5%) | loss: 5.651055 | lrm: 1.00 | dt: 591ms | tok/sec: 887,522 | mfu: 22.6% | epoch: 1 | remaining: 295s    
step 00021 (1.7%) | loss: 5.610604 | lrm: 1.00 | dt: 466ms | tok/sec: 1,124,567 | mfu: 28.6% | epoch: 1 | remaining: 294s    
step 00022 (1.9%) | loss: 5.574717 | lrm: 1.00 | dt: 571ms | tok/sec: 917,512 | mfu: 23.3% | epoch: 1 | remaining: 294s    
step 00023 (2.1%) | loss: 5.537223 | lrm: 1.00 | dt: 514ms | tok/sec: 1,020,499 | mfu: 26.0% | epoch: 1 | remaining: 293s    
step 00024 (2.2%) | loss: 5.501344 | lrm: 1.00 | dt: 496ms | tok/sec: 1,057,735 | mfu: 26.9% | epoch: 1 | remaining: 293s    
step 00025 (2.4%) | loss: 5.468577 | lrm: 1.00 | dt: 432ms | tok/sec: 1,214,288 | mfu: 30.9% | epoch: 1 | remaining: 292s    
step 00026 (2.5%) | loss: 5.437470 | lrm: 1.00 | dt: 413ms | tok/sec: 1,269,906 | mfu: 32.3% | epoch: 1 | remaining: 292s    
step 00027 (2.7%) | loss: 5.406980 | lrm: 1.00 | dt: 453ms | tok/sec: 1,156,225 | mfu: 29.4% | epoch: 1 | remaining: 292s    
step 00028 (2.8%) | loss: 5.378915 | lrm: 1.00 | dt: 424ms | tok/sec: 1,235,468 | mfu: 31.4% | epoch: 1 | remaining: 291s    
step 00029 (3.0%) | loss: 5.350251 | lrm: 1.00 | dt: 468ms | tok/sec: 1,120,000 | mfu: 28.5% | epoch: 1 | remaining: 291s    
step 00030 (3.1%) | loss: 5.319696 | lrm: 1.00 | dt: 547ms | tok/sec: 958,243 | mfu: 24.4% | epoch: 1 | remaining: 290s    
