run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	1	a5	0	ok	1.001629	1.001629	0.0
2	2	a1	0	ok	1.001799	1.001629	0.0
3	3	a4	0	ok	1.066267	1.001629	0.0
4	4	a3	0	ok	1.066017	1.001629	0.0
5	5	a0	0	ok	1.063523	1.001629	0.0
6	6	a5	0	crash		1.001629	0.0
7	7	a1	0	crash		1.001629	0.0
8	8	a4	0	crash		1.001629	0.0
9	9	a3	0	crash		1.001629	0.0
10	10	a0	0	ok	1.00126	1.00126	0.0
11	11	a5	0	ok	1.015093	1.00126	0.0
12	12	a1	0	ok	1.015012	1.00126	0.0
13	13	a4	0	ok	1.014859	1.00126	0.0
14	14	a3	0	ok	1.015028	1.00126	0.0
15	15	a0	0	crash		1.00126	0.0
16	16	a5	0	crash		1.00126	0.0
17	17	a1	0	ok	1.004844	1.00126	0.0
18	18	a4	0	ok	1.012919	1.00126	0.0
19	19	a3	0	ok	1.011362	1.00126	0.0
20	20	a0	0	ok	1.015048	1.00126	0.0
21	21	a5	0	ok	1.011977	1.00126	0.0
22	22	a1	0	ok	1.002009	1.00126	0.0
23	23	a4	0	ok	1.013932	1.00126	0.0
24	24	a3	0	ok	1.013105	1.00126	0.0
25	25	a0	0	ok	0.99837	0.99837	0.0
26	26	a5	0	ok	1.002182	0.99837	0.0
27	27	a1	0	ok	1.002941	0.99837	0.0
28	28	a4	0	ok	1.014791	0.99837	0.0
29	29	a3	0	ok	1.012279	0.99837	0.0
30	30	a0	0	ok	0.996232	0.996232	0.0
31	31	a2	0	crash		0.996232	0.0
32	32	a2	0	ok	1.031865	0.996232	0.0
33	33	a2	0	ok	1.031393	0.996232	0.0
34	34	a2	0	ok	0.997177	0.996232	0.0
35	35	a2	0	ok	1.00324	0.996232	0.0
36	36	a2	0	ok	0.997303	0.996232	0.0
