Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 37,748,736
  lm_head                 : 6,291,456
  transformer_matrices    : 70,780,032
  scalars                 : 20
  total                   : 121,111,700
Estimated FLOPs per token: 5.355671e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011165 | lrm: 1.00 | dt: 26264ms | tok/sec: 9,981 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.828844 | lrm: 1.00 | dt: 325ms | tok/sec: 806,429 | mfu: 43.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.401388 | lrm: 1.00 | dt: 325ms | tok/sec: 806,448 | mfu: 43.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.913044 | lrm: 1.00 | dt: 351ms | tok/sec: 747,671 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.530183 | lrm: 1.00 | dt: 331ms | tok/sec: 792,731 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.205920 | lrm: 1.00 | dt: 330ms | tok/sec: 794,752 | mfu: 43.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.962868 | lrm: 1.00 | dt: 346ms | tok/sec: 757,749 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.767131 | lrm: 1.00 | dt: 339ms | tok/sec: 774,339 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.594808 | lrm: 1.00 | dt: 330ms | tok/sec: 795,414 | mfu: 43.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.453503 | lrm: 1.00 | dt: 346ms | tok/sec: 757,747 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.335602 | lrm: 1.00 | dt: 336ms | tok/sec: 779,709 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.231025 | lrm: 1.00 | dt: 333ms | tok/sec: 786,907 | mfu: 42.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.133207 | lrm: 1.00 | dt: 346ms | tok/sec: 758,063 | mfu: 41.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.057396 | lrm: 1.00 | dt: 337ms | tok/sec: 777,949 | mfu: 42.1% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.986073 | lrm: 1.00 | dt: 334ms | tok/sec: 784,074 | mfu: 42.4% | epoch: 1 | remaining: 299s    
step 00015 (0.5%) | loss: 5.922094 | lrm: 1.00 | dt: 343ms | tok/sec: 763,895 | mfu: 41.3% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 5.866750 | lrm: 1.00 | dt: 338ms | tok/sec: 775,280 | mfu: 42.0% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.811201 | lrm: 1.00 | dt: 335ms | tok/sec: 783,558 | mfu: 42.4% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.758443 | lrm: 1.00 | dt: 343ms | tok/sec: 763,974 | mfu: 41.4% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.710284 | lrm: 1.00 | dt: 339ms | tok/sec: 773,350 | mfu: 41.9% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.665898 | lrm: 1.00 | dt: 335ms | tok/sec: 781,737 | mfu: 42.3% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.620986 | lrm: 1.00 | dt: 342ms | tok/sec: 767,231 | mfu: 41.5% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.583429 | lrm: 1.00 | dt: 337ms | tok/sec: 778,785 | mfu: 42.2% | epoch: 1 | remaining: 296s    
step 00023 (1.4%) | loss: 5.544164 | lrm: 1.00 | dt: 337ms | tok/sec: 778,198 | mfu: 42.1% | epoch: 1 | remaining: 296s    
step 00024 (1.5%) | loss: 5.508520 | lrm: 1.00 | dt: 343ms | tok/sec: 764,598 | mfu: 41.4% | epoch: 1 | remaining: 295s    
step 00025 (1.6%) | loss: 5.469754 | lrm: 1.00 | dt: 337ms | tok/sec: 777,030 | mfu: 42.1% | epoch: 1 | remaining: 295s    
step 00026 (1.7%) | loss: 5.435189 | lrm: 1.00 | dt: 339ms | tok/sec: 774,163 | mfu: 41.9% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 5.399454 | lrm: 1.00 | dt: 345ms | tok/sec: 760,130 | mfu: 41.1% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.368529 | lrm: 1.00 | dt: 334ms | tok/sec: 783,744 | mfu: 42.4% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.333214 | lrm: 1.00 | dt: 338ms | tok/sec: 774,686 | mfu: 41.9% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.295371 | lrm: 1.00 | dt: 342ms | tok/sec: 766,870 | mfu: 41.5% | epoch: 1 | remaining: 293s    
step 00031 (2.3%) | loss: 5.265286 | lrm: 1.00 | dt: 338ms | tok/sec: 775,060 | mfu: 42.0% | epoch: 1 | remaining: 293s    
step 00032 (2.4%) | loss: 5.234768 | lrm: 1.00 | dt: 338ms | tok/sec: 776,315 | mfu: 42.0% | epoch: 1 | remaining: 293s    
step 00033 (2.5%) | loss: 5.208143 | lrm: 1.00 | dt: 341ms | tok/sec: 769,392 | mfu: 41.6% | epoch: 1 | remaining: 292s    
step 00034 (2.6%) | loss: 5.175605 | lrm: 1.00 | dt: 340ms | tok/sec: 770,723 | mfu: 41.7% | epoch: 1 | remaining: 292s    
step 00035 (2.7%) | loss: 5.141831 | lrm: 1.00 | dt: 339ms | tok/sec: 772,358 | mfu: 41.8% | epoch: 1 | remaining: 292s    
step 00036 (2.8%) | loss: 5.110063 | lrm: 1.00 | dt: 340ms | tok/sec: 770,144 | mfu: 41.7% | epoch: 1 | remaining: 291s    
step 00037 (2.9%) | loss: 5.080187 | lrm: 1.00 | dt: 339ms | tok/sec: 773,301 | mfu: 41.9% | epoch: 1 | remaining: 291s    
step 00038 (3.1%) | loss: 5.049423 | lrm: 1.00 | dt: 339ms | tok/sec: 773,154 | mfu: 41.8% | epoch: 1 | remaining: 291s    
step 00039 (3.2%) | loss: 5.021485 | lrm: 1.00 | dt: 341ms | tok/sec: 768,172 | mfu: 41.6% | epoch: 1 | remaining: 290s    
step 00040 (3.3%) | loss: 4.996931 | lrm: 1.00 | dt: 338ms | tok/sec: 775,226 | mfu: 42.0% | epoch: 1 | remaining: 290s    
step 00041 (3.4%) | loss: 4.968871 | lrm: 1.00 | dt: 340ms | tok/sec: 770,030 | mfu: 41.7% | epoch: 1 | remaining: 289s    
step 00042 (3.5%) | loss: 4.946165 | lrm: 1.00 | dt: 340ms | tok/sec: 771,372 | mfu: 41.8% | epoch: 1 | remaining: 289s    
step 00043 (3.6%) | loss: 4.915583 | lrm: 1.00 | dt: 339ms | tok/sec: 773,187 | mfu: 41.8% | epoch: 1 | remaining: 289s    
step 00044 (3.7%) | loss: 4.888160 | lrm: 1.00 | dt: 339ms | tok/sec: 773,327 | mfu: 41.9% | epoch: 1 | remaining: 288s    
step 00045 (3.8%) | loss: 4.864542 | lrm: 1.00 | dt: 341ms | tok/sec: 769,563 | mfu: 41.7% | epoch: 1 | remaining: 288s    
step 00046 (4.0%) | loss: 4.835807 | lrm: 1.00 | dt: 340ms | tok/sec: 771,322 | mfu: 41.7% | epoch: 1 | remaining: 288s    
step 00047 (4.1%) | loss: 4.804134 | lrm: 1.00 | dt: 339ms | tok/sec: 772,321 | mfu: 41.8% | epoch: 1 | remaining: 287s    
step 00048 (4.2%) | loss: 4.775154 | lrm: 1.00 | dt: 341ms | tok/sec: 768,565 | mfu: 41.6% | epoch: 1 | remaining: 287s    
step 00049 (4.3%) | loss: 4.747296 | lrm: 1.00 | dt: 339ms | tok/sec: 773,889 | mfu: 41.9% | epoch: 1 | remaining: 287s    
step 00050 (4.4%) | loss: 4.723783 | lrm: 1.00 | dt: 341ms | tok/sec: 768,239 | mfu: 41.6% | epoch: 1 | remaining: 286s    
step 00051 (4.5%) | loss: 4.695518 | lrm: 1.00 | dt: 341ms | tok/sec: 768,961 | mfu: 41.6% | epoch: 1 | remaining: 286s    
step 00052 (4.6%) | loss: 4.670311 | lrm: 1.00 | dt: 339ms | tok/sec: 773,906 | mfu: 41.9% | epoch: 1 | remaining: 286s    
step 00053 (4.7%) | loss: 4.646128 | lrm: 1.00 | dt: 341ms | tok/sec: 768,561 | mfu: 41.6% | epoch: 1 | remaining: 285s    
step 00054 (4.9%) | loss: 4.619336 | lrm: 1.00 | dt: 340ms | tok/sec: 770,914 | mfu: 41.7% | epoch: 1 | remaining: 285s    
step 00055 (5.0%) | loss: 4.600065 | lrm: 1.00 | dt: 339ms | tok/sec: 774,174 | mfu: 41.9% | epoch: 1 | remaining: 285s    
step 00056 (5.1%) | loss: 4.580077 | lrm: 1.00 | dt: 339ms | tok/sec: 772,872 | mfu: 41.8% | epoch: 1 | remaining: 284s    
step 00057 (5.2%) | loss: 4.558555 | lrm: 1.00 | dt: 343ms | tok/sec: 763,445 | mfu: 41.3% | epoch: 1 | remaining: 284s    
step 00058 (5.3%) | loss: 4.535020 | lrm: 1.00 | dt: 339ms | tok/sec: 773,775 | mfu: 41.9% | epoch: 1 | remaining: 284s    
step 00059 (5.4%) | loss: 4.514797 | lrm: 1.00 | dt: 339ms | tok/sec: 773,396 | mfu: 41.9% | epoch: 1 | remaining: 283s    
step 00060 (5.5%) | loss: 4.493469 | lrm: 1.00 | dt: 340ms | tok/sec: 771,510 | mfu: 41.8% | epoch: 1 | remaining: 283s    
step 00061 (5.7%) | loss: 4.467752 | lrm: 1.00 | dt: 339ms | tok/sec: 774,241 | mfu: 41.9% | epoch: 1 | remaining: 283s    
step 00062 (5.8%) | loss: 4.447574 | lrm: 1.00 | dt: 337ms | tok/sec: 777,606 | mfu: 42.1% | epoch: 1 | remaining: 282s    
step 00063 (5.9%) | loss: 4.428594 | lrm: 1.00 | dt: 340ms | tok/sec: 771,824 | mfu: 41.8% | epoch: 1 | remaining: 282s    
step 00064 (6.0%) | loss: 4.408813 | lrm: 1.00 | dt: 341ms | tok/sec: 768,226 | mfu: 41.6% | epoch: 1 | remaining: 282s    
step 00065 (6.1%) | loss: 4.384911 | lrm: 1.00 | dt: 338ms | tok/sec: 774,584 | mfu: 41.9% | epoch: 1 | remaining: 281s    
step 00066 (6.2%) | loss: 4.362498 | lrm: 1.00 | dt: 340ms | tok/sec: 771,116 | mfu: 41.7% | epoch: 1 | remaining: 281s    
step 00067 (6.3%) | loss: 4.349862 | lrm: 1.00 | dt: 338ms | tok/sec: 775,449 | mfu: 42.0% | epoch: 1 | remaining: 281s    
step 00068 (6.4%) | loss: 4.331342 | lrm: 1.00 | dt: 339ms | tok/sec: 774,157 | mfu: 41.9% | epoch: 1 | remaining: 280s    
step 00069 (6.6%) | loss: 4.313871 | lrm: 1.00 | dt: 339ms | tok/sec: 772,962 | mfu: 41.8% | epoch: 1 | remaining: 280s    
step 00070 (6.7%) | loss: 4.294885 | lrm: 1.00 | dt: 338ms | tok/sec: 775,509 | mfu: 42.0% | epoch: 1 | remaining: 280s    
