Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 37,748,736
  lm_head                 : 6,291,456
  transformer_matrices    : 56,624,256
  scalars                 : 16
  total                   : 106,955,920
Estimated FLOPs per token: 4.293988e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011420 | lrm: 1.00 | dt: 18954ms | tok/sec: 10,372 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.836877 | lrm: 1.00 | dt: 201ms | tok/sec: 979,214 | mfu: 42.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.427088 | lrm: 1.00 | dt: 203ms | tok/sec: 967,535 | mfu: 42.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.942808 | lrm: 1.00 | dt: 203ms | tok/sec: 969,255 | mfu: 42.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.584887 | lrm: 1.00 | dt: 204ms | tok/sec: 965,858 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.275279 | lrm: 1.00 | dt: 224ms | tok/sec: 876,087 | mfu: 38.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.032825 | lrm: 1.00 | dt: 208ms | tok/sec: 943,879 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.827664 | lrm: 1.00 | dt: 206ms | tok/sec: 956,145 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.662363 | lrm: 1.00 | dt: 204ms | tok/sec: 965,897 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.516931 | lrm: 1.00 | dt: 210ms | tok/sec: 937,517 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.401758 | lrm: 1.00 | dt: 218ms | tok/sec: 900,729 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.296919 | lrm: 1.00 | dt: 208ms | tok/sec: 945,221 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.208249 | lrm: 1.00 | dt: 205ms | tok/sec: 957,348 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.128669 | lrm: 1.00 | dt: 206ms | tok/sec: 955,118 | mfu: 41.4% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.064001 | lrm: 1.00 | dt: 214ms | tok/sec: 919,711 | mfu: 39.9% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 5.995385 | lrm: 1.00 | dt: 214ms | tok/sec: 919,751 | mfu: 39.9% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.928847 | lrm: 1.00 | dt: 208ms | tok/sec: 943,823 | mfu: 41.0% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.871516 | lrm: 1.00 | dt: 207ms | tok/sec: 951,267 | mfu: 41.3% | epoch: 1 | remaining: 299s    
step 00018 (0.5%) | loss: 5.824259 | lrm: 1.00 | dt: 207ms | tok/sec: 949,182 | mfu: 41.2% | epoch: 1 | remaining: 298s    
step 00019 (0.6%) | loss: 5.777127 | lrm: 1.00 | dt: 212ms | tok/sec: 928,934 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00020 (0.6%) | loss: 5.731261 | lrm: 1.00 | dt: 213ms | tok/sec: 924,683 | mfu: 40.1% | epoch: 1 | remaining: 298s    
step 00021 (0.7%) | loss: 5.685775 | lrm: 1.00 | dt: 209ms | tok/sec: 939,505 | mfu: 40.8% | epoch: 1 | remaining: 298s    
step 00022 (0.8%) | loss: 5.647775 | lrm: 1.00 | dt: 205ms | tok/sec: 957,569 | mfu: 41.6% | epoch: 1 | remaining: 297s    
step 00023 (0.8%) | loss: 5.607896 | lrm: 1.00 | dt: 209ms | tok/sec: 942,388 | mfu: 40.9% | epoch: 1 | remaining: 297s    
step 00024 (0.9%) | loss: 5.567633 | lrm: 1.00 | dt: 213ms | tok/sec: 922,498 | mfu: 40.0% | epoch: 1 | remaining: 297s    
step 00025 (1.0%) | loss: 5.527695 | lrm: 1.00 | dt: 211ms | tok/sec: 932,271 | mfu: 40.5% | epoch: 1 | remaining: 297s    
step 00026 (1.0%) | loss: 5.488649 | lrm: 1.00 | dt: 209ms | tok/sec: 940,013 | mfu: 40.8% | epoch: 1 | remaining: 297s    
step 00027 (1.1%) | loss: 5.452020 | lrm: 1.00 | dt: 208ms | tok/sec: 944,301 | mfu: 41.0% | epoch: 1 | remaining: 296s    
step 00028 (1.2%) | loss: 5.415874 | lrm: 1.00 | dt: 209ms | tok/sec: 938,773 | mfu: 40.7% | epoch: 1 | remaining: 296s    
step 00029 (1.3%) | loss: 5.380700 | lrm: 1.00 | dt: 213ms | tok/sec: 923,951 | mfu: 40.1% | epoch: 1 | remaining: 296s    
step 00030 (1.3%) | loss: 5.351187 | lrm: 1.00 | dt: 210ms | tok/sec: 937,009 | mfu: 40.7% | epoch: 1 | remaining: 296s    
step 00031 (1.4%) | loss: 5.319160 | lrm: 1.00 | dt: 208ms | tok/sec: 947,270 | mfu: 41.1% | epoch: 1 | remaining: 296s    
step 00032 (1.5%) | loss: 5.287250 | lrm: 1.00 | dt: 210ms | tok/sec: 937,551 | mfu: 40.7% | epoch: 1 | remaining: 295s    
step 00033 (1.5%) | loss: 5.257103 | lrm: 1.00 | dt: 210ms | tok/sec: 936,109 | mfu: 40.6% | epoch: 1 | remaining: 295s    
step 00034 (1.6%) | loss: 5.222947 | lrm: 1.00 | dt: 211ms | tok/sec: 931,278 | mfu: 40.4% | epoch: 1 | remaining: 295s    
step 00035 (1.7%) | loss: 5.193256 | lrm: 1.00 | dt: 210ms | tok/sec: 935,169 | mfu: 40.6% | epoch: 1 | remaining: 295s    
step 00036 (1.7%) | loss: 5.162650 | lrm: 1.00 | dt: 208ms | tok/sec: 943,485 | mfu: 40.9% | epoch: 1 | remaining: 295s    
step 00037 (1.8%) | loss: 5.133593 | lrm: 1.00 | dt: 209ms | tok/sec: 939,944 | mfu: 40.8% | epoch: 1 | remaining: 294s    
step 00038 (1.9%) | loss: 5.109220 | lrm: 1.00 | dt: 211ms | tok/sec: 932,031 | mfu: 40.4% | epoch: 1 | remaining: 294s    
step 00039 (2.0%) | loss: 5.079796 | lrm: 1.00 | dt: 209ms | tok/sec: 940,302 | mfu: 40.8% | epoch: 1 | remaining: 294s    
