run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	1	a3	0	crash		0.997359	0.0
2	4	a4	0	ok	1.002419	0.997359	0.0
3	5	a5	0	ok	1.001883	0.997359	0.0
4	6	a2	0	crash		0.997359	0.0
5	7	a4	0	ok	1.046152	0.997359	0.0
6	8	a3	0	crash		0.997359	0.0
7	9	a1	0	ok	1.046559	0.997359	0.0
8	10	a5	0	ok	1.045636	0.997359	0.0
9	11	a4	0	crash		0.997359	0.0
10	12	a2	0	ok	0.996697	0.996697	0.0
11	13	a1	0	ok	0.998002	0.996697	0.0
12	14	a0	0	ok	1.044704	0.996697	0.0
13	15	a5	0	ok	0.989057	0.989057	0.0
14	16	a2	0	ok	0.999626	0.989057	0.0
15	17	a4	0	ok	0.99952	0.989057	0.0
16	18	a5	0	ok	0.999683	0.989057	0.0
17	19	a2	0	ok	0.993467	0.989057	0.0
18	20	a1	0	ok	0.989028	0.989028	0.0
19	21	a4	0	ok	0.998686	0.989028	0.0
20	22	a5	0	ok	0.991229	0.989028	0.0
21	23	a2	0	ok	0.990382	0.989028	0.0
22	25	a4	0	ok	0.997158	0.989028	0.0
23	26	a5	0	ok	0.991483	0.989028	0.0
24	27	a2	0	crash		0.989028	0.0
25	28	a1	0	ok	0.991526	0.989028	0.0
26	29	a3	0	ok	0.977903	0.977903	0.0
27	30	a1	0	ok	0.978168	0.977903	0.0
28	30	a3	0	ok	0.981864	0.977903	0.0
29	31	a0	0	ok	0.977046	0.977046	0.0
30	31	a3	0	crash		0.977046	0.0
31	32	a1	0	ok	0.97719	0.977046	0.0
32	32	a3	0	ok	0.991183	0.977046	0.0
33	33	a0	0	ok	0.981326	0.977046	0.0
34	34	a0	0	crash		0.977046	0.0
35	35	a0	0	crash		0.977046	0.0
36	35	a0	0	ok	0.981216	0.977046	0.0
