Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 6985ms | tok/sec: 75,063 | mfu: 1.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.856735 | lrm: 1.00 | dt: 308ms | tok/sec: 1,704,850 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.431185 | lrm: 1.00 | dt: 312ms | tok/sec: 1,682,548 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.958981 | lrm: 1.00 | dt: 343ms | tok/sec: 1,529,028 | mfu: 36.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.556110 | lrm: 1.00 | dt: 335ms | tok/sec: 1,566,746 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.229396 | lrm: 1.00 | dt: 344ms | tok/sec: 1,522,589 | mfu: 36.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.978475 | lrm: 1.00 | dt: 342ms | tok/sec: 1,535,229 | mfu: 37.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.766444 | lrm: 1.00 | dt: 361ms | tok/sec: 1,453,828 | mfu: 35.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.587444 | lrm: 1.00 | dt: 364ms | tok/sec: 1,441,045 | mfu: 34.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.436980 | lrm: 1.00 | dt: 341ms | tok/sec: 1,539,311 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.309089 | lrm: 1.00 | dt: 321ms | tok/sec: 1,635,097 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.203118 | lrm: 1.00 | dt: 369ms | tok/sec: 1,420,695 | mfu: 34.3% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.110818 | lrm: 1.00 | dt: 314ms | tok/sec: 1,670,051 | mfu: 40.4% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.027813 | lrm: 1.00 | dt: 331ms | tok/sec: 1,584,708 | mfu: 38.3% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.956209 | lrm: 1.00 | dt: 341ms | tok/sec: 1,539,182 | mfu: 37.2% | epoch: 1 | remaining: 299s    
step 00015 (0.5%) | loss: 5.890551 | lrm: 1.00 | dt: 359ms | tok/sec: 1,458,504 | mfu: 35.2% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 5.833610 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,426 | mfu: 39.5% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.778135 | lrm: 1.00 | dt: 339ms | tok/sec: 1,545,194 | mfu: 37.3% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.727960 | lrm: 1.00 | dt: 372ms | tok/sec: 1,407,899 | mfu: 34.0% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.681080 | lrm: 1.00 | dt: 353ms | tok/sec: 1,484,669 | mfu: 35.9% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.637488 | lrm: 1.00 | dt: 336ms | tok/sec: 1,558,300 | mfu: 37.7% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.595437 | lrm: 1.00 | dt: 331ms | tok/sec: 1,582,684 | mfu: 38.2% | epoch: 1 | remaining: 296s    
step 00022 (1.3%) | loss: 5.557019 | lrm: 1.00 | dt: 368ms | tok/sec: 1,426,403 | mfu: 34.5% | epoch: 1 | remaining: 296s    
step 00023 (1.4%) | loss: 5.516525 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,756 | mfu: 39.6% | epoch: 1 | remaining: 296s    
step 00024 (1.5%) | loss: 5.478081 | lrm: 1.00 | dt: 342ms | tok/sec: 1,533,785 | mfu: 37.1% | epoch: 1 | remaining: 295s    
step 00025 (1.6%) | loss: 5.442364 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,053 | mfu: 39.6% | epoch: 1 | remaining: 295s    
step 00026 (1.7%) | loss: 5.408078 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,051 | mfu: 39.8% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 5.375030 | lrm: 1.00 | dt: 320ms | tok/sec: 1,639,217 | mfu: 39.6% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.344773 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,279 | mfu: 39.0% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.313347 | lrm: 1.00 | dt: 317ms | tok/sec: 1,651,424 | mfu: 39.9% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.280171 | lrm: 1.00 | dt: 320ms | tok/sec: 1,639,731 | mfu: 39.6% | epoch: 1 | remaining: 293s    
