Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SLSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 20,971,520
  lm_head                 : 5,242,880
  transformer_matrices    : 39,322,240
  scalars                 : 16
  total                   : 70,779,536
Estimated FLOPs per token: 3.617626e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011407 | lrm: 1.00 | dt: 15361ms | tok/sec: 34,131 | mfu: 1.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.292035 | lrm: 1.00 | dt: 418ms | tok/sec: 1,254,805 | mfu: 45.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.877401 | lrm: 1.00 | dt: 423ms | tok/sec: 1,240,272 | mfu: 45.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.560082 | lrm: 1.00 | dt: 447ms | tok/sec: 1,174,069 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.353037 | lrm: 1.00 | dt: 423ms | tok/sec: 1,239,124 | mfu: 45.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.139979 | lrm: 1.00 | dt: 446ms | tok/sec: 1,175,579 | mfu: 43.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.880248 | lrm: 1.00 | dt: 427ms | tok/sec: 1,228,203 | mfu: 44.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.618260 | lrm: 1.00 | dt: 437ms | tok/sec: 1,198,706 | mfu: 43.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.374174 | lrm: 1.00 | dt: 434ms | tok/sec: 1,208,156 | mfu: 44.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.151680 | lrm: 1.00 | dt: 435ms | tok/sec: 1,206,192 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.954033 | lrm: 1.00 | dt: 438ms | tok/sec: 1,198,347 | mfu: 43.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.783901 | lrm: 1.00 | dt: 430ms | tok/sec: 1,219,044 | mfu: 44.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.634365 | lrm: 1.00 | dt: 443ms | tok/sec: 1,184,529 | mfu: 43.3% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.498035 | lrm: 1.00 | dt: 433ms | tok/sec: 1,210,166 | mfu: 44.2% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 6.380438 | lrm: 1.00 | dt: 438ms | tok/sec: 1,195,878 | mfu: 43.7% | epoch: 1 | remaining: 298s    
step 00015 (0.6%) | loss: 6.274212 | lrm: 1.00 | dt: 435ms | tok/sec: 1,205,098 | mfu: 44.1% | epoch: 1 | remaining: 298s    
step 00016 (0.7%) | loss: 6.182974 | lrm: 1.00 | dt: 436ms | tok/sec: 1,202,670 | mfu: 44.0% | epoch: 1 | remaining: 297s    
step 00017 (0.9%) | loss: 6.097029 | lrm: 1.00 | dt: 437ms | tok/sec: 1,201,003 | mfu: 43.9% | epoch: 1 | remaining: 297s    
step 00018 (1.0%) | loss: 6.019274 | lrm: 1.00 | dt: 435ms | tok/sec: 1,205,353 | mfu: 44.1% | epoch: 1 | remaining: 297s    
step 00019 (1.2%) | loss: 5.948409 | lrm: 1.00 | dt: 438ms | tok/sec: 1,196,553 | mfu: 43.7% | epoch: 1 | remaining: 296s    
step 00020 (1.3%) | loss: 5.884222 | lrm: 1.00 | dt: 435ms | tok/sec: 1,205,955 | mfu: 44.1% | epoch: 1 | remaining: 296s    
step 00021 (1.5%) | loss: 5.825031 | lrm: 1.00 | dt: 435ms | tok/sec: 1,205,947 | mfu: 44.1% | epoch: 1 | remaining: 295s    
step 00022 (1.6%) | loss: 5.773798 | lrm: 1.00 | dt: 435ms | tok/sec: 1,205,830 | mfu: 44.1% | epoch: 1 | remaining: 295s    
step 00023 (1.7%) | loss: 5.722472 | lrm: 1.00 | dt: 437ms | tok/sec: 1,200,304 | mfu: 43.9% | epoch: 1 | remaining: 294s    
step 00024 (1.9%) | loss: 5.674129 | lrm: 1.00 | dt: 439ms | tok/sec: 1,193,009 | mfu: 43.6% | epoch: 1 | remaining: 294s    
step 00025 (2.0%) | loss: 5.630775 | lrm: 1.00 | dt: 435ms | tok/sec: 1,204,330 | mfu: 44.0% | epoch: 1 | remaining: 293s    
step 00026 (2.2%) | loss: 5.590508 | lrm: 1.00 | dt: 437ms | tok/sec: 1,200,726 | mfu: 43.9% | epoch: 1 | remaining: 293s    
step 00027 (2.3%) | loss: 5.553083 | lrm: 1.00 | dt: 434ms | tok/sec: 1,209,263 | mfu: 44.2% | epoch: 1 | remaining: 293s    
step 00028 (2.5%) | loss: 5.518297 | lrm: 1.00 | dt: 436ms | tok/sec: 1,203,523 | mfu: 44.0% | epoch: 1 | remaining: 292s    
step 00029 (2.6%) | loss: 5.482789 | lrm: 1.00 | dt: 437ms | tok/sec: 1,198,680 | mfu: 43.8% | epoch: 1 | remaining: 292s    
step 00030 (2.8%) | loss: 5.447855 | lrm: 1.00 | dt: 439ms | tok/sec: 1,193,659 | mfu: 43.6% | epoch: 1 | remaining: 291s    
