Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'LLLL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.768271e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 7367ms | tok/sec: 71,167 | mfu: 2.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.820114 | lrm: 1.00 | dt: 314ms | tok/sec: 1,671,896 | mfu: 46.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.238197 | lrm: 1.00 | dt: 315ms | tok/sec: 1,664,018 | mfu: 46.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.718484 | lrm: 1.00 | dt: 366ms | tok/sec: 1,433,373 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.309524 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,437 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.014349 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,241 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.775924 | lrm: 1.00 | dt: 336ms | tok/sec: 1,559,736 | mfu: 43.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.580671 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,292 | mfu: 45.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.419870 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,828 | mfu: 45.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.292356 | lrm: 1.00 | dt: 332ms | tok/sec: 1,576,932 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.181931 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,031 | mfu: 45.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.087679 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,399 | mfu: 45.5% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.002339 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,897 | mfu: 44.9% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 5.926074 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,436 | mfu: 44.6% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.861395 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,033 | mfu: 45.6% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.802758 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,406 | mfu: 44.7% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.752664 | lrm: 1.00 | dt: 329ms | tok/sec: 1,595,210 | mfu: 44.6% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.704133 | lrm: 1.00 | dt: 324ms | tok/sec: 1,615,744 | mfu: 45.2% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.659356 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,510 | mfu: 44.4% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.615372 | lrm: 1.00 | dt: 351ms | tok/sec: 1,495,596 | mfu: 41.8% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.574626 | lrm: 1.00 | dt: 374ms | tok/sec: 1,400,019 | mfu: 39.2% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.535507 | lrm: 1.00 | dt: 319ms | tok/sec: 1,642,860 | mfu: 46.0% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.500937 | lrm: 1.00 | dt: 334ms | tok/sec: 1,568,470 | mfu: 43.9% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.462996 | lrm: 1.00 | dt: 336ms | tok/sec: 1,561,900 | mfu: 43.7% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.425400 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,572 | mfu: 45.6% | epoch: 1 | remaining: 295s    
step 00025 (1.5%) | loss: 5.389893 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,471 | mfu: 45.1% | epoch: 1 | remaining: 295s    
step 00026 (1.7%) | loss: 5.356188 | lrm: 1.00 | dt: 331ms | tok/sec: 1,585,185 | mfu: 44.3% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 5.323841 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,646 | mfu: 45.6% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.293233 | lrm: 1.00 | dt: 327ms | tok/sec: 1,600,932 | mfu: 44.8% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.261370 | lrm: 1.00 | dt: 341ms | tok/sec: 1,539,511 | mfu: 43.1% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.227187 | lrm: 1.00 | dt: 325ms | tok/sec: 1,615,200 | mfu: 45.2% | epoch: 1 | remaining: 293s    
