run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	1	a5	0	ok	1.013937	0.996598	0.0
2	2	a3	0	ok	1.013283	0.996598	0.0
3	3	a4	0	ok	0.998285	0.996598	0.0
4	4	a1	0	ok	1.0007	0.996598	0.0
5	5	a2	0	ok	0.995888	0.995888	0.0
6	6	a5	0	ok	1.008931	0.995888	0.0
7	7	a1	0	ok	1.043937	0.995888	0.0
8	8	a3	0	ok	0.99712	0.995888	0.0
9	9	a4	0	ok	0.997858	0.995888	0.0
10	10	a3	0	ok	0.995627	0.995627	0.0
11	11	a1	0	ok	0.998223	0.995627	0.0
12	12	a2	0	ok	1.043133	0.995627	0.0
13	13	a0	0	ok	1.009565	0.995627	0.0
14	14	a3	0	ok	0.99648	0.995627	0.0
15	15	a2	0	ok	1.010507	0.995627	0.0
16	16	a1	0	ok	0.996159	0.995627	0.0
17	17	a3	0	ok	0.995952	0.995627	0.0
18	18	a2	0	ok	0.996342	0.995627	0.0
19	19	a4	0	ok	1.013393	0.995627	0.0
20	20	a1	0	ok	0.999784	0.995627	0.0
21	21	a3	0	ok	0.995457	0.995457	0.0
22	23	a0	0	ok	0.996122	0.995457	0.0
23	24	a0	0	ok	0.996238	0.995457	0.0
24	25	a4	0	ok	1.000671	0.995457	0.0
25	28	a2	0	ok	0.996446	0.995457	0.0
26	29	a0	0	ok	0.999106	0.995457	0.0
27	30	a4	0	ok	1.043784	0.995457	0.0
28	31	a2	0	ok	0.996737	0.995457	0.0
29	32	a0	0	ok	0.998617	0.995457	0.0
30	33	a4	0	ok	0.999095	0.995457	0.0
31	34	a1	0	ok	0.996535	0.995457	0.0
32	34	a5	0	ok	0.995675	0.995457	0.0
33	35	a0	0	ok	0.995253	0.995253	0.0
34	35	a5	0	ok	0.995085	0.995085	0.0
35	36	a5	0	ok	0.996397	0.995085	0.0
36	36	a5	0	ok	0.995183	0.995085	0.0
