Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'S'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.107668e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 15424ms | tok/sec: 16,996 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867308 | lrm: 1.00 | dt: 148ms | tok/sec: 1,766,990 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486149 | lrm: 1.00 | dt: 151ms | tok/sec: 1,736,195 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034141 | lrm: 1.00 | dt: 152ms | tok/sec: 1,725,557 | mfu: 36.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654801 | lrm: 1.00 | dt: 151ms | tok/sec: 1,738,976 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322244 | lrm: 1.00 | dt: 151ms | tok/sec: 1,736,017 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069281 | lrm: 1.00 | dt: 196ms | tok/sec: 1,338,606 | mfu: 28.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864171 | lrm: 1.00 | dt: 209ms | tok/sec: 1,253,098 | mfu: 26.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.689682 | lrm: 1.00 | dt: 217ms | tok/sec: 1,210,537 | mfu: 25.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541338 | lrm: 1.00 | dt: 219ms | tok/sec: 1,197,952 | mfu: 25.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.417981 | lrm: 1.00 | dt: 203ms | tok/sec: 1,294,318 | mfu: 27.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.308806 | lrm: 1.00 | dt: 165ms | tok/sec: 1,585,018 | mfu: 33.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.210880 | lrm: 1.00 | dt: 176ms | tok/sec: 1,486,481 | mfu: 31.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.128358 | lrm: 1.00 | dt: 183ms | tok/sec: 1,430,009 | mfu: 30.5% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.055101 | lrm: 1.00 | dt: 157ms | tok/sec: 1,670,942 | mfu: 35.6% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.987506 | lrm: 1.00 | dt: 194ms | tok/sec: 1,350,331 | mfu: 28.8% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.927598 | lrm: 1.00 | dt: 164ms | tok/sec: 1,600,213 | mfu: 34.1% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.869757 | lrm: 1.00 | dt: 178ms | tok/sec: 1,473,465 | mfu: 31.4% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.818644 | lrm: 1.00 | dt: 151ms | tok/sec: 1,737,086 | mfu: 37.0% | epoch: 1 | remaining: 299s    
step 00019 (0.5%) | loss: 5.770307 | lrm: 1.00 | dt: 192ms | tok/sec: 1,363,030 | mfu: 29.0% | epoch: 1 | remaining: 298s    
step 00020 (0.5%) | loss: 5.724842 | lrm: 1.00 | dt: 157ms | tok/sec: 1,669,115 | mfu: 35.6% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.683238 | lrm: 1.00 | dt: 199ms | tok/sec: 1,320,438 | mfu: 28.1% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.646489 | lrm: 1.00 | dt: 182ms | tok/sec: 1,440,073 | mfu: 30.7% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.610774 | lrm: 1.00 | dt: 188ms | tok/sec: 1,397,163 | mfu: 29.8% | epoch: 1 | remaining: 298s    
step 00024 (0.8%) | loss: 5.577502 | lrm: 1.00 | dt: 170ms | tok/sec: 1,544,448 | mfu: 32.9% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.543326 | lrm: 1.00 | dt: 213ms | tok/sec: 1,232,578 | mfu: 26.3% | epoch: 1 | remaining: 297s    
step 00026 (0.9%) | loss: 5.509853 | lrm: 1.00 | dt: 155ms | tok/sec: 1,693,382 | mfu: 36.1% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.477091 | lrm: 1.00 | dt: 184ms | tok/sec: 1,421,077 | mfu: 30.3% | epoch: 1 | remaining: 297s    
step 00028 (1.0%) | loss: 5.448186 | lrm: 1.00 | dt: 154ms | tok/sec: 1,707,088 | mfu: 36.4% | epoch: 1 | remaining: 297s    
step 00029 (1.1%) | loss: 5.419376 | lrm: 1.00 | dt: 182ms | tok/sec: 1,437,240 | mfu: 30.6% | epoch: 1 | remaining: 297s    
step 00030 (1.1%) | loss: 5.387212 | lrm: 1.00 | dt: 176ms | tok/sec: 1,488,844 | mfu: 31.7% | epoch: 1 | remaining: 296s    
