Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 14830ms | tok/sec: 17,676 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867323 | lrm: 1.00 | dt: 153ms | tok/sec: 1,715,432 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486197 | lrm: 1.00 | dt: 153ms | tok/sec: 1,710,647 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034181 | lrm: 1.00 | dt: 154ms | tok/sec: 1,706,068 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655211 | lrm: 1.00 | dt: 154ms | tok/sec: 1,706,953 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322743 | lrm: 1.00 | dt: 163ms | tok/sec: 1,610,340 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069839 | lrm: 1.00 | dt: 172ms | tok/sec: 1,524,446 | mfu: 36.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864930 | lrm: 1.00 | dt: 174ms | tok/sec: 1,505,172 | mfu: 36.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690553 | lrm: 1.00 | dt: 157ms | tok/sec: 1,669,485 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.542340 | lrm: 1.00 | dt: 156ms | tok/sec: 1,681,696 | mfu: 40.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.419151 | lrm: 1.00 | dt: 175ms | tok/sec: 1,494,470 | mfu: 36.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.310207 | lrm: 1.00 | dt: 155ms | tok/sec: 1,694,873 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.212666 | lrm: 1.00 | dt: 163ms | tok/sec: 1,607,741 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.130605 | lrm: 1.00 | dt: 166ms | tok/sec: 1,582,445 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.057808 | lrm: 1.00 | dt: 159ms | tok/sec: 1,651,488 | mfu: 39.9% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.990744 | lrm: 1.00 | dt: 205ms | tok/sec: 1,281,634 | mfu: 31.0% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.931577 | lrm: 1.00 | dt: 155ms | tok/sec: 1,692,095 | mfu: 40.9% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.874636 | lrm: 1.00 | dt: 165ms | tok/sec: 1,592,424 | mfu: 38.5% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.824618 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,795 | mfu: 40.5% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.777555 | lrm: 1.00 | dt: 179ms | tok/sec: 1,461,327 | mfu: 35.3% | epoch: 1 | remaining: 298s    
step 00020 (0.5%) | loss: 5.733284 | lrm: 1.00 | dt: 156ms | tok/sec: 1,681,395 | mfu: 40.6% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.693374 | lrm: 1.00 | dt: 167ms | tok/sec: 1,573,525 | mfu: 38.0% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.658664 | lrm: 1.00 | dt: 158ms | tok/sec: 1,656,549 | mfu: 40.0% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.624818 | lrm: 1.00 | dt: 184ms | tok/sec: 1,423,778 | mfu: 34.4% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.593279 | lrm: 1.00 | dt: 159ms | tok/sec: 1,652,392 | mfu: 39.9% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.561372 | lrm: 1.00 | dt: 163ms | tok/sec: 1,606,137 | mfu: 38.8% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.530571 | lrm: 1.00 | dt: 186ms | tok/sec: 1,411,459 | mfu: 34.1% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.500651 | lrm: 1.00 | dt: 203ms | tok/sec: 1,290,135 | mfu: 31.2% | epoch: 1 | remaining: 297s    
step 00028 (1.0%) | loss: 5.474432 | lrm: 1.00 | dt: 195ms | tok/sec: 1,342,103 | mfu: 32.4% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.448030 | lrm: 1.00 | dt: 192ms | tok/sec: 1,363,909 | mfu: 33.0% | epoch: 1 | remaining: 297s    
step 00030 (1.1%) | loss: 5.418469 | lrm: 1.00 | dt: 176ms | tok/sec: 1,487,587 | mfu: 35.9% | epoch: 1 | remaining: 297s    
