Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 33,554,432
  lm_head                 : 4,194,304
  transformer_matrices    : 33,555,456
  scalars                 : 16
  total                   : 75,498,512
Estimated FLOPs per token: 2.799759e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 8188ms | tok/sec: 32,016 | mfu: 0.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854143 | lrm: 1.00 | dt: 183ms | tok/sec: 1,435,854 | mfu: 40.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.529634 | lrm: 1.00 | dt: 184ms | tok/sec: 1,428,161 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.103055 | lrm: 1.00 | dt: 185ms | tok/sec: 1,416,953 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.726958 | lrm: 1.00 | dt: 186ms | tok/sec: 1,408,891 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.388657 | lrm: 1.00 | dt: 196ms | tok/sec: 1,336,946 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.125799 | lrm: 1.00 | dt: 214ms | tok/sec: 1,225,157 | mfu: 34.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.914200 | lrm: 1.00 | dt: 239ms | tok/sec: 1,096,990 | mfu: 31.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.734694 | lrm: 1.00 | dt: 210ms | tok/sec: 1,246,154 | mfu: 35.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.580788 | lrm: 1.00 | dt: 195ms | tok/sec: 1,345,491 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.452788 | lrm: 1.00 | dt: 185ms | tok/sec: 1,417,585 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.339564 | lrm: 1.00 | dt: 187ms | tok/sec: 1,401,741 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.238287 | lrm: 1.00 | dt: 196ms | tok/sec: 1,339,722 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.152653 | lrm: 1.00 | dt: 194ms | tok/sec: 1,354,563 | mfu: 38.3% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.076428 | lrm: 1.00 | dt: 189ms | tok/sec: 1,387,086 | mfu: 39.2% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 6.006531 | lrm: 1.00 | dt: 206ms | tok/sec: 1,273,554 | mfu: 36.0% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.944285 | lrm: 1.00 | dt: 183ms | tok/sec: 1,429,087 | mfu: 40.4% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.884748 | lrm: 1.00 | dt: 192ms | tok/sec: 1,362,025 | mfu: 38.5% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.832401 | lrm: 1.00 | dt: 195ms | tok/sec: 1,346,269 | mfu: 38.1% | epoch: 1 | remaining: 298s    
step 00019 (0.5%) | loss: 5.783650 | lrm: 1.00 | dt: 208ms | tok/sec: 1,258,641 | mfu: 35.6% | epoch: 1 | remaining: 298s    
step 00020 (0.6%) | loss: 5.737811 | lrm: 1.00 | dt: 188ms | tok/sec: 1,395,167 | mfu: 39.5% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.695743 | lrm: 1.00 | dt: 186ms | tok/sec: 1,407,104 | mfu: 39.8% | epoch: 1 | remaining: 298s    
step 00022 (0.7%) | loss: 5.658515 | lrm: 1.00 | dt: 188ms | tok/sec: 1,391,887 | mfu: 39.4% | epoch: 1 | remaining: 298s    
step 00023 (0.8%) | loss: 5.622346 | lrm: 1.00 | dt: 194ms | tok/sec: 1,348,599 | mfu: 38.2% | epoch: 1 | remaining: 297s    
step 00024 (0.8%) | loss: 5.588912 | lrm: 1.00 | dt: 194ms | tok/sec: 1,354,543 | mfu: 38.3% | epoch: 1 | remaining: 297s    
step 00025 (0.9%) | loss: 5.555351 | lrm: 1.00 | dt: 191ms | tok/sec: 1,373,520 | mfu: 38.9% | epoch: 1 | remaining: 297s    
step 00026 (1.0%) | loss: 5.522885 | lrm: 1.00 | dt: 187ms | tok/sec: 1,400,402 | mfu: 39.6% | epoch: 1 | remaining: 297s    
step 00027 (1.0%) | loss: 5.490841 | lrm: 1.00 | dt: 188ms | tok/sec: 1,393,881 | mfu: 39.4% | epoch: 1 | remaining: 297s    
step 00028 (1.1%) | loss: 5.462977 | lrm: 1.00 | dt: 197ms | tok/sec: 1,332,671 | mfu: 37.7% | epoch: 1 | remaining: 297s    
step 00029 (1.2%) | loss: 5.435290 | lrm: 1.00 | dt: 192ms | tok/sec: 1,362,272 | mfu: 38.5% | epoch: 1 | remaining: 296s    
step 00030 (1.2%) | loss: 5.404682 | lrm: 1.00 | dt: 194ms | tok/sec: 1,352,088 | mfu: 38.3% | epoch: 1 | remaining: 296s    
