run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	1	a0	0	ok	1.002094	0.997359	0.0
2	2	a0	0	ok	1.004693	0.997359	0.0
3	3	a0	0	ok	0.989498	0.989498	0.0
4	4	a0	0	ok	0.998166	0.989498	0.0
5	5	a0	0	ok	0.993275	0.989498	0.0
6	6	a0	0	ok	0.996679	0.989498	0.0
7	7	a0	0	ok	0.987884	0.987884	0.0
8	8	a0	0	ok	0.988849	0.987884	0.0
9	9	a0	0	ok	0.989226	0.987884	0.0
10	10	a0	0	ok	0.987388	0.987388	0.0
11	11	a0	0	ok	0.988534	0.987388	0.0
12	12	a0	0	ok	0.986397	0.986397	0.0
13	13	a0	0	ok	0.987757	0.986397	0.0
14	14	a0	0	ok	0.984833	0.984833	0.0
15	15	a0	0	ok	0.988392	0.984833	0.0
16	16	a0	0	ok	0.985109	0.984833	0.0
17	17	a0	0	ok	0.985614	0.984833	0.0
18	18	a0	0	ok	0.990728	0.984833	0.0
19	19	a0	0	ok	0.984049	0.984049	0.0
20	20	a0	0	ok	0.983147	0.983147	0.0
21	21	a0	0	ok	0.983318	0.983147	0.0
22	22	a0	0	ok	0.989912	0.983147	0.0
23	23	a0	0	ok	0.983005	0.983005	0.0
24	24	a0	0	ok	0.982289	0.982289	0.0
25	25	a0	0	ok	0.983141	0.982289	0.0
26	26	a0	0	ok	0.984308	0.982289	0.0
27	27	a0	0	ok	0.983402	0.982289	0.0
28	28	a0	0	ok	0.982867	0.982289	0.0
29	29	a0	0	ok	0.983091	0.982289	0.0
30	30	a0	0	ok	0.98577	0.982289	0.0
31	31	a0	0	ok	0.982384	0.982289	0.0
32	32	a0	0	ok	0.981856	0.981856	0.0
33	33	a0	0	ok	0.985007	0.981856	0.0
34	34	a0	0	ok	0.982201	0.981856	0.0
35	35	a0	0	ok	0.981181	0.981181	0.0
36	36	a0	0	ok	0.980742	0.980742	0.0
