Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'L', 'bos_token_id': 8188, 'max_docs_per_row': 8}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 41,943,040
  lm_head                 : 5,242,880
  transformer_matrices    : 39,322,880
  scalars                 : 16
  total                   : 91,751,696
Estimated FLOPs per token: 3.932237e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011345 | lrm: 1.00 | dt: 8250ms | tok/sec: 31,773 | mfu: 1.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.207977 | lrm: 1.00 | dt: 211ms | tok/sec: 1,241,493 | mfu: 49.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.960793 | lrm: 1.00 | dt: 213ms | tok/sec: 1,229,737 | mfu: 48.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.646501 | lrm: 1.00 | dt: 213ms | tok/sec: 1,233,417 | mfu: 49.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.391521 | lrm: 1.00 | dt: 214ms | tok/sec: 1,227,632 | mfu: 48.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.115640 | lrm: 1.00 | dt: 234ms | tok/sec: 1,122,184 | mfu: 44.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.873397 | lrm: 1.00 | dt: 217ms | tok/sec: 1,210,382 | mfu: 48.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.651378 | lrm: 1.00 | dt: 216ms | tok/sec: 1,214,458 | mfu: 48.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.452092 | lrm: 1.00 | dt: 213ms | tok/sec: 1,229,227 | mfu: 48.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.257035 | lrm: 1.00 | dt: 226ms | tok/sec: 1,160,487 | mfu: 46.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.081333 | lrm: 1.00 | dt: 224ms | tok/sec: 1,170,569 | mfu: 46.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.919612 | lrm: 1.00 | dt: 216ms | tok/sec: 1,214,622 | mfu: 48.3% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.770947 | lrm: 1.00 | dt: 216ms | tok/sec: 1,215,475 | mfu: 48.3% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.640905 | lrm: 1.00 | dt: 219ms | tok/sec: 1,195,372 | mfu: 47.5% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.521959 | lrm: 1.00 | dt: 227ms | tok/sec: 1,152,873 | mfu: 45.8% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 6.412551 | lrm: 1.00 | dt: 220ms | tok/sec: 1,193,017 | mfu: 47.4% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 6.313890 | lrm: 1.00 | dt: 218ms | tok/sec: 1,203,455 | mfu: 47.8% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 6.225440 | lrm: 1.00 | dt: 217ms | tok/sec: 1,206,272 | mfu: 47.9% | epoch: 1 | remaining: 298s    
step 00018 (0.5%) | loss: 6.143592 | lrm: 0.99 | dt: 222ms | tok/sec: 1,178,726 | mfu: 46.8% | epoch: 1 | remaining: 298s    
step 00019 (0.6%) | loss: 6.066492 | lrm: 0.99 | dt: 222ms | tok/sec: 1,182,215 | mfu: 47.0% | epoch: 1 | remaining: 298s    
step 00020 (0.7%) | loss: 5.993798 | lrm: 0.99 | dt: 218ms | tok/sec: 1,200,969 | mfu: 47.7% | epoch: 1 | remaining: 298s    
step 00021 (0.7%) | loss: 5.927440 | lrm: 0.99 | dt: 216ms | tok/sec: 1,213,708 | mfu: 48.2% | epoch: 1 | remaining: 298s    
step 00022 (0.8%) | loss: 5.867853 | lrm: 0.99 | dt: 218ms | tok/sec: 1,204,705 | mfu: 47.9% | epoch: 1 | remaining: 297s    
step 00023 (0.9%) | loss: 5.812633 | lrm: 0.99 | dt: 222ms | tok/sec: 1,179,113 | mfu: 46.9% | epoch: 1 | remaining: 297s    
step 00024 (1.0%) | loss: 5.760575 | lrm: 0.99 | dt: 218ms | tok/sec: 1,201,887 | mfu: 47.8% | epoch: 1 | remaining: 297s    
step 00025 (1.0%) | loss: 5.709317 | lrm: 0.99 | dt: 217ms | tok/sec: 1,206,098 | mfu: 47.9% | epoch: 1 | remaining: 297s    
step 00026 (1.1%) | loss: 5.660214 | lrm: 0.99 | dt: 216ms | tok/sec: 1,212,113 | mfu: 48.2% | epoch: 1 | remaining: 296s    
step 00027 (1.2%) | loss: 5.612614 | lrm: 0.99 | dt: 222ms | tok/sec: 1,182,153 | mfu: 47.0% | epoch: 1 | remaining: 296s    
step 00028 (1.2%) | loss: 5.571417 | lrm: 0.99 | dt: 221ms | tok/sec: 1,185,959 | mfu: 47.1% | epoch: 1 | remaining: 296s    
step 00029 (1.3%) | loss: 5.531057 | lrm: 0.99 | dt: 219ms | tok/sec: 1,195,755 | mfu: 47.5% | epoch: 1 | remaining: 296s    
step 00030 (1.4%) | loss: 5.488557 | lrm: 0.99 | dt: 218ms | tok/sec: 1,205,181 | mfu: 47.9% | epoch: 1 | remaining: 296s    
step 00031 (1.5%) | loss: 5.449610 | lrm: 0.99 | dt: 220ms | tok/sec: 1,193,936 | mfu: 47.4% | epoch: 1 | remaining: 295s    
