Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'bos_token_id': 8188, 'max_docs_per_row': 8}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 14498ms | tok/sec: 18,081 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867256 | lrm: 1.00 | dt: 152ms | tok/sec: 1,728,748 | mfu: 41.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486107 | lrm: 1.00 | dt: 152ms | tok/sec: 1,719,779 | mfu: 41.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034099 | lrm: 1.00 | dt: 151ms | tok/sec: 1,734,048 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654534 | lrm: 1.00 | dt: 153ms | tok/sec: 1,716,763 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.321718 | lrm: 1.00 | dt: 152ms | tok/sec: 1,721,817 | mfu: 41.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.068489 | lrm: 1.00 | dt: 171ms | tok/sec: 1,535,961 | mfu: 37.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.862927 | lrm: 1.00 | dt: 161ms | tok/sec: 1,626,328 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.688002 | lrm: 1.00 | dt: 172ms | tok/sec: 1,524,425 | mfu: 36.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.539227 | lrm: 1.00 | dt: 164ms | tok/sec: 1,597,709 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.415209 | lrm: 1.00 | dt: 183ms | tok/sec: 1,431,223 | mfu: 34.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.305108 | lrm: 1.00 | dt: 161ms | tok/sec: 1,632,114 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.206049 | lrm: 1.00 | dt: 151ms | tok/sec: 1,735,795 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.122238 | lrm: 1.00 | dt: 172ms | tok/sec: 1,520,216 | mfu: 36.7% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.047635 | lrm: 1.00 | dt: 152ms | tok/sec: 1,719,096 | mfu: 41.5% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.978915 | lrm: 1.00 | dt: 169ms | tok/sec: 1,547,746 | mfu: 37.4% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.917287 | lrm: 1.00 | dt: 157ms | tok/sec: 1,670,208 | mfu: 40.4% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.857489 | lrm: 1.00 | dt: 167ms | tok/sec: 1,573,907 | mfu: 38.0% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.804137 | lrm: 1.00 | dt: 153ms | tok/sec: 1,712,080 | mfu: 41.4% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.753071 | lrm: 1.00 | dt: 184ms | tok/sec: 1,421,924 | mfu: 34.4% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.705004 | lrm: 1.00 | dt: 151ms | tok/sec: 1,734,891 | mfu: 41.9% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.660429 | lrm: 1.00 | dt: 161ms | tok/sec: 1,629,896 | mfu: 39.4% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.620647 | lrm: 1.00 | dt: 155ms | tok/sec: 1,689,767 | mfu: 40.8% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.581643 | lrm: 1.00 | dt: 169ms | tok/sec: 1,553,605 | mfu: 37.5% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.544684 | lrm: 1.00 | dt: 169ms | tok/sec: 1,550,330 | mfu: 37.5% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.507074 | lrm: 1.00 | dt: 169ms | tok/sec: 1,547,252 | mfu: 37.4% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.470432 | lrm: 1.00 | dt: 181ms | tok/sec: 1,449,374 | mfu: 35.0% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.433999 | lrm: 1.00 | dt: 193ms | tok/sec: 1,355,407 | mfu: 32.7% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.401506 | lrm: 1.00 | dt: 174ms | tok/sec: 1,503,067 | mfu: 36.3% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.369840 | lrm: 1.00 | dt: 175ms | tok/sec: 1,495,212 | mfu: 36.1% | epoch: 1 | remaining: 297s    
step 00030 (1.1%) | loss: 5.335178 | lrm: 1.00 | dt: 164ms | tok/sec: 1,601,530 | mfu: 38.7% | epoch: 1 | remaining: 297s    
step 00031 (1.1%) | loss: 5.304256 | lrm: 1.00 | dt: 157ms | tok/sec: 1,667,629 | mfu: 40.3% | epoch: 1 | remaining: 297s    
step 00032 (1.2%) | loss: 5.274373 | lrm: 1.00 | dt: 152ms | tok/sec: 1,719,174 | mfu: 41.5% | epoch: 1 | remaining: 296s    
