Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | T: 512 | dt: 1514ms | tok/sec: 346,393 | mfu: 8.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854656 | lrm: 1.00 | T: 512 | dt: 287ms | tok/sec: 1,826,246 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442198 | lrm: 1.00 | T: 512 | dt: 287ms | tok/sec: 1,825,100 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971442 | lrm: 1.00 | T: 512 | dt: 362ms | tok/sec: 1,446,718 | mfu: 35.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578557 | lrm: 1.00 | T: 512 | dt: 295ms | tok/sec: 1,777,382 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248419 | lrm: 1.00 | T: 512 | dt: 302ms | tok/sec: 1,738,087 | mfu: 42.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.997318 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,761,378 | mfu: 42.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.785847 | lrm: 1.00 | T: 512 | dt: 303ms | tok/sec: 1,732,959 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.605350 | lrm: 1.00 | T: 512 | dt: 296ms | tok/sec: 1,774,142 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.452738 | lrm: 1.00 | T: 512 | dt: 291ms | tok/sec: 1,802,677 | mfu: 43.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.322219 | lrm: 1.00 | T: 512 | dt: 301ms | tok/sec: 1,744,669 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.212732 | lrm: 1.00 | T: 512 | dt: 294ms | tok/sec: 1,786,301 | mfu: 43.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.115216 | lrm: 1.00 | T: 512 | dt: 293ms | tok/sec: 1,786,628 | mfu: 43.2% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.028308 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,757,308 | mfu: 42.5% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.954652 | lrm: 1.00 | T: 512 | dt: 301ms | tok/sec: 1,743,926 | mfu: 42.1% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.886996 | lrm: 1.00 | T: 512 | dt: 291ms | tok/sec: 1,799,610 | mfu: 43.5% | epoch: 1 | remaining: 299s    
step 00016 (0.5%) | loss: 5.827485 | lrm: 1.00 | T: 512 | dt: 294ms | tok/sec: 1,780,899 | mfu: 43.0% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 5.769537 | lrm: 1.00 | T: 512 | dt: 300ms | tok/sec: 1,749,740 | mfu: 42.3% | epoch: 1 | remaining: 298s    
step 00018 (0.7%) | loss: 5.716615 | lrm: 1.00 | T: 512 | dt: 295ms | tok/sec: 1,774,347 | mfu: 42.9% | epoch: 1 | remaining: 298s    
step 00019 (0.8%) | loss: 5.665744 | lrm: 1.00 | T: 512 | dt: 293ms | tok/sec: 1,789,866 | mfu: 43.2% | epoch: 1 | remaining: 297s    
step 00020 (0.9%) | loss: 5.617688 | lrm: 1.00 | T: 512 | dt: 314ms | tok/sec: 1,672,352 | mfu: 40.4% | epoch: 1 | remaining: 297s    
step 00021 (1.0%) | loss: 5.571330 | lrm: 1.00 | T: 512 | dt: 296ms | tok/sec: 1,770,293 | mfu: 42.8% | epoch: 1 | remaining: 297s    
step 00022 (1.1%) | loss: 5.529763 | lrm: 1.00 | T: 512 | dt: 294ms | tok/sec: 1,785,868 | mfu: 43.1% | epoch: 1 | remaining: 296s    
step 00023 (1.2%) | loss: 5.486322 | lrm: 1.00 | T: 512 | dt: 302ms | tok/sec: 1,736,317 | mfu: 42.0% | epoch: 1 | remaining: 296s    
step 00024 (1.3%) | loss: 5.444001 | lrm: 1.00 | T: 512 | dt: 313ms | tok/sec: 1,674,045 | mfu: 40.4% | epoch: 1 | remaining: 296s    
step 00025 (1.4%) | loss: 5.404552 | lrm: 1.00 | T: 512 | dt: 290ms | tok/sec: 1,806,186 | mfu: 43.6% | epoch: 1 | remaining: 296s    
step 00026 (1.5%) | loss: 5.366730 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,758,373 | mfu: 42.5% | epoch: 1 | remaining: 295s    
step 00027 (1.6%) | loss: 5.329906 | lrm: 1.00 | T: 512 | dt: 322ms | tok/sec: 1,628,836 | mfu: 39.4% | epoch: 1 | remaining: 295s    
step 00028 (1.7%) | loss: 5.296326 | lrm: 1.00 | T: 512 | dt: 290ms | tok/sec: 1,807,692 | mfu: 43.7% | epoch: 1 | remaining: 295s    
step 00029 (1.8%) | loss: 5.262170 | lrm: 1.00 | T: 512 | dt: 294ms | tok/sec: 1,783,907 | mfu: 43.1% | epoch: 1 | remaining: 294s    
step 00030 (1.9%) | loss: 5.226027 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,757,728 | mfu: 42.5% | epoch: 1 | remaining: 294s    
