Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 15,728,640
  lm_head                 : 5,242,880
  transformer_matrices    : 29,491,680
  scalars                 : 12
  total                   : 55,706,092
Estimated FLOPs per token: 2.477290e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011320 | lrm: 1.00 | dt: 10479ms | tok/sec: 25,016 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.846693 | lrm: 1.00 | dt: 157ms | tok/sec: 1,664,542 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.433008 | lrm: 1.00 | dt: 188ms | tok/sec: 1,394,514 | mfu: 34.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.970957 | lrm: 1.00 | dt: 157ms | tok/sec: 1,669,759 | mfu: 41.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.574298 | lrm: 1.00 | dt: 159ms | tok/sec: 1,651,007 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.255468 | lrm: 1.00 | dt: 170ms | tok/sec: 1,540,098 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.997378 | lrm: 1.00 | dt: 169ms | tok/sec: 1,555,315 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.798228 | lrm: 1.00 | dt: 168ms | tok/sec: 1,556,599 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.629845 | lrm: 1.00 | dt: 162ms | tok/sec: 1,613,201 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.486526 | lrm: 1.00 | dt: 176ms | tok/sec: 1,485,991 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.369373 | lrm: 1.00 | dt: 158ms | tok/sec: 1,657,686 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.258581 | lrm: 1.00 | dt: 173ms | tok/sec: 1,511,859 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.169587 | lrm: 1.00 | dt: 163ms | tok/sec: 1,606,176 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.084811 | lrm: 1.00 | dt: 174ms | tok/sec: 1,506,799 | mfu: 37.7% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.016697 | lrm: 1.00 | dt: 163ms | tok/sec: 1,612,170 | mfu: 40.4% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.949624 | lrm: 1.00 | dt: 191ms | tok/sec: 1,373,055 | mfu: 34.4% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.889683 | lrm: 1.00 | dt: 157ms | tok/sec: 1,668,844 | mfu: 41.8% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.837657 | lrm: 1.00 | dt: 160ms | tok/sec: 1,634,079 | mfu: 40.9% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.788028 | lrm: 1.00 | dt: 196ms | tok/sec: 1,335,417 | mfu: 33.4% | epoch: 1 | remaining: 299s    
step 00019 (0.5%) | loss: 5.740436 | lrm: 1.00 | dt: 158ms | tok/sec: 1,654,933 | mfu: 41.4% | epoch: 1 | remaining: 298s    
step 00020 (0.5%) | loss: 5.696576 | lrm: 1.00 | dt: 178ms | tok/sec: 1,476,038 | mfu: 37.0% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.656307 | lrm: 1.00 | dt: 159ms | tok/sec: 1,647,771 | mfu: 41.3% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.616712 | lrm: 1.00 | dt: 195ms | tok/sec: 1,345,162 | mfu: 33.7% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.584792 | lrm: 1.00 | dt: 159ms | tok/sec: 1,653,311 | mfu: 41.4% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.547771 | lrm: 1.00 | dt: 191ms | tok/sec: 1,370,801 | mfu: 34.3% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.516766 | lrm: 1.00 | dt: 158ms | tok/sec: 1,660,562 | mfu: 41.6% | epoch: 1 | remaining: 297s    
step 00026 (0.9%) | loss: 5.482098 | lrm: 1.00 | dt: 166ms | tok/sec: 1,579,184 | mfu: 39.5% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.455281 | lrm: 1.00 | dt: 159ms | tok/sec: 1,652,878 | mfu: 41.4% | epoch: 1 | remaining: 297s    
step 00028 (1.0%) | loss: 5.422704 | lrm: 1.00 | dt: 195ms | tok/sec: 1,342,600 | mfu: 33.6% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.396208 | lrm: 1.00 | dt: 158ms | tok/sec: 1,658,648 | mfu: 41.5% | epoch: 1 | remaining: 297s    
step 00030 (1.1%) | loss: 5.365467 | lrm: 1.00 | dt: 163ms | tok/sec: 1,607,125 | mfu: 40.2% | epoch: 1 | remaining: 297s    
