Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 0
  lm_head                 : 5,242,880
  transformer_matrices    : 29,491,200
  scalars                 : 12
  total                   : 39,976,972
Estimated FLOPs per token: 2.477261e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011343 | lrm: 1.00 | dt: 10903ms | tok/sec: 24,043 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.845483 | lrm: 1.00 | dt: 153ms | tok/sec: 1,712,264 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.435721 | lrm: 1.00 | dt: 155ms | tok/sec: 1,688,574 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.962066 | lrm: 1.00 | dt: 154ms | tok/sec: 1,707,082 | mfu: 42.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.577235 | lrm: 1.00 | dt: 155ms | tok/sec: 1,689,674 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.249168 | lrm: 1.00 | dt: 155ms | tok/sec: 1,687,182 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.000989 | lrm: 1.00 | dt: 169ms | tok/sec: 1,552,110 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.799924 | lrm: 1.00 | dt: 201ms | tok/sec: 1,303,959 | mfu: 32.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.629779 | lrm: 1.00 | dt: 204ms | tok/sec: 1,283,089 | mfu: 32.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.486153 | lrm: 1.00 | dt: 204ms | tok/sec: 1,282,913 | mfu: 32.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.367339 | lrm: 1.00 | dt: 185ms | tok/sec: 1,418,091 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.262479 | lrm: 1.00 | dt: 154ms | tok/sec: 1,703,438 | mfu: 42.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.168241 | lrm: 1.00 | dt: 157ms | tok/sec: 1,665,467 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.088864 | lrm: 1.00 | dt: 168ms | tok/sec: 1,563,456 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.018660 | lrm: 1.00 | dt: 157ms | tok/sec: 1,673,785 | mfu: 41.9% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.954123 | lrm: 1.00 | dt: 191ms | tok/sec: 1,373,342 | mfu: 34.4% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.896975 | lrm: 1.00 | dt: 158ms | tok/sec: 1,659,690 | mfu: 41.6% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.842322 | lrm: 1.00 | dt: 217ms | tok/sec: 1,207,223 | mfu: 30.2% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.794930 | lrm: 1.00 | dt: 159ms | tok/sec: 1,651,054 | mfu: 41.3% | epoch: 1 | remaining: 299s    
step 00019 (0.5%) | loss: 5.750573 | lrm: 1.00 | dt: 206ms | tok/sec: 1,275,198 | mfu: 31.9% | epoch: 1 | remaining: 298s    
step 00020 (0.5%) | loss: 5.708897 | lrm: 1.00 | dt: 154ms | tok/sec: 1,702,262 | mfu: 42.6% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.671774 | lrm: 1.00 | dt: 172ms | tok/sec: 1,528,128 | mfu: 38.3% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.639600 | lrm: 1.00 | dt: 155ms | tok/sec: 1,692,991 | mfu: 42.4% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.608498 | lrm: 1.00 | dt: 175ms | tok/sec: 1,497,062 | mfu: 37.5% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.579952 | lrm: 1.00 | dt: 155ms | tok/sec: 1,691,717 | mfu: 42.4% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.551576 | lrm: 1.00 | dt: 166ms | tok/sec: 1,576,297 | mfu: 39.5% | epoch: 1 | remaining: 297s    
step 00026 (0.8%) | loss: 5.524583 | lrm: 1.00 | dt: 164ms | tok/sec: 1,597,695 | mfu: 40.0% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.498757 | lrm: 1.00 | dt: 191ms | tok/sec: 1,374,729 | mfu: 34.4% | epoch: 1 | remaining: 297s    
step 00028 (1.0%) | loss: 5.477328 | lrm: 1.00 | dt: 181ms | tok/sec: 1,448,723 | mfu: 36.3% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.455744 | lrm: 1.00 | dt: 178ms | tok/sec: 1,469,811 | mfu: 36.8% | epoch: 1 | remaining: 297s    
step 00030 (1.1%) | loss: 5.431432 | lrm: 1.00 | dt: 167ms | tok/sec: 1,569,065 | mfu: 39.3% | epoch: 1 | remaining: 297s    
step 00031 (1.1%) | loss: 5.411081 | lrm: 1.00 | dt: 163ms | tok/sec: 1,612,671 | mfu: 40.4% | epoch: 1 | remaining: 296s    
step 00032 (1.2%) | loss: 5.391548 | lrm: 1.00 | dt: 155ms | tok/sec: 1,695,913 | mfu: 42.5% | epoch: 1 | remaining: 296s    
step 00033 (1.2%) | loss: 5.372555 | lrm: 1.00 | dt: 159ms | tok/sec: 1,645,064 | mfu: 41.2% | epoch: 1 | remaining: 296s    
step 00034 (1.3%) | loss: 5.352245 | lrm: 1.00 | dt: 175ms | tok/sec: 1,499,099 | mfu: 37.5% | epoch: 1 | remaining: 296s    
step 00035 (1.4%) | loss: 5.331767 | lrm: 1.00 | dt: 160ms | tok/sec: 1,634,251 | mfu: 40.9% | epoch: 1 | remaining: 296s    
step 00036 (1.4%) | loss: 5.311970 | lrm: 1.00 | dt: 160ms | tok/sec: 1,634,818 | mfu: 40.9% | epoch: 1 | remaining: 296s    
