Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSSSSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 1.997568e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 14539ms | tok/sec: 18,030 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867313 | lrm: 1.00 | dt: 145ms | tok/sec: 1,810,652 | mfu: 36.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486209 | lrm: 1.00 | dt: 146ms | tok/sec: 1,798,483 | mfu: 36.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034131 | lrm: 1.00 | dt: 147ms | tok/sec: 1,788,402 | mfu: 36.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654852 | lrm: 1.00 | dt: 147ms | tok/sec: 1,783,954 | mfu: 36.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322186 | lrm: 1.00 | dt: 146ms | tok/sec: 1,793,899 | mfu: 36.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069145 | lrm: 1.00 | dt: 196ms | tok/sec: 1,339,861 | mfu: 27.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.863814 | lrm: 1.00 | dt: 219ms | tok/sec: 1,198,222 | mfu: 24.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.689229 | lrm: 1.00 | dt: 188ms | tok/sec: 1,391,466 | mfu: 28.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.540694 | lrm: 1.00 | dt: 168ms | tok/sec: 1,562,751 | mfu: 31.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.417007 | lrm: 1.00 | dt: 182ms | tok/sec: 1,437,352 | mfu: 29.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.307386 | lrm: 1.00 | dt: 147ms | tok/sec: 1,787,919 | mfu: 36.1% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.208844 | lrm: 1.00 | dt: 157ms | tok/sec: 1,670,000 | mfu: 33.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.125554 | lrm: 1.00 | dt: 168ms | tok/sec: 1,558,496 | mfu: 31.5% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.051593 | lrm: 1.00 | dt: 148ms | tok/sec: 1,774,433 | mfu: 35.8% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.983250 | lrm: 1.00 | dt: 186ms | tok/sec: 1,408,081 | mfu: 28.4% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.922117 | lrm: 1.00 | dt: 152ms | tok/sec: 1,728,457 | mfu: 34.9% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.862831 | lrm: 1.00 | dt: 169ms | tok/sec: 1,555,489 | mfu: 31.4% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.809973 | lrm: 1.00 | dt: 158ms | tok/sec: 1,659,725 | mfu: 33.5% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.759721 | lrm: 1.00 | dt: 164ms | tok/sec: 1,599,022 | mfu: 32.3% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.712427 | lrm: 1.00 | dt: 146ms | tok/sec: 1,790,446 | mfu: 36.1% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.668531 | lrm: 1.00 | dt: 168ms | tok/sec: 1,561,526 | mfu: 31.5% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.629297 | lrm: 1.00 | dt: 146ms | tok/sec: 1,792,577 | mfu: 36.2% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.590676 | lrm: 1.00 | dt: 156ms | tok/sec: 1,682,339 | mfu: 34.0% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.554018 | lrm: 1.00 | dt: 151ms | tok/sec: 1,740,006 | mfu: 35.1% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.516601 | lrm: 1.00 | dt: 151ms | tok/sec: 1,739,981 | mfu: 35.1% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.480557 | lrm: 1.00 | dt: 152ms | tok/sec: 1,727,078 | mfu: 34.9% | epoch: 1 | remaining: 297s    
step 00027 (0.8%) | loss: 5.445378 | lrm: 1.00 | dt: 156ms | tok/sec: 1,682,494 | mfu: 34.0% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.413800 | lrm: 1.00 | dt: 151ms | tok/sec: 1,734,874 | mfu: 35.0% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.383022 | lrm: 1.00 | dt: 166ms | tok/sec: 1,580,657 | mfu: 31.9% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.349229 | lrm: 1.00 | dt: 162ms | tok/sec: 1,621,213 | mfu: 32.7% | epoch: 1 | remaining: 297s    
step 00031 (1.1%) | loss: 5.318865 | lrm: 1.00 | dt: 163ms | tok/sec: 1,605,025 | mfu: 32.4% | epoch: 1 | remaining: 297s    
step 00032 (1.1%) | loss: 5.289071 | lrm: 1.00 | dt: 146ms | tok/sec: 1,793,188 | mfu: 36.2% | epoch: 1 | remaining: 297s    
step 00033 (1.2%) | loss: 5.259764 | lrm: 1.00 | dt: 149ms | tok/sec: 1,754,093 | mfu: 35.4% | epoch: 1 | remaining: 296s    
step 00034 (1.2%) | loss: 5.230005 | lrm: 1.00 | dt: 157ms | tok/sec: 1,668,639 | mfu: 33.7% | epoch: 1 | remaining: 296s    
step 00035 (1.3%) | loss: 5.199956 | lrm: 1.00 | dt: 150ms | tok/sec: 1,747,228 | mfu: 35.3% | epoch: 1 | remaining: 296s    
step 00036 (1.3%) | loss: 5.170653 | lrm: 1.00 | dt: 150ms | tok/sec: 1,747,508 | mfu: 35.3% | epoch: 1 | remaining: 296s    
step 00037 (1.4%) | loss: 5.142775 | lrm: 1.00 | dt: 157ms | tok/sec: 1,673,184 | mfu: 33.8% | epoch: 1 | remaining: 296s    
step 00038 (1.4%) | loss: 5.113127 | lrm: 1.00 | dt: 152ms | tok/sec: 1,725,013 | mfu: 34.8% | epoch: 1 | remaining: 296s    
step 00039 (1.5%) | loss: 5.084318 | lrm: 1.00 | dt: 148ms | tok/sec: 1,767,175 | mfu: 35.7% | epoch: 1 | remaining: 295s    
step 00040 (1.5%) | loss: 5.059116 | lrm: 1.00 | dt: 149ms | tok/sec: 1,758,571 | mfu: 35.5% | epoch: 1 | remaining: 295s    
step 00041 (1.6%) | loss: 5.030149 | lrm: 1.00 | dt: 149ms | tok/sec: 1,757,773 | mfu: 35.5% | epoch: 1 | remaining: 295s    
