Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL', 'bos_id': 8188}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 30543ms | tok/sec: 17,165 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854660 | lrm: 1.00 | dt: 320ms | tok/sec: 1,639,070 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442129 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,242 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971494 | lrm: 1.00 | dt: 469ms | tok/sec: 1,118,866 | mfu: 27.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578371 | lrm: 1.00 | dt: 467ms | tok/sec: 1,122,128 | mfu: 27.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248139 | lrm: 1.00 | dt: 493ms | tok/sec: 1,062,807 | mfu: 25.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.997082 | lrm: 1.00 | dt: 499ms | tok/sec: 1,051,710 | mfu: 25.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.785627 | lrm: 1.00 | dt: 522ms | tok/sec: 1,004,839 | mfu: 24.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.605021 | lrm: 1.00 | dt: 544ms | tok/sec: 963,796 | mfu: 23.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.452202 | lrm: 1.00 | dt: 528ms | tok/sec: 993,766 | mfu: 24.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.321512 | lrm: 1.00 | dt: 437ms | tok/sec: 1,201,004 | mfu: 29.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.211735 | lrm: 1.00 | dt: 456ms | tok/sec: 1,150,655 | mfu: 27.8% | epoch: 1 | remaining: 300s    
step 00012 (0.2%) | loss: 6.113795 | lrm: 1.00 | dt: 473ms | tok/sec: 1,109,581 | mfu: 26.8% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.026058 | lrm: 1.00 | dt: 490ms | tok/sec: 1,069,500 | mfu: 25.8% | epoch: 1 | remaining: 299s    
step 00014 (0.5%) | loss: 5.952383 | lrm: 1.00 | dt: 476ms | tok/sec: 1,102,425 | mfu: 26.6% | epoch: 1 | remaining: 298s    
step 00015 (0.6%) | loss: 5.885573 | lrm: 1.00 | dt: 495ms | tok/sec: 1,060,229 | mfu: 25.6% | epoch: 1 | remaining: 298s    
step 00016 (0.8%) | loss: 5.826179 | lrm: 1.00 | dt: 470ms | tok/sec: 1,116,124 | mfu: 27.0% | epoch: 1 | remaining: 297s    
step 00017 (1.0%) | loss: 5.768087 | lrm: 1.00 | dt: 507ms | tok/sec: 1,034,090 | mfu: 25.0% | epoch: 1 | remaining: 297s    
step 00018 (1.1%) | loss: 5.715169 | lrm: 1.00 | dt: 509ms | tok/sec: 1,030,166 | mfu: 24.9% | epoch: 1 | remaining: 296s    
step 00019 (1.3%) | loss: 5.664792 | lrm: 1.00 | dt: 392ms | tok/sec: 1,337,558 | mfu: 32.3% | epoch: 1 | remaining: 296s    
step 00020 (1.4%) | loss: 5.617019 | lrm: 1.00 | dt: 427ms | tok/sec: 1,228,007 | mfu: 29.7% | epoch: 1 | remaining: 295s    
step 00021 (1.6%) | loss: 5.570747 | lrm: 1.00 | dt: 451ms | tok/sec: 1,163,647 | mfu: 28.1% | epoch: 1 | remaining: 295s    
step 00022 (1.7%) | loss: 5.529078 | lrm: 1.00 | dt: 528ms | tok/sec: 993,689 | mfu: 24.0% | epoch: 1 | remaining: 294s    
step 00023 (1.9%) | loss: 5.485763 | lrm: 1.00 | dt: 491ms | tok/sec: 1,067,393 | mfu: 25.8% | epoch: 1 | remaining: 294s    
step 00024 (2.1%) | loss: 5.443862 | lrm: 1.00 | dt: 463ms | tok/sec: 1,132,076 | mfu: 27.4% | epoch: 1 | remaining: 293s    
step 00025 (2.2%) | loss: 5.404938 | lrm: 1.00 | dt: 479ms | tok/sec: 1,093,716 | mfu: 26.4% | epoch: 1 | remaining: 293s    
step 00026 (2.4%) | loss: 5.367776 | lrm: 1.00 | dt: 406ms | tok/sec: 1,290,802 | mfu: 31.2% | epoch: 1 | remaining: 292s    
step 00027 (2.5%) | loss: 5.331164 | lrm: 1.00 | dt: 531ms | tok/sec: 987,500 | mfu: 23.9% | epoch: 1 | remaining: 292s    
step 00028 (2.7%) | loss: 5.298102 | lrm: 1.00 | dt: 438ms | tok/sec: 1,198,115 | mfu: 28.9% | epoch: 1 | remaining: 292s    
step 00029 (2.8%) | loss: 5.264528 | lrm: 1.00 | dt: 477ms | tok/sec: 1,099,633 | mfu: 26.6% | epoch: 1 | remaining: 291s    
step 00030 (3.0%) | loss: 5.229190 | lrm: 1.00 | dt: 449ms | tok/sec: 1,167,540 | mfu: 28.2% | epoch: 1 | remaining: 291s    
