Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 20
  total                   : 50,332,180
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011194 | lrm: 1.00 | dt: 16780ms | tok/sec: 31,245 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.188612 | lrm: 1.00 | dt: 310ms | tok/sec: 1,693,663 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.930387 | lrm: 1.00 | dt: 313ms | tok/sec: 1,677,062 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.445696 | lrm: 1.00 | dt: 455ms | tok/sec: 1,153,011 | mfu: 27.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.009354 | lrm: 1.00 | dt: 517ms | tok/sec: 1,013,470 | mfu: 24.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.649514 | lrm: 1.00 | dt: 402ms | tok/sec: 1,304,887 | mfu: 31.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.357683 | lrm: 1.00 | dt: 447ms | tok/sec: 1,172,427 | mfu: 28.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.112122 | lrm: 1.00 | dt: 422ms | tok/sec: 1,242,626 | mfu: 30.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.903416 | lrm: 1.00 | dt: 432ms | tok/sec: 1,213,843 | mfu: 29.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.723868 | lrm: 1.00 | dt: 497ms | tok/sec: 1,054,975 | mfu: 25.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.570287 | lrm: 1.00 | dt: 520ms | tok/sec: 1,007,809 | mfu: 24.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.441716 | lrm: 1.00 | dt: 496ms | tok/sec: 1,057,020 | mfu: 25.5% | epoch: 1 | remaining: 300s    
step 00012 (0.2%) | loss: 6.326806 | lrm: 1.00 | dt: 438ms | tok/sec: 1,197,933 | mfu: 28.9% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.223233 | lrm: 1.00 | dt: 439ms | tok/sec: 1,194,197 | mfu: 28.9% | epoch: 1 | remaining: 299s    
step 00014 (0.5%) | loss: 6.135527 | lrm: 1.00 | dt: 556ms | tok/sec: 942,990 | mfu: 22.8% | epoch: 1 | remaining: 298s    
step 00015 (0.6%) | loss: 6.056011 | lrm: 1.00 | dt: 469ms | tok/sec: 1,117,574 | mfu: 27.0% | epoch: 1 | remaining: 298s    
step 00016 (0.8%) | loss: 5.987618 | lrm: 1.00 | dt: 410ms | tok/sec: 1,279,708 | mfu: 30.9% | epoch: 1 | remaining: 297s    
step 00017 (0.9%) | loss: 5.922232 | lrm: 1.00 | dt: 447ms | tok/sec: 1,172,100 | mfu: 28.3% | epoch: 1 | remaining: 297s    
step 00018 (1.1%) | loss: 5.863844 | lrm: 1.00 | dt: 469ms | tok/sec: 1,118,483 | mfu: 27.0% | epoch: 1 | remaining: 296s    
step 00019 (1.2%) | loss: 5.809151 | lrm: 1.00 | dt: 417ms | tok/sec: 1,257,774 | mfu: 30.4% | epoch: 1 | remaining: 296s    
step 00020 (1.4%) | loss: 5.759563 | lrm: 1.00 | dt: 458ms | tok/sec: 1,145,623 | mfu: 27.7% | epoch: 1 | remaining: 295s    
step 00021 (1.5%) | loss: 5.713537 | lrm: 1.00 | dt: 366ms | tok/sec: 1,430,751 | mfu: 34.6% | epoch: 1 | remaining: 295s    
step 00022 (1.7%) | loss: 5.672956 | lrm: 1.00 | dt: 547ms | tok/sec: 959,340 | mfu: 23.2% | epoch: 1 | remaining: 294s    
step 00023 (1.8%) | loss: 5.631513 | lrm: 1.00 | dt: 432ms | tok/sec: 1,214,648 | mfu: 29.3% | epoch: 1 | remaining: 294s    
step 00024 (2.0%) | loss: 5.592208 | lrm: 1.00 | dt: 488ms | tok/sec: 1,074,632 | mfu: 26.0% | epoch: 1 | remaining: 294s    
step 00025 (2.1%) | loss: 5.556250 | lrm: 1.00 | dt: 436ms | tok/sec: 1,203,845 | mfu: 29.1% | epoch: 1 | remaining: 293s    
step 00026 (2.3%) | loss: 5.522800 | lrm: 1.00 | dt: 360ms | tok/sec: 1,458,032 | mfu: 35.2% | epoch: 1 | remaining: 293s    
step 00027 (2.4%) | loss: 5.490751 | lrm: 1.00 | dt: 511ms | tok/sec: 1,025,820 | mfu: 24.8% | epoch: 1 | remaining: 292s    
step 00028 (2.6%) | loss: 5.461283 | lrm: 1.00 | dt: 432ms | tok/sec: 1,214,719 | mfu: 29.3% | epoch: 1 | remaining: 292s    
step 00029 (2.7%) | loss: 5.431046 | lrm: 1.00 | dt: 391ms | tok/sec: 1,342,214 | mfu: 32.4% | epoch: 1 | remaining: 291s    
step 00030 (2.9%) | loss: 5.399555 | lrm: 1.00 | dt: 399ms | tok/sec: 1,312,373 | mfu: 31.7% | epoch: 1 | remaining: 291s    
