Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 20,971,520
  lm_head                 : 4,194,304
  transformer_matrices    : 41,943,680
  scalars                 : 10,240
  total                   : 71,314,048
Estimated FLOPs per token: 3.586168e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011261 | lrm: 1.00 | dt: 21513ms | tok/sec: 12,185 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.928697 | lrm: 1.00 | dt: 237ms | tok/sec: 1,103,832 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.600803 | lrm: 1.00 | dt: 240ms | tok/sec: 1,091,366 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.198048 | lrm: 1.00 | dt: 240ms | tok/sec: 1,091,878 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.817434 | lrm: 1.00 | dt: 257ms | tok/sec: 1,019,678 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.487259 | lrm: 1.00 | dt: 247ms | tok/sec: 1,061,588 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.224667 | lrm: 1.00 | dt: 243ms | tok/sec: 1,080,160 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.007583 | lrm: 1.00 | dt: 244ms | tok/sec: 1,075,613 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.823378 | lrm: 1.00 | dt: 252ms | tok/sec: 1,039,139 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.666116 | lrm: 1.00 | dt: 247ms | tok/sec: 1,059,707 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.534278 | lrm: 1.00 | dt: 244ms | tok/sec: 1,075,200 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.417636 | lrm: 1.00 | dt: 242ms | tok/sec: 1,082,467 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.312459 | lrm: 1.00 | dt: 249ms | tok/sec: 1,052,985 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00013 (0.2%) | loss: 6.223753 | lrm: 1.00 | dt: 251ms | tok/sec: 1,042,729 | mfu: 37.8% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.144388 | lrm: 1.00 | dt: 244ms | tok/sec: 1,072,534 | mfu: 38.9% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 6.071609 | lrm: 1.00 | dt: 245ms | tok/sec: 1,070,861 | mfu: 38.8% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 6.006720 | lrm: 1.00 | dt: 250ms | tok/sec: 1,047,917 | mfu: 38.0% | epoch: 1 | remaining: 299s    
step 00017 (0.5%) | loss: 5.944785 | lrm: 1.00 | dt: 245ms | tok/sec: 1,069,327 | mfu: 38.8% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 5.890073 | lrm: 1.00 | dt: 244ms | tok/sec: 1,072,592 | mfu: 38.9% | epoch: 1 | remaining: 298s    
step 00019 (0.7%) | loss: 5.838938 | lrm: 1.00 | dt: 247ms | tok/sec: 1,062,352 | mfu: 38.5% | epoch: 1 | remaining: 298s    
step 00020 (0.7%) | loss: 5.790758 | lrm: 1.00 | dt: 248ms | tok/sec: 1,058,512 | mfu: 38.4% | epoch: 1 | remaining: 298s    
step 00021 (0.8%) | loss: 5.747066 | lrm: 1.00 | dt: 247ms | tok/sec: 1,059,177 | mfu: 38.4% | epoch: 1 | remaining: 297s    
step 00022 (0.9%) | loss: 5.708265 | lrm: 1.00 | dt: 246ms | tok/sec: 1,064,030 | mfu: 38.6% | epoch: 1 | remaining: 297s    
step 00023 (1.0%) | loss: 5.670737 | lrm: 1.00 | dt: 242ms | tok/sec: 1,081,309 | mfu: 39.2% | epoch: 1 | remaining: 297s    
step 00024 (1.1%) | loss: 5.635881 | lrm: 1.00 | dt: 247ms | tok/sec: 1,062,030 | mfu: 38.5% | epoch: 1 | remaining: 297s    
step 00025 (1.1%) | loss: 5.600623 | lrm: 1.00 | dt: 249ms | tok/sec: 1,052,407 | mfu: 38.1% | epoch: 1 | remaining: 296s    
step 00026 (1.2%) | loss: 5.566679 | lrm: 1.00 | dt: 245ms | tok/sec: 1,071,013 | mfu: 38.8% | epoch: 1 | remaining: 296s    
step 00027 (1.3%) | loss: 5.533989 | lrm: 1.00 | dt: 244ms | tok/sec: 1,075,242 | mfu: 39.0% | epoch: 1 | remaining: 296s    
step 00028 (1.4%) | loss: 5.505828 | lrm: 1.00 | dt: 247ms | tok/sec: 1,061,974 | mfu: 38.5% | epoch: 1 | remaining: 296s    
step 00029 (1.5%) | loss: 5.477310 | lrm: 1.00 | dt: 248ms | tok/sec: 1,055,877 | mfu: 38.3% | epoch: 1 | remaining: 295s    
step 00030 (1.6%) | loss: 5.445971 | lrm: 1.00 | dt: 245ms | tok/sec: 1,068,242 | mfu: 38.7% | epoch: 1 | remaining: 295s    
