run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	1	a4	0	ok	1.011661	1.011661	0.0
2	2	a0	0	ok	1.003678	1.003678	0.0
3	3	a2	0	ok	1.025211	1.003678	0.0
4	4	a5	0	ok	1.022087	1.003678	0.0
5	5	a1	0	ok	1.003924	1.003678	0.0
6	6	a4	0	ok	1.009644	1.003678	0.0
7	7	a3	0	ok	1.014691	1.003678	0.0
8	8	a0	0	ok	1.009719	1.003678	0.0
9	9	a2	0	ok	1.005791	1.003678	0.0
10	10	a5	0	ok	1.001286	1.001286	0.0
11	11	a1	0	ok	1.001467	1.001286	0.0
12	12	a4	0	ok	1.008286	1.001286	0.0
13	13	a3	0	crash		1.001286	0.0
14	14	a0	0	ok	0.989682	0.989682	0.0
15	15	a2	0	ok	0.998855	0.989682	0.0
16	16	a5	0	ok	0.996286	0.989682	0.0
17	17	a1	0	ok	0.9865	0.9865	0.0
18	18	a4	0	ok	1.004589	0.9865	0.0
19	19	a3	0	ok	1.006746	0.9865	0.0
20	20	a0	0	ok	0.988276	0.9865	0.0
21	21	a2	0	ok	0.989532	0.9865	0.0
22	22	a5	0	ok	0.99024	0.9865	0.0
23	23	a1	0	ok	0.990459	0.9865	0.0
24	24	a4	0	ok	0.99575	0.9865	0.0
25	25	a3	0	ok	0.988078	0.9865	0.0
26	26	a0	0	ok	0.987973	0.9865	0.0
27	27	a2	0	ok	0.98601	0.98601	0.0
28	28	a5	0	ok	0.993828	0.98601	0.0
29	29	a1	0	ok	0.99333	0.98601	0.0
30	30	a4	0	ok	0.986243	0.98601	0.0
31	31	a3	0	ok	0.98551	0.98551	0.0
32	32	a0	0	ok	0.986119	0.98551	0.0
33	33	a2	0	ok	0.992769	0.98551	0.0
34	34	a5	0	ok	0.998103	0.98551	0.0
35	35	a1	0	ok	0.984417	0.984417	0.0
36	36	a3	0	ok	0.9863	0.984417	0.0
