Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 37,748,736
  lm_head                 : 6,291,456
  transformer_matrices    : 56,624,256
  scalars                 : 16
  total                   : 106,955,920
Estimated FLOPs per token: 4.293988e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011235 | lrm: 1.00 | dt: 19673ms | tok/sec: 13,325 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.829361 | lrm: 1.00 | dt: 254ms | tok/sec: 1,030,853 | mfu: 44.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.400246 | lrm: 1.00 | dt: 258ms | tok/sec: 1,016,079 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.915440 | lrm: 1.00 | dt: 257ms | tok/sec: 1,019,231 | mfu: 44.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.534549 | lrm: 1.00 | dt: 282ms | tok/sec: 931,139 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.211774 | lrm: 1.00 | dt: 262ms | tok/sec: 999,818 | mfu: 43.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.967833 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,006 | mfu: 43.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.767371 | lrm: 1.00 | dt: 263ms | tok/sec: 997,732 | mfu: 43.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.598138 | lrm: 1.00 | dt: 272ms | tok/sec: 962,546 | mfu: 41.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455874 | lrm: 1.00 | dt: 265ms | tok/sec: 990,960 | mfu: 43.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.338098 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,901 | mfu: 43.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.233849 | lrm: 1.00 | dt: 267ms | tok/sec: 980,694 | mfu: 42.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.140189 | lrm: 1.00 | dt: 270ms | tok/sec: 972,592 | mfu: 42.2% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.061279 | lrm: 1.00 | dt: 267ms | tok/sec: 983,369 | mfu: 42.7% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.991333 | lrm: 1.00 | dt: 264ms | tok/sec: 993,786 | mfu: 43.1% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.925901 | lrm: 1.00 | dt: 269ms | tok/sec: 973,603 | mfu: 42.3% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 5.866849 | lrm: 1.00 | dt: 267ms | tok/sec: 982,497 | mfu: 42.6% | epoch: 1 | remaining: 298s    
step 00017 (0.5%) | loss: 5.809682 | lrm: 1.00 | dt: 265ms | tok/sec: 988,856 | mfu: 42.9% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 5.758412 | lrm: 1.00 | dt: 266ms | tok/sec: 987,309 | mfu: 42.8% | epoch: 1 | remaining: 298s    
step 00019 (0.7%) | loss: 5.709291 | lrm: 1.00 | dt: 268ms | tok/sec: 978,221 | mfu: 42.5% | epoch: 1 | remaining: 298s    
step 00020 (0.8%) | loss: 5.662455 | lrm: 1.00 | dt: 268ms | tok/sec: 978,922 | mfu: 42.5% | epoch: 1 | remaining: 297s    
step 00021 (0.9%) | loss: 5.618173 | lrm: 1.00 | dt: 266ms | tok/sec: 984,112 | mfu: 42.7% | epoch: 1 | remaining: 297s    
step 00022 (1.0%) | loss: 5.577901 | lrm: 1.00 | dt: 267ms | tok/sec: 981,664 | mfu: 42.6% | epoch: 1 | remaining: 297s    
step 00023 (1.1%) | loss: 5.539390 | lrm: 1.00 | dt: 266ms | tok/sec: 984,289 | mfu: 42.7% | epoch: 1 | remaining: 297s    
step 00024 (1.2%) | loss: 5.502514 | lrm: 1.00 | dt: 268ms | tok/sec: 979,680 | mfu: 42.5% | epoch: 1 | remaining: 296s    
step 00025 (1.2%) | loss: 5.464282 | lrm: 1.00 | dt: 267ms | tok/sec: 980,517 | mfu: 42.6% | epoch: 1 | remaining: 296s    
step 00026 (1.3%) | loss: 5.426173 | lrm: 1.00 | dt: 268ms | tok/sec: 976,749 | mfu: 42.4% | epoch: 1 | remaining: 296s    
step 00027 (1.4%) | loss: 5.389420 | lrm: 1.00 | dt: 265ms | tok/sec: 988,982 | mfu: 42.9% | epoch: 1 | remaining: 295s    
step 00028 (1.5%) | loss: 5.356231 | lrm: 1.00 | dt: 268ms | tok/sec: 978,956 | mfu: 42.5% | epoch: 1 | remaining: 295s    
step 00029 (1.6%) | loss: 5.323845 | lrm: 1.00 | dt: 268ms | tok/sec: 976,886 | mfu: 42.4% | epoch: 1 | remaining: 295s    
step 00030 (1.7%) | loss: 5.287561 | lrm: 1.00 | dt: 267ms | tok/sec: 983,346 | mfu: 42.7% | epoch: 1 | remaining: 295s    
