Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'mlp_ratio': 2, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 25,165,824
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,592
  scalars                 : 24
  total                   : 58,721,048
Estimated FLOPs per token: 2.705372e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011263 | lrm: 1.00 | dt: 26042ms | tok/sec: 10,066 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.866574 | lrm: 1.00 | dt: 185ms | tok/sec: 1,419,789 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.490716 | lrm: 1.00 | dt: 186ms | tok/sec: 1,406,663 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.041861 | lrm: 1.00 | dt: 185ms | tok/sec: 1,414,677 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.667473 | lrm: 1.00 | dt: 185ms | tok/sec: 1,419,950 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.333791 | lrm: 1.00 | dt: 202ms | tok/sec: 1,300,427 | mfu: 35.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.080509 | lrm: 1.00 | dt: 193ms | tok/sec: 1,361,019 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.876141 | lrm: 1.00 | dt: 188ms | tok/sec: 1,394,572 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.701618 | lrm: 1.00 | dt: 201ms | tok/sec: 1,307,356 | mfu: 35.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.552805 | lrm: 1.00 | dt: 186ms | tok/sec: 1,407,621 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.429042 | lrm: 1.00 | dt: 195ms | tok/sec: 1,347,589 | mfu: 36.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.319466 | lrm: 1.00 | dt: 197ms | tok/sec: 1,331,140 | mfu: 36.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.221309 | lrm: 1.00 | dt: 189ms | tok/sec: 1,385,035 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.138565 | lrm: 1.00 | dt: 189ms | tok/sec: 1,389,579 | mfu: 38.0% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.064979 | lrm: 1.00 | dt: 188ms | tok/sec: 1,392,677 | mfu: 38.1% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 5.997479 | lrm: 1.00 | dt: 195ms | tok/sec: 1,342,613 | mfu: 36.7% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.937925 | lrm: 1.00 | dt: 193ms | tok/sec: 1,359,714 | mfu: 37.2% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.880662 | lrm: 1.00 | dt: 191ms | tok/sec: 1,376,009 | mfu: 37.6% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.830356 | lrm: 1.00 | dt: 190ms | tok/sec: 1,381,108 | mfu: 37.8% | epoch: 1 | remaining: 298s    
step 00019 (0.5%) | loss: 5.782959 | lrm: 1.00 | dt: 210ms | tok/sec: 1,250,301 | mfu: 34.2% | epoch: 1 | remaining: 298s    
step 00020 (0.6%) | loss: 5.738300 | lrm: 1.00 | dt: 187ms | tok/sec: 1,403,872 | mfu: 38.4% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.697932 | lrm: 1.00 | dt: 191ms | tok/sec: 1,369,996 | mfu: 37.5% | epoch: 1 | remaining: 298s    
step 00022 (0.7%) | loss: 5.662843 | lrm: 1.00 | dt: 190ms | tok/sec: 1,379,846 | mfu: 37.7% | epoch: 1 | remaining: 298s    
step 00023 (0.8%) | loss: 5.628787 | lrm: 1.00 | dt: 190ms | tok/sec: 1,376,257 | mfu: 37.6% | epoch: 1 | remaining: 298s    
step 00024 (0.8%) | loss: 5.596912 | lrm: 1.00 | dt: 191ms | tok/sec: 1,371,627 | mfu: 37.5% | epoch: 1 | remaining: 297s    
step 00025 (0.9%) | loss: 5.564651 | lrm: 1.00 | dt: 191ms | tok/sec: 1,370,741 | mfu: 37.5% | epoch: 1 | remaining: 297s    
step 00026 (1.0%) | loss: 5.533495 | lrm: 1.00 | dt: 191ms | tok/sec: 1,369,740 | mfu: 37.4% | epoch: 1 | remaining: 297s    
step 00027 (1.0%) | loss: 5.503181 | lrm: 1.00 | dt: 190ms | tok/sec: 1,382,612 | mfu: 37.8% | epoch: 1 | remaining: 297s    
step 00028 (1.1%) | loss: 5.476686 | lrm: 1.00 | dt: 192ms | tok/sec: 1,363,430 | mfu: 37.3% | epoch: 1 | remaining: 297s    
step 00029 (1.2%) | loss: 5.450100 | lrm: 1.00 | dt: 194ms | tok/sec: 1,351,767 | mfu: 37.0% | epoch: 1 | remaining: 296s    
step 00030 (1.2%) | loss: 5.420525 | lrm: 1.00 | dt: 190ms | tok/sec: 1,380,104 | mfu: 37.7% | epoch: 1 | remaining: 296s    
