run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	1	a4	0	ok	0.987984	0.987984	0.0
2	1	a5	0	ok	0.981181	0.981181	0.0
3	2	a1	0	ok	1.002721	0.981181	0.0
4	3	a2	0	ok	1.003287	0.981181	0.0
5	4	a0	0	ok	1.00179	0.981181	0.0
6	5	a5	0	ok	0.996579	0.981181	0.0
7	7	a4	0	ok	1.004693	0.981181	0.0
8	8	a1	0	ok	0.985426	0.981181	0.0
9	9	a2	0	ok	0.991259	0.981181	0.0
10	10	a0	0	ok	0.986166	0.981181	0.0
11	11	a5	0	ok	0.989557	0.981181	0.0
12	12	a4	0	ok	1.003736	0.981181	0.0
13	13	a3	0	ok	0.990685	0.981181	0.0
14	14	a1	0	ok	0.993044	0.981181	0.0
15	15	a2	0	ok	0.983912	0.981181	0.0
16	16	a0	0	ok	0.984925	0.981181	0.0
17	17	a5	0	ok	0.985631	0.981181	0.0
18	18	a4	0	ok	0.987048	0.981181	0.0
19	19	a3	0	ok	0.98306	0.981181	0.0
20	20	a1	0	ok	0.998967	0.981181	0.0
21	21	a2	0	ok	0.981339	0.981181	0.0
22	22	a0	0	ok	0.982984	0.981181	0.0
23	23	a5	0	ok	0.991339	0.981181	0.0
24	24	a4	0	ok	0.979464	0.979464	0.0
25	25	a3	0	ok	0.978942	0.978942	0.0
26	26	a1	0	ok	0.99328	0.978942	0.0
27	27	a2	0	ok	0.978962	0.978942	0.0
28	28	a0	0	ok	0.977171	0.977171	0.0
29	29	a5	0	ok	0.980895	0.977171	0.0
30	30	a4	0	ok	0.97976	0.977171	0.0
31	31	a3	0	ok	1.031791	0.977171	0.0
32	32	a1	0	ok	0.980292	0.977171	0.0
33	33	a2	0	ok	0.977161	0.977161	0.0
34	34	a0	0	ok	0.976408	0.976408	0.0
35	35	a5	0	ok	0.976458	0.976408	0.0
36	36	a3	0	ok	0.978308	0.976408	0.0
