commit	val_bpb	memory_gb	status	description
d3c56c2	0.987984	43.9	ok	halve TOTAL_BATCH_SIZE to 2^18 (2x optimizer steps, grad_accum=1), LRs unchanged
0d22925	1.002721	44.1	ok	HEAD_DIM 128->64: 8 heads instead of 4 at dim 512, same params
ea6b1c4	1.003287	44.1	ok	HEAD_DIM 128->64: 8 heads instead of 4 at dim 512 (same params/FLOPs)
a3a1fe8	1.001790	44.0	ok	U-net skip connections: last 4 layers add gated skip from first 4 layer outputs (zero-init scalars)
276f0db	0.996579	44.0	ok	Muon MATRIX_LR 0.04 -> 0.06 (all else baseline)
fbe4bb7	1.004693	22.2	ok	TOTAL_BATCH_SIZE 2^17, device batch 64 (4x steps vs baseline), LRs unchanged
58bdffe	0.985426	66.2	ok	on a4 2^18 batch: DEPTH 8->10 (dim 512->640, 5 heads) capacity scaling
deaabf9	0.991259	51.5	ok	depth 8->12 at dim 512 with MLP ratio 4->2 (matrix FLOPs held constant), on top of a4's 2^18 batch
0aa77e8	0.986166	44.4	ok	on a4 2^18 base: value-embedding placement alternating {1,3,5,7} -> first-3/last-3 {0,1,2,5,6,7}
1a5a555	0.989557	43.9	ok	on 2^18 batch: UNEMBEDDING_LR 0.004 -> 0.012
39d3b4f	1.003736	43.9	ok	train at seq_len 1024 (256x1024 rows) at fixed 2^18 tokens/step; eval still 2048
8d6989b	0.990685	47.8	ok	fused bf16 logsumexp/gather cross-entropy (no fp32 logits, no materialised log_softmax) on a4 2^18 base
9cecdd9	0.993044	47.8	ok	DEPTH 10->12 (dim 768, 6 heads) at 2^18 batch; device batch 64 x accum 2 to fit VRAM
59759da	0.983912	53.9	ok	width-only decomposition of a1's win: DEPTH 10->8 at dim 640 (ASPECT_RATIO 80), batch 2^18
cc8a300	0.984925	66.6	ok	combination: a1's DEPTH=10 (dim 640) + my first-3/last-3 value-embedding placement, on a4's 2^18 batch
3a70672	0.985631	66.2	ok	on a1 depth-10 2^18 base: WARMDOWN_RATIO 0.5 -> 0.8 (longer LR decay)
d1e1af2	0.987048	33.8	ok	adopt a1 depth-10/dim-640; my variation: batch ramp 131K->262K->524K tokens/step (micro 64x2048)
581ea83	0.983060	66.2	ok	on a1 depth-10 base: sliding window on S layers 1024 -> 256 (cheaper attention -> more tokens)
da519d5	0.998967	40.2	ok	depth 10 / dim 640 with MLP ratio 4x->6x (fat MLP), device batch 64 x accum 2
a62cee9	0.981339	63.9	ok	push width further: dim 640->768 at DEPTH 8 (ASPECT_RATIO 96), batch 2^18
44f928b	0.982984	54.6	ok	on a2's depth-8/dim-640 base: first-3/last-3 value-embedding placement {0,1,2,5,6,7}
9deb116	0.991339	66.2	ok	on a1 depth-10 2^18 base: Muon momentum ramp 0.85->0.98 (was 0.85->0.95), momentum as a cheap substitute for batch size
9aed73d	0.979464	40.6	ok	on a2 depth-8/dim-640 base: batch 197K tokens/step (device batch 96, accum 1) instead of 2^18
113a5b0	0.978942	63.9	ok	width probe on my window-256 base: depth 10->8, dim 640->768 (ASPECT_RATIO 96)
fc935aa	0.993280	74.0	ok	width frontier: depth 8, dim 640 -> 896 (ASPECT_RATIO 112, 7 heads) at 2^18 batch
f9b92b0	0.978962	63.9	ok	combine my dim-768/depth-8 width win with a3's short window 1024->256, batch 2^18
8cfa229	0.977171	64.8	ok	three-way combination: a2 depth-8/dim-768 + a3 short window 256 + my first-3/last-3 value-embedding placement
903ad70	0.980895	63.9	ok	on a2 depth-8/dim-768 2^18 base: Muon momentum ramp target 0.95 -> 0.90
9e833ef	0.979760	48.2	ok	combine: dim 768 (a2/a1 width win) with my 197K-token batch (device 96, accum 1)
6634c8d	1.031791	37.9	ok	width probe 2: dim 768 -> 896 (ASPECT_RATIO 112) at depth 8, window 256; device batch 64 x accum 2 for VRAM
8aad1c7	0.980292	56.7	ok	depth ladder downward at the winning width: DEPTH 8->7 at dim 768 (ASPECT_RATIO 104), 2^18 batch
8c327f6	0.977161	48.8	ok	final frontier merge: depth 8 / dim 768 / window 256 + a4's 197K batch (device 96) + a0's first3/last3 value embeddings
dd7cd01	0.976408	48.8	ok	four-way combination: dim-768/depth-8 + window 256 + first-3/last-3 value embeddings + a4's 197K batch (device batch 96)
87f40fd	0.976458	48.8	ok	final: a0 three-way best (depth8/dim768 + window256 + VE first3/last3) + 197K batch (device 96) + my momentum target 0.90
9ee6143	0.978308	64.8	ok	on a0 8cfa229: WINDOW_PATTERN SSSL -> SSSSSSSL (only the final layer keeps the 2048 window)
4e0f1e8	0.981181	43.4	ok	a1's untested handoff: DEPTH 8->7 at dim 768 (ASPECT_RATIO 104) under the full frontier stack (window 256 + VE first3/last3 + 197K batch) + my momentum 0.90
