Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSSSSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 37,748,736
  lm_head                 : 6,291,456
  transformer_matrices    : 56,624,256
  scalars                 : 16
  total                   : 106,955,920
Estimated FLOPs per token: 4.128837e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011235 | lrm: 1.00 | dt: 15115ms | tok/sec: 17,342 | mfu: 0.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.829359 | lrm: 1.00 | dt: 253ms | tok/sec: 1,035,369 | mfu: 43.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.400206 | lrm: 1.00 | dt: 254ms | tok/sec: 1,030,336 | mfu: 43.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.915426 | lrm: 1.00 | dt: 255ms | tok/sec: 1,026,092 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.534396 | lrm: 1.00 | dt: 277ms | tok/sec: 947,514 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.211575 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,704 | mfu: 42.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.967613 | lrm: 1.00 | dt: 257ms | tok/sec: 1,020,490 | mfu: 42.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.767084 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,356 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.597823 | lrm: 1.00 | dt: 271ms | tok/sec: 966,670 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455532 | lrm: 1.00 | dt: 263ms | tok/sec: 997,207 | mfu: 41.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.337721 | lrm: 1.00 | dt: 259ms | tok/sec: 1,011,140 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.233446 | lrm: 1.00 | dt: 265ms | tok/sec: 988,141 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.139741 | lrm: 1.00 | dt: 266ms | tok/sec: 985,305 | mfu: 41.1% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.060787 | lrm: 1.00 | dt: 264ms | tok/sec: 994,077 | mfu: 41.5% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.990814 | lrm: 1.00 | dt: 260ms | tok/sec: 1,008,357 | mfu: 42.1% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.925332 | lrm: 1.00 | dt: 263ms | tok/sec: 996,473 | mfu: 41.6% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 5.866220 | lrm: 1.00 | dt: 268ms | tok/sec: 978,453 | mfu: 40.8% | epoch: 1 | remaining: 298s    
step 00017 (0.5%) | loss: 5.809000 | lrm: 1.00 | dt: 263ms | tok/sec: 998,597 | mfu: 41.7% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 5.757631 | lrm: 1.00 | dt: 261ms | tok/sec: 1,005,789 | mfu: 42.0% | epoch: 1 | remaining: 298s    
step 00019 (0.7%) | loss: 5.708362 | lrm: 1.00 | dt: 262ms | tok/sec: 998,879 | mfu: 41.7% | epoch: 1 | remaining: 298s    
step 00020 (0.8%) | loss: 5.661400 | lrm: 1.00 | dt: 267ms | tok/sec: 982,428 | mfu: 41.0% | epoch: 1 | remaining: 297s    
step 00021 (0.9%) | loss: 5.616943 | lrm: 1.00 | dt: 266ms | tok/sec: 986,393 | mfu: 41.2% | epoch: 1 | remaining: 297s    
step 00022 (1.0%) | loss: 5.576490 | lrm: 1.00 | dt: 263ms | tok/sec: 996,667 | mfu: 41.6% | epoch: 1 | remaining: 297s    
step 00023 (1.1%) | loss: 5.537840 | lrm: 1.00 | dt: 262ms | tok/sec: 1,000,870 | mfu: 41.8% | epoch: 1 | remaining: 297s    
step 00024 (1.1%) | loss: 5.500866 | lrm: 1.00 | dt: 264ms | tok/sec: 993,860 | mfu: 41.5% | epoch: 1 | remaining: 296s    
step 00025 (1.2%) | loss: 5.462561 | lrm: 1.00 | dt: 266ms | tok/sec: 986,756 | mfu: 41.2% | epoch: 1 | remaining: 296s    
step 00026 (1.3%) | loss: 5.424357 | lrm: 1.00 | dt: 265ms | tok/sec: 989,764 | mfu: 41.3% | epoch: 1 | remaining: 296s    
step 00027 (1.4%) | loss: 5.387499 | lrm: 1.00 | dt: 264ms | tok/sec: 994,722 | mfu: 41.5% | epoch: 1 | remaining: 296s    
step 00028 (1.5%) | loss: 5.354207 | lrm: 1.00 | dt: 266ms | tok/sec: 985,157 | mfu: 41.1% | epoch: 1 | remaining: 295s    
step 00029 (1.6%) | loss: 5.321697 | lrm: 1.00 | dt: 263ms | tok/sec: 996,655 | mfu: 41.6% | epoch: 1 | remaining: 295s    
step 00030 (1.7%) | loss: 5.285287 | lrm: 1.00 | dt: 264ms | tok/sec: 993,479 | mfu: 41.5% | epoch: 1 | remaining: 295s    
