Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 20,971,520
  lm_head                 : 5,242,880
  transformer_matrices    : 39,322,240
  scalars                 : 16
  total                   : 70,779,536
Estimated FLOPs per token: 3.460339e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011313 | lrm: 1.00 | dt: 16924ms | tok/sec: 11,617 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.853836 | lrm: 1.00 | dt: 156ms | tok/sec: 1,256,544 | mfu: 43.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.455461 | lrm: 1.00 | dt: 160ms | tok/sec: 1,225,377 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.982692 | lrm: 1.00 | dt: 160ms | tok/sec: 1,228,817 | mfu: 43.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.620796 | lrm: 1.00 | dt: 160ms | tok/sec: 1,226,945 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.303193 | lrm: 1.00 | dt: 160ms | tok/sec: 1,227,414 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.056160 | lrm: 1.00 | dt: 179ms | tok/sec: 1,099,029 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.847264 | lrm: 1.00 | dt: 169ms | tok/sec: 1,166,534 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.675623 | lrm: 1.00 | dt: 164ms | tok/sec: 1,201,062 | mfu: 42.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.528576 | lrm: 1.00 | dt: 173ms | tok/sec: 1,138,966 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.410707 | lrm: 1.00 | dt: 173ms | tok/sec: 1,138,946 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.305063 | lrm: 1.00 | dt: 161ms | tok/sec: 1,223,806 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.214880 | lrm: 1.00 | dt: 171ms | tok/sec: 1,150,617 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.135045 | lrm: 1.00 | dt: 170ms | tok/sec: 1,159,444 | mfu: 40.5% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.067410 | lrm: 1.00 | dt: 191ms | tok/sec: 1,027,081 | mfu: 35.9% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.002873 | lrm: 1.00 | dt: 159ms | tok/sec: 1,237,659 | mfu: 43.3% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.944755 | lrm: 1.00 | dt: 160ms | tok/sec: 1,225,304 | mfu: 42.8% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.890023 | lrm: 1.00 | dt: 164ms | tok/sec: 1,202,154 | mfu: 42.0% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.846548 | lrm: 1.00 | dt: 170ms | tok/sec: 1,158,121 | mfu: 40.5% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.803025 | lrm: 1.00 | dt: 167ms | tok/sec: 1,179,539 | mfu: 41.2% | epoch: 1 | remaining: 298s    
step 00020 (0.5%) | loss: 5.761967 | lrm: 1.00 | dt: 172ms | tok/sec: 1,142,406 | mfu: 40.0% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.723760 | lrm: 1.00 | dt: 163ms | tok/sec: 1,203,865 | mfu: 42.1% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.691294 | lrm: 1.00 | dt: 161ms | tok/sec: 1,221,887 | mfu: 42.7% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.654402 | lrm: 1.00 | dt: 164ms | tok/sec: 1,197,606 | mfu: 41.9% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.623787 | lrm: 1.00 | dt: 168ms | tok/sec: 1,172,700 | mfu: 41.0% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.591201 | lrm: 1.00 | dt: 165ms | tok/sec: 1,188,465 | mfu: 41.6% | epoch: 1 | remaining: 297s    
step 00026 (0.8%) | loss: 5.561100 | lrm: 1.00 | dt: 169ms | tok/sec: 1,162,728 | mfu: 40.7% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.531605 | lrm: 1.00 | dt: 164ms | tok/sec: 1,197,589 | mfu: 41.9% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.504856 | lrm: 1.00 | dt: 161ms | tok/sec: 1,219,839 | mfu: 42.7% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.476910 | lrm: 1.00 | dt: 165ms | tok/sec: 1,191,805 | mfu: 41.7% | epoch: 1 | remaining: 297s    
step 00030 (1.1%) | loss: 5.453996 | lrm: 1.00 | dt: 165ms | tok/sec: 1,188,361 | mfu: 41.6% | epoch: 1 | remaining: 297s    
