commit	val_bpb	memory_gb	status	description
d844cc6	1.039018	26.6	ok	DEPTH=6 (narrower/shallower, more steps in 5min)
520bef0	1.002905	66.5	ok	DEPTH=10 (deeper/wider than baseline 8)
875f66f	0.000000	0.0	crash	DEPTH=14 (even deeper)
f39b038	1.069575	64.5	ok	DEPTH=14, DEVICE_BATCH_SIZE=64 to fit memory
94c966f	1.017372	47.8	ok	DEPTH=12, DEVICE_BATCH_SIZE=64
18a200a	1.009238	60.5	ok	DEPTH=9 (same width as depth10, one fewer layer), batch128
5495017	1.004630	66.5	ok	DEPTH=10, WARMDOWN_RATIO=0.3 (shorter cooldown)
82b1f8d	1.004438	66.5	ok	DEPTH=10, WARMDOWN_RATIO=0.7 (longer cooldown)
b0109ae	1.006833	66.5	ok	DEPTH=10, MATRIX_LR=0.03 (lower Muon LR)
866e060	1.006996	66.5	ok	DEPTH=10, MATRIX_LR=0.05 (higher Muon LR)
3c032bf	0.988032	66.2	ok	DEPTH=10, TOTAL_BATCH_SIZE=2^18 (half, more optimizer steps)
e0ec5eb	0.987682	33.5	ok	DEPTH=10, TOTAL_BATCH_SIZE=2^17 (quarter, DBS=64)
3175ef3	0.998458	17.1	ok	DEPTH=10, TOTAL_BATCH_SIZE=2^16 (DBS=32, even smaller batch)
6f769ef	0.985612	49.9	ok	DEPTH=10, TOTAL_BATCH_SIZE=196608 (between 2^17 and 2^18)
f3d5ccb	0.985150	41.7	ok	DEPTH=10, TOTAL_BATCH_SIZE=163840 (80*2048)
4059684	0.986190	37.6	ok	DEPTH=10, TOTAL_BATCH_SIZE=147456 (72*2048)
962c102	0.987218	45.8	ok	DEPTH=10, TOTAL_BATCH_SIZE=180224 (88*2048)
6d185e4	0.989457	59.0	ok	DEPTH=12 with new best TBS=163840
a1ee048	0.987137	54.4	ok	DEPTH=11 with TBS=163840
c8c22a9	0.985593	41.7	ok	DEPTH=10 TBS=163840, MATRIX_LR=0.035
04e8681	0.986404	41.7	ok	DEPTH=10 TBS=163840, EMBEDDING_LR=0.4
b4dead0	0.986376	41.7	ok	DEPTH=10 TBS=163840, EMBEDDING_LR=0.8
60cb442	0.984334	41.7	ok	DEPTH=10 TBS=163840, WARMUP_RATIO=0.05
c17ad41	0.986681	41.7	ok	DEPTH=10 TBS=163840, WARMUP_RATIO=0.1
56113cf	0.983990	41.7	ok	DEPTH=10 TBS=163840, WARMUP_RATIO=0.03
5e9be82	0.984872	41.7	ok	DEPTH=10 TBS=163840, WARMUP_RATIO=0.02
d12fa60	0.981159	41.7	ok	DEPTH=10 TBS=163840 WARMUP=0.03, WEIGHT_DECAY=0.1
b9c054f	0.983578	41.7	ok	DEPTH=10 TBS=163840 WARMUP=0.03, WEIGHT_DECAY=0.0
3b64426	0.981856	41.7	ok	DEPTH=10 TBS=163840 WARMUP=0.03, WEIGHT_DECAY=0.15
8f497ee	0.979324	37.9	ok	DEPTH=9 reconfirm at WD=0.1/warmup=0.03/TBS=163840
388261f	0.986418	27.6	ok	DEPTH=8 (orig baseline depth) with new TBS/warmup/WD tuning
87611d4	0.980041	37.9	ok	DEPTH=9, WEIGHT_DECAY=0.05
5724ab8	0.979559	30.5	ok	DEPTH=9, TOTAL_BATCH_SIZE=131072 (smaller batch)
b265e6a	0.981430	37.9	ok	DEPTH=9 best config, ADAM_BETAS=(0.85,0.95)
a5833af	0.979623	37.9	ok	Reconfirm best config: DEPTH=9, TBS=163840, WARMUP=0.03, WD=0.1
716a032	0.980533	37.9	ok	DEPTH=9 best config, WARMDOWN_RATIO=0.4 (last run, testing untested lever at D9)
