Error in sitecustomize; set PYTHONVERBOSE for traceback:
PermissionError: [Errno 13] Permission denied: '/pkg/sitecustomize.py'
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011347 | lrm: 1.00 | dt: 24473ms | tok/sec: 5,355 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.176127 | lrm: 1.00 | dt: 132ms | tok/sec: 991,673 | mfu: 43.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.987969 | lrm: 1.00 | dt: 134ms | tok/sec: 977,435 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.637349 | lrm: 1.00 | dt: 134ms | tok/sec: 978,815 | mfu: 42.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.229187 | lrm: 1.00 | dt: 135ms | tok/sec: 973,050 | mfu: 42.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.876298 | lrm: 1.00 | dt: 136ms | tok/sec: 963,272 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.576973 | lrm: 1.00 | dt: 137ms | tok/sec: 957,269 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.328466 | lrm: 1.00 | dt: 155ms | tok/sec: 845,528 | mfu: 36.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.118694 | lrm: 1.00 | dt: 146ms | tok/sec: 900,487 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.937616 | lrm: 1.00 | dt: 139ms | tok/sec: 941,883 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.779979 | lrm: 1.00 | dt: 136ms | tok/sec: 961,039 | mfu: 41.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.640819 | lrm: 1.00 | dt: 136ms | tok/sec: 963,113 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.523011 | lrm: 1.00 | dt: 136ms | tok/sec: 962,445 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.419300 | lrm: 1.00 | dt: 138ms | tok/sec: 948,721 | mfu: 41.1% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.324639 | lrm: 1.00 | dt: 149ms | tok/sec: 881,095 | mfu: 38.2% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.245391 | lrm: 1.00 | dt: 146ms | tok/sec: 898,095 | mfu: 38.9% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 6.175347 | lrm: 1.00 | dt: 140ms | tok/sec: 936,894 | mfu: 40.6% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 6.107565 | lrm: 1.00 | dt: 137ms | tok/sec: 957,499 | mfu: 41.5% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 6.048069 | lrm: 1.00 | dt: 136ms | tok/sec: 961,888 | mfu: 41.7% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.994528 | lrm: 1.00 | dt: 137ms | tok/sec: 959,027 | mfu: 41.5% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 5.948266 | lrm: 1.00 | dt: 139ms | tok/sec: 944,964 | mfu: 40.9% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 5.905069 | lrm: 1.00 | dt: 145ms | tok/sec: 905,541 | mfu: 39.2% | epoch: 1 | remaining: 298s    
step 00022 (0.5%) | loss: 5.864222 | lrm: 1.00 | dt: 145ms | tok/sec: 906,907 | mfu: 39.3% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.825556 | lrm: 1.00 | dt: 140ms | tok/sec: 934,050 | mfu: 40.5% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 5.790368 | lrm: 1.00 | dt: 138ms | tok/sec: 947,730 | mfu: 41.1% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.749424 | lrm: 1.00 | dt: 137ms | tok/sec: 957,492 | mfu: 41.5% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 5.716771 | lrm: 1.00 | dt: 137ms | tok/sec: 959,178 | mfu: 41.5% | epoch: 1 | remaining: 298s    
step 00027 (0.7%) | loss: 5.688736 | lrm: 1.00 | dt: 139ms | tok/sec: 945,621 | mfu: 41.0% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 5.661961 | lrm: 1.00 | dt: 143ms | tok/sec: 919,510 | mfu: 39.8% | epoch: 1 | remaining: 297s    
step 00029 (0.8%) | loss: 5.632753 | lrm: 1.00 | dt: 144ms | tok/sec: 910,770 | mfu: 39.5% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 5.605005 | lrm: 1.00 | dt: 139ms | tok/sec: 940,821 | mfu: 40.8% | epoch: 1 | remaining: 297s    
step 00031 (0.9%) | loss: 5.578733 | lrm: 1.00 | dt: 140ms | tok/sec: 938,333 | mfu: 40.6% | epoch: 1 | remaining: 297s    
step 00032 (1.0%) | loss: 5.551753 | lrm: 1.00 | dt: 138ms | tok/sec: 952,286 | mfu: 41.2% | epoch: 1 | remaining: 297s    
step 00033 (1.0%) | loss: 5.530075 | lrm: 1.00 | dt: 137ms | tok/sec: 953,927 | mfu: 41.3% | epoch: 1 | remaining: 297s    
step 00034 (1.1%) | loss: 5.503916 | lrm: 1.00 | dt: 139ms | tok/sec: 945,808 | mfu: 41.0% | epoch: 1 | remaining: 297s    
step 00035 (1.1%) | loss: 5.479102 | lrm: 1.00 | dt: 140ms | tok/sec: 935,284 | mfu: 40.5% | epoch: 1 | remaining: 297s    
