Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011343 | lrm: 1.00 | dt: 18393ms | tok/sec: 14,252 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.197459 | lrm: 1.00 | dt: 256ms | tok/sec: 1,023,249 | mfu: 44.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.968534 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,448 | mfu: 43.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.591581 | lrm: 1.00 | dt: 262ms | tok/sec: 1,001,104 | mfu: 43.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.199868 | lrm: 1.00 | dt: 288ms | tok/sec: 911,048 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.826316 | lrm: 1.00 | dt: 266ms | tok/sec: 986,965 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.520130 | lrm: 1.00 | dt: 260ms | tok/sec: 1,007,130 | mfu: 43.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.269612 | lrm: 1.00 | dt: 269ms | tok/sec: 976,319 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.058788 | lrm: 1.00 | dt: 278ms | tok/sec: 943,420 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.876580 | lrm: 1.00 | dt: 269ms | tok/sec: 974,737 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.722178 | lrm: 1.00 | dt: 261ms | tok/sec: 1,004,735 | mfu: 43.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.584488 | lrm: 1.00 | dt: 272ms | tok/sec: 963,148 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.461241 | lrm: 1.00 | dt: 274ms | tok/sec: 958,206 | mfu: 41.5% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.356136 | lrm: 1.00 | dt: 266ms | tok/sec: 984,043 | mfu: 42.6% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 6.262492 | lrm: 1.00 | dt: 263ms | tok/sec: 997,783 | mfu: 43.2% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 6.176381 | lrm: 1.00 | dt: 275ms | tok/sec: 952,971 | mfu: 41.3% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 6.100075 | lrm: 1.00 | dt: 270ms | tok/sec: 971,208 | mfu: 42.1% | epoch: 1 | remaining: 298s    
step 00017 (0.5%) | loss: 6.028875 | lrm: 1.00 | dt: 266ms | tok/sec: 984,372 | mfu: 42.6% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 5.966943 | lrm: 1.00 | dt: 268ms | tok/sec: 979,364 | mfu: 42.4% | epoch: 1 | remaining: 298s    
step 00019 (0.7%) | loss: 5.909083 | lrm: 1.00 | dt: 271ms | tok/sec: 966,628 | mfu: 41.9% | epoch: 1 | remaining: 298s    
step 00020 (0.8%) | loss: 5.854887 | lrm: 1.00 | dt: 271ms | tok/sec: 966,026 | mfu: 41.8% | epoch: 1 | remaining: 297s    
step 00021 (0.9%) | loss: 5.806089 | lrm: 1.00 | dt: 264ms | tok/sec: 991,514 | mfu: 42.9% | epoch: 1 | remaining: 297s    
step 00022 (1.0%) | loss: 5.763434 | lrm: 1.00 | dt: 271ms | tok/sec: 966,988 | mfu: 41.9% | epoch: 1 | remaining: 297s    
step 00023 (1.1%) | loss: 5.722626 | lrm: 1.00 | dt: 271ms | tok/sec: 966,864 | mfu: 41.9% | epoch: 1 | remaining: 296s    
step 00024 (1.2%) | loss: 5.684782 | lrm: 1.00 | dt: 274ms | tok/sec: 957,105 | mfu: 41.5% | epoch: 1 | remaining: 296s    
step 00025 (1.3%) | loss: 5.647989 | lrm: 1.00 | dt: 266ms | tok/sec: 986,611 | mfu: 42.7% | epoch: 1 | remaining: 296s    
step 00026 (1.3%) | loss: 5.613429 | lrm: 1.00 | dt: 273ms | tok/sec: 961,768 | mfu: 41.7% | epoch: 1 | remaining: 296s    
step 00027 (1.4%) | loss: 5.580379 | lrm: 1.00 | dt: 269ms | tok/sec: 973,779 | mfu: 42.2% | epoch: 1 | remaining: 295s    
step 00028 (1.5%) | loss: 5.551805 | lrm: 1.00 | dt: 271ms | tok/sec: 967,489 | mfu: 41.9% | epoch: 1 | remaining: 295s    
step 00029 (1.6%) | loss: 5.523311 | lrm: 1.00 | dt: 268ms | tok/sec: 979,357 | mfu: 42.4% | epoch: 1 | remaining: 295s    
step 00030 (1.7%) | loss: 5.492462 | lrm: 1.00 | dt: 273ms | tok/sec: 961,919 | mfu: 41.7% | epoch: 1 | remaining: 295s    
step 00031 (1.8%) | loss: 5.465286 | lrm: 1.00 | dt: 269ms | tok/sec: 975,911 | mfu: 42.3% | epoch: 1 | remaining: 294s    
step 00032 (1.9%) | loss: 5.439357 | lrm: 1.00 | dt: 271ms | tok/sec: 967,715 | mfu: 41.9% | epoch: 1 | remaining: 294s    
step 00033 (2.0%) | loss: 5.414483 | lrm: 1.00 | dt: 269ms | tok/sec: 974,483 | mfu: 42.2% | epoch: 1 | remaining: 294s    
step 00034 (2.1%) | loss: 5.388404 | lrm: 1.00 | dt: 272ms | tok/sec: 964,180 | mfu: 41.8% | epoch: 1 | remaining: 294s    
step 00035 (2.2%) | loss: 5.361962 | lrm: 1.00 | dt: 267ms | tok/sec: 982,613 | mfu: 42.6% | epoch: 1 | remaining: 293s    
step 00036 (2.2%) | loss: 5.336295 | lrm: 1.00 | dt: 270ms | tok/sec: 971,357 | mfu: 42.1% | epoch: 1 | remaining: 293s    
step 00037 (2.3%) | loss: 5.312105 | lrm: 1.00 | dt: 270ms | tok/sec: 970,058 | mfu: 42.0% | epoch: 1 | remaining: 293s    
step 00038 (2.4%) | loss: 5.286703 | lrm: 1.00 | dt: 272ms | tok/sec: 963,445 | mfu: 41.7% | epoch: 1 | remaining: 292s    
step 00039 (2.5%) | loss: 5.261250 | lrm: 1.00 | dt: 269ms | tok/sec: 975,391 | mfu: 42.2% | epoch: 1 | remaining: 292s    
step 00040 (2.6%) | loss: 5.239337 | lrm: 1.00 | dt: 272ms | tok/sec: 964,530 | mfu: 41.8% | epoch: 1 | remaining: 292s    
step 00041 (2.7%) | loss: 5.214360 | lrm: 1.00 | dt: 272ms | tok/sec: 963,257 | mfu: 41.7% | epoch: 1 | remaining: 292s    
step 00042 (2.8%) | loss: 5.192949 | lrm: 1.00 | dt: 270ms | tok/sec: 971,958 | mfu: 42.1% | epoch: 1 | remaining: 291s    
step 00043 (2.9%) | loss: 5.168412 | lrm: 1.00 | dt: 270ms | tok/sec: 969,227 | mfu: 42.0% | epoch: 1 | remaining: 291s    
step 00044 (3.0%) | loss: 5.145490 | lrm: 1.00 | dt: 270ms | tok/sec: 970,180 | mfu: 42.0% | epoch: 1 | remaining: 291s    
step 00045 (3.1%) | loss: 5.124507 | lrm: 1.00 | dt: 269ms | tok/sec: 974,447 | mfu: 42.2% | epoch: 1 | remaining: 291s    
step 00046 (3.1%) | loss: 5.100595 | lrm: 1.00 | dt: 269ms | tok/sec: 974,319 | mfu: 42.2% | epoch: 1 | remaining: 290s    
step 00047 (3.2%) | loss: 5.075253 | lrm: 1.00 | dt: 269ms | tok/sec: 972,874 | mfu: 42.1% | epoch: 1 | remaining: 290s    
step 00048 (3.3%) | loss: 5.052308 | lrm: 1.00 | dt: 271ms | tok/sec: 969,048 | mfu: 42.0% | epoch: 1 | remaining: 290s    
step 00049 (3.4%) | loss: 5.027085 | lrm: 1.00 | dt: 269ms | tok/sec: 973,059 | mfu: 42.1% | epoch: 1 | remaining: 289s    
step 00050 (3.5%) | loss: 5.006786 | lrm: 1.00 | dt: 270ms | tok/sec: 972,400 | mfu: 42.1% | epoch: 1 | remaining: 289s    
step 00051 (3.6%) | loss: 4.983415 | lrm: 1.00 | dt: 270ms | tok/sec: 971,876 | mfu: 42.1% | epoch: 1 | remaining: 289s    
step 00052 (3.7%) | loss: 4.962461 | lrm: 1.00 | dt: 269ms | tok/sec: 975,777 | mfu: 42.3% | epoch: 1 | remaining: 289s    
step 00053 (3.8%) | loss: 4.941162 | lrm: 1.00 | dt: 270ms | tok/sec: 972,139 | mfu: 42.1% | epoch: 1 | remaining: 288s    
step 00054 (3.9%) | loss: 4.916084 | lrm: 1.00 | dt: 270ms | tok/sec: 970,852 | mfu: 42.1% | epoch: 1 | remaining: 288s    
step 00055 (4.0%) | loss: 4.895492 | lrm: 1.00 | dt: 269ms | tok/sec: 974,320 | mfu: 42.2% | epoch: 1 | remaining: 288s    
step 00056 (4.0%) | loss: 4.876341 | lrm: 1.00 | dt: 270ms | tok/sec: 969,734 | mfu: 42.0% | epoch: 1 | remaining: 288s    
step 00057 (4.1%) | loss: 4.857311 | lrm: 1.00 | dt: 269ms | tok/sec: 974,778 | mfu: 42.2% | epoch: 1 | remaining: 287s    
step 00058 (4.2%) | loss: 4.837106 | lrm: 1.00 | dt: 270ms | tok/sec: 970,409 | mfu: 42.0% | epoch: 1 | remaining: 287s    
step 00059 (4.3%) | loss: 4.817611 | lrm: 1.00 | dt: 270ms | tok/sec: 970,007 | mfu: 42.0% | epoch: 1 | remaining: 287s    
step 00060 (4.4%) | loss: 4.799887 | lrm: 1.00 | dt: 271ms | tok/sec: 965,787 | mfu: 41.8% | epoch: 1 | remaining: 287s    
step 00061 (4.5%) | loss: 4.777533 | lrm: 1.00 | dt: 271ms | tok/sec: 968,044 | mfu: 41.9% | epoch: 1 | remaining: 286s    
step 00062 (4.6%) | loss: 4.757107 | lrm: 1.00 | dt: 272ms | tok/sec: 964,808 | mfu: 41.8% | epoch: 1 | remaining: 286s    
step 00063 (4.7%) | loss: 4.735629 | lrm: 1.00 | dt: 270ms | tok/sec: 971,724 | mfu: 42.1% | epoch: 1 | remaining: 286s    
step 00064 (4.8%) | loss: 4.713961 | lrm: 1.00 | dt: 270ms | tok/sec: 970,145 | mfu: 42.0% | epoch: 1 | remaining: 285s    
step 00065 (4.9%) | loss: 4.692875 | lrm: 1.00 | dt: 269ms | tok/sec: 975,798 | mfu: 42.3% | epoch: 1 | remaining: 285s    
step 00066 (4.9%) | loss: 4.674175 | lrm: 1.00 | dt: 271ms | tok/sec: 966,354 | mfu: 41.9% | epoch: 1 | remaining: 285s    
step 00067 (5.0%) | loss: 4.655030 | lrm: 1.00 | dt: 267ms | tok/sec: 982,266 | mfu: 42.5% | epoch: 1 | remaining: 285s    
step 00068 (5.1%) | loss: 4.631721 | lrm: 1.00 | dt: 273ms | tok/sec: 961,866 | mfu: 41.7% | epoch: 1 | remaining: 284s    
step 00069 (5.2%) | loss: 4.607368 | lrm: 1.00 | dt: 269ms | tok/sec: 973,537 | mfu: 42.2% | epoch: 1 | remaining: 284s    
step 00070 (5.3%) | loss: 4.583281 | lrm: 1.00 | dt: 270ms | tok/sec: 971,934 | mfu: 42.1% | epoch: 1 | remaining: 284s    
step 00071 (5.4%) | loss: 4.563423 | lrm: 1.00 | dt: 268ms | tok/sec: 977,586 | mfu: 42.3% | epoch: 1 | remaining: 284s    
step 00072 (5.5%) | loss: 4.542001 | lrm: 1.00 | dt: 271ms | tok/sec: 965,586 | mfu: 41.8% | epoch: 1 | remaining: 283s    
step 00073 (5.6%) | loss: 4.521045 | lrm: 1.00 | dt: 268ms | tok/sec: 976,688 | mfu: 42.3% | epoch: 1 | remaining: 283s    
step 00074 (5.7%) | loss: 4.502826 | lrm: 1.00 | dt: 271ms | tok/sec: 966,850 | mfu: 41.9% | epoch: 1 | remaining: 283s    
step 00075 (5.8%) | loss: 4.482955 | lrm: 1.00 | dt: 270ms | tok/sec: 972,514 | mfu: 42.1% | epoch: 1 | remaining: 282s    
step 00076 (5.8%) | loss: 4.461877 | lrm: 1.00 | dt: 272ms | tok/sec: 965,140 | mfu: 41.8% | epoch: 1 | remaining: 282s    
