Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SLSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.516613e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 15795ms | tok/sec: 33,194 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854709 | lrm: 1.00 | dt: 311ms | tok/sec: 1,685,443 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442367 | lrm: 1.00 | dt: 312ms | tok/sec: 1,680,222 | mfu: 42.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971799 | lrm: 1.00 | dt: 379ms | tok/sec: 1,384,643 | mfu: 35.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578783 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,560 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248857 | lrm: 1.00 | dt: 369ms | tok/sec: 1,422,514 | mfu: 36.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998100 | lrm: 1.00 | dt: 355ms | tok/sec: 1,478,324 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787114 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,277 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.607047 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,802 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455237 | lrm: 1.00 | dt: 336ms | tok/sec: 1,559,297 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325507 | lrm: 1.00 | dt: 319ms | tok/sec: 1,645,690 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217273 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,019 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120991 | lrm: 1.00 | dt: 325ms | tok/sec: 1,613,555 | mfu: 41.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.035249 | lrm: 1.00 | dt: 388ms | tok/sec: 1,350,171 | mfu: 34.3% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.963209 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,675 | mfu: 41.9% | epoch: 1 | remaining: 299s    
step 00015 (0.5%) | loss: 5.898742 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,500 | mfu: 41.2% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 5.842848 | lrm: 1.00 | dt: 334ms | tok/sec: 1,571,153 | mfu: 40.0% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.788608 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,132 | mfu: 41.2% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.739866 | lrm: 1.00 | dt: 371ms | tok/sec: 1,411,611 | mfu: 35.9% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.694543 | lrm: 1.00 | dt: 340ms | tok/sec: 1,544,118 | mfu: 39.3% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.652574 | lrm: 1.00 | dt: 316ms | tok/sec: 1,661,188 | mfu: 42.2% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.612519 | lrm: 1.00 | dt: 328ms | tok/sec: 1,596,775 | mfu: 40.6% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.577095 | lrm: 1.00 | dt: 352ms | tok/sec: 1,489,767 | mfu: 37.9% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.540143 | lrm: 1.00 | dt: 331ms | tok/sec: 1,582,015 | mfu: 40.2% | epoch: 1 | remaining: 296s    
step 00024 (1.5%) | loss: 5.504803 | lrm: 1.00 | dt: 395ms | tok/sec: 1,327,817 | mfu: 33.8% | epoch: 1 | remaining: 295s    
step 00025 (1.6%) | loss: 5.472691 | lrm: 1.00 | dt: 313ms | tok/sec: 1,673,526 | mfu: 42.6% | epoch: 1 | remaining: 295s    
step 00026 (1.7%) | loss: 5.442243 | lrm: 1.00 | dt: 317ms | tok/sec: 1,654,070 | mfu: 42.1% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 5.412414 | lrm: 1.00 | dt: 338ms | tok/sec: 1,552,641 | mfu: 39.5% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.385109 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,253 | mfu: 41.5% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.357088 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,659 | mfu: 41.2% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.326782 | lrm: 1.00 | dt: 335ms | tok/sec: 1,563,964 | mfu: 39.8% | epoch: 1 | remaining: 293s    
step 00031 (2.2%) | loss: 5.297088 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,267 | mfu: 41.4% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.269335 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,608 | mfu: 41.6% | epoch: 1 | remaining: 293s    
step 00033 (2.5%) | loss: 5.243121 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,320 | mfu: 40.7% | epoch: 1 | remaining: 292s    
step 00034 (2.6%) | loss: 5.211830 | lrm: 1.00 | dt: 325ms | tok/sec: 1,615,069 | mfu: 41.1% | epoch: 1 | remaining: 292s    
step 00035 (2.7%) | loss: 5.185644 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,550 | mfu: 41.7% | epoch: 1 | remaining: 292s    
step 00036 (2.8%) | loss: 5.160437 | lrm: 1.00 | dt: 348ms | tok/sec: 1,508,084 | mfu: 38.4% | epoch: 1 | remaining: 291s    
step 00037 (2.9%) | loss: 5.135144 | lrm: 1.00 | dt: 334ms | tok/sec: 1,568,143 | mfu: 39.9% | epoch: 1 | remaining: 291s    
step 00038 (3.0%) | loss: 5.107457 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,992 | mfu: 40.4% | epoch: 1 | remaining: 291s    
step 00039 (3.1%) | loss: 5.080164 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,470 | mfu: 41.2% | epoch: 1 | remaining: 290s    
step 00040 (3.2%) | loss: 5.051453 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,383 | mfu: 41.0% | epoch: 1 | remaining: 290s    
step 00041 (3.3%) | loss: 5.024454 | lrm: 1.00 | dt: 320ms | tok/sec: 1,636,523 | mfu: 41.6% | epoch: 1 | remaining: 290s    
step 00042 (3.4%) | loss: 4.998764 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,073 | mfu: 41.2% | epoch: 1 | remaining: 289s    
step 00043 (3.5%) | loss: 4.972739 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,211 | mfu: 41.2% | epoch: 1 | remaining: 289s    
step 00044 (3.7%) | loss: 4.945971 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,687 | mfu: 40.5% | epoch: 1 | remaining: 289s    
step 00045 (3.8%) | loss: 4.919125 | lrm: 1.00 | dt: 337ms | tok/sec: 1,555,936 | mfu: 39.6% | epoch: 1 | remaining: 288s    
step 00046 (3.9%) | loss: 4.891884 | lrm: 1.00 | dt: 323ms | tok/sec: 1,625,033 | mfu: 41.3% | epoch: 1 | remaining: 288s    
step 00047 (4.0%) | loss: 4.856714 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,576 | mfu: 41.5% | epoch: 1 | remaining: 288s    
step 00048 (4.1%) | loss: 4.833997 | lrm: 1.00 | dt: 378ms | tok/sec: 1,388,513 | mfu: 35.3% | epoch: 1 | remaining: 287s    
step 00049 (4.2%) | loss: 4.805236 | lrm: 1.00 | dt: 315ms | tok/sec: 1,665,689 | mfu: 42.4% | epoch: 1 | remaining: 287s    
step 00050 (4.3%) | loss: 4.776809 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,566 | mfu: 41.1% | epoch: 1 | remaining: 287s    
step 00051 (4.4%) | loss: 4.752977 | lrm: 1.00 | dt: 337ms | tok/sec: 1,554,718 | mfu: 39.5% | epoch: 1 | remaining: 286s    
step 00052 (4.5%) | loss: 4.728436 | lrm: 1.00 | dt: 319ms | tok/sec: 1,644,901 | mfu: 41.8% | epoch: 1 | remaining: 286s    
step 00053 (4.6%) | loss: 4.702136 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,671 | mfu: 41.5% | epoch: 1 | remaining: 286s    
step 00054 (4.8%) | loss: 4.675130 | lrm: 1.00 | dt: 334ms | tok/sec: 1,571,456 | mfu: 40.0% | epoch: 1 | remaining: 285s    
step 00055 (4.9%) | loss: 4.648992 | lrm: 1.00 | dt: 320ms | tok/sec: 1,636,229 | mfu: 41.6% | epoch: 1 | remaining: 285s    
step 00056 (5.0%) | loss: 4.626331 | lrm: 1.00 | dt: 317ms | tok/sec: 1,652,361 | mfu: 42.0% | epoch: 1 | remaining: 285s    
step 00057 (5.1%) | loss: 4.601436 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,348 | mfu: 40.7% | epoch: 1 | remaining: 284s    
step 00058 (5.2%) | loss: 4.571591 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,509 | mfu: 41.1% | epoch: 1 | remaining: 284s    
