Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'LSSS'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.453699e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 14703ms | tok/sec: 35,659 | mfu: 0.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854703 | lrm: 1.00 | dt: 310ms | tok/sec: 1,690,492 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442312 | lrm: 1.00 | dt: 313ms | tok/sec: 1,676,327 | mfu: 41.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971744 | lrm: 1.00 | dt: 349ms | tok/sec: 1,500,424 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578762 | lrm: 1.00 | dt: 361ms | tok/sec: 1,452,138 | mfu: 36.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248844 | lrm: 1.00 | dt: 342ms | tok/sec: 1,530,961 | mfu: 38.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998091 | lrm: 1.00 | dt: 343ms | tok/sec: 1,529,304 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787089 | lrm: 1.00 | dt: 338ms | tok/sec: 1,553,181 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.607005 | lrm: 1.00 | dt: 336ms | tok/sec: 1,560,178 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455162 | lrm: 1.00 | dt: 358ms | tok/sec: 1,465,362 | mfu: 36.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325399 | lrm: 1.00 | dt: 313ms | tok/sec: 1,674,503 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217094 | lrm: 1.00 | dt: 341ms | tok/sec: 1,537,755 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120721 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,544 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034829 | lrm: 1.00 | dt: 406ms | tok/sec: 1,292,565 | mfu: 32.1% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 5.962681 | lrm: 1.00 | dt: 372ms | tok/sec: 1,409,454 | mfu: 35.0% | epoch: 1 | remaining: 299s    
step 00015 (0.5%) | loss: 5.898160 | lrm: 1.00 | dt: 361ms | tok/sec: 1,450,744 | mfu: 36.0% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 5.842047 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,727 | mfu: 40.6% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.787515 | lrm: 1.00 | dt: 328ms | tok/sec: 1,600,250 | mfu: 39.7% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.738506 | lrm: 1.00 | dt: 329ms | tok/sec: 1,591,801 | mfu: 39.5% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.692910 | lrm: 1.00 | dt: 318ms | tok/sec: 1,651,038 | mfu: 40.9% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.650492 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,388 | mfu: 40.5% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.609866 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,739 | mfu: 39.8% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.573811 | lrm: 1.00 | dt: 343ms | tok/sec: 1,529,143 | mfu: 37.9% | epoch: 1 | remaining: 296s    
step 00023 (1.4%) | loss: 5.536191 | lrm: 1.00 | dt: 354ms | tok/sec: 1,481,345 | mfu: 36.7% | epoch: 1 | remaining: 296s    
step 00024 (1.5%) | loss: 5.500107 | lrm: 1.00 | dt: 375ms | tok/sec: 1,399,482 | mfu: 34.7% | epoch: 1 | remaining: 295s    
step 00025 (1.6%) | loss: 5.467157 | lrm: 1.00 | dt: 318ms | tok/sec: 1,650,589 | mfu: 40.9% | epoch: 1 | remaining: 295s    
step 00026 (1.7%) | loss: 5.435764 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,606 | mfu: 40.0% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 5.405076 | lrm: 1.00 | dt: 331ms | tok/sec: 1,584,203 | mfu: 39.3% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.377006 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,490 | mfu: 40.2% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.348040 | lrm: 1.00 | dt: 346ms | tok/sec: 1,513,211 | mfu: 37.5% | epoch: 1 | remaining: 294s    
step 00030 (2.2%) | loss: 5.317041 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,425 | mfu: 40.7% | epoch: 1 | remaining: 293s    
