run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	1	a2	0	crash		0.997333	0.0
2	2	a4	0	ok	0.998353	0.997333	0.0
3	3	a5	0	ok	1.002207	0.997333	0.0
4	5	a0	0	crash		0.997333	0.0
5	7	a5	0	ok	1.00089	0.997333	0.0
6	11	a5	0	ok	0.998756	0.997333	0.0
7	15	a4	0	ok	0.997527	0.997333	0.0
8	16	a5	0	ok	1.003136	0.997333	0.0
9	17	a0	0	ok	0.996005	0.996005	0.0
10	17	a3	0	ok	0.987706	0.987706	0.0
11	18	a2	0	ok	1.044218	0.987706	0.0
12	19	a4	0	ok	0.996673	0.987706	0.0
13	19	a4	0	ok	0.996896	0.987706	0.0
14	20	a1	0	ok	0.98837	0.987706	0.0
15	20	a3	0	ok	0.988675	0.987706	0.0
16	21	a1	0	ok	0.996646	0.987706	0.0
17	21	a5	0	ok	0.999791	0.987706	0.0
18	22	a0	0	ok	0.987868	0.987706	0.0
19	22	a4	0	ok	0.997355	0.987706	0.0
20	23	a1	0	ok	0.9963	0.987706	0.0
21	23	a5	0	ok	0.987994	0.987706	0.0
22	24	a4	0	ok	0.987594	0.987594	0.0
23	25	a3	0	ok	0.991456	0.987594	0.0
24	27	a1	0	ok	0.991159	0.987594	0.0
25	28	a2	0	ok	1.035902	0.987594	0.0
26	30	a1	0	ok	0.986867	0.986867	0.0
27	31	a0	0	ok	0.986436	0.986436	0.0
28	32	a2	0	ok	0.985651	0.985651	0.0
29	33	a0	0	ok	0.986379	0.985651	0.0
30	33	a1	0	ok	0.986182	0.985651	0.0
31	34	a2	0	ok	0.9865	0.985651	0.0
32	34	a3	0	ok	0.987464	0.985651	0.0
33	35	a2	0	crash		0.985651	0.0
34	36	a0	0	ok	0.985862	0.985651	0.0
35	36	a3	0	ok	0.986059	0.985651	0.0
36	36	a3	0	ok	0.990611	0.985651	0.0
