Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 8, 'n_kv_head': 8, 'n_embd': 512, 'window_pattern': 'SSSS'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,848
  scalars                 : 16
  total                   : 50,332,688
Estimated FLOPs per token: 2.013327e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 15382ms | tok/sec: 17,041 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867295 | lrm: 1.00 | dt: 149ms | tok/sec: 1,760,021 | mfu: 35.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.485947 | lrm: 1.00 | dt: 151ms | tok/sec: 1,732,447 | mfu: 35.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.033833 | lrm: 1.00 | dt: 152ms | tok/sec: 1,727,656 | mfu: 35.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654686 | lrm: 1.00 | dt: 151ms | tok/sec: 1,738,679 | mfu: 35.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322278 | lrm: 1.00 | dt: 152ms | tok/sec: 1,727,898 | mfu: 35.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069432 | lrm: 1.00 | dt: 183ms | tok/sec: 1,428,820 | mfu: 29.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864353 | lrm: 1.00 | dt: 214ms | tok/sec: 1,225,154 | mfu: 24.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.689884 | lrm: 1.00 | dt: 214ms | tok/sec: 1,225,309 | mfu: 24.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541582 | lrm: 1.00 | dt: 217ms | tok/sec: 1,209,746 | mfu: 24.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.418232 | lrm: 1.00 | dt: 185ms | tok/sec: 1,420,601 | mfu: 28.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.309103 | lrm: 1.00 | dt: 153ms | tok/sec: 1,717,259 | mfu: 34.9% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.211281 | lrm: 1.00 | dt: 173ms | tok/sec: 1,513,771 | mfu: 30.8% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.128853 | lrm: 1.00 | dt: 199ms | tok/sec: 1,319,889 | mfu: 26.9% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.055793 | lrm: 1.00 | dt: 176ms | tok/sec: 1,491,308 | mfu: 30.3% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.988560 | lrm: 1.00 | dt: 213ms | tok/sec: 1,230,703 | mfu: 25.0% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.929098 | lrm: 1.00 | dt: 152ms | tok/sec: 1,729,852 | mfu: 35.2% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.871731 | lrm: 1.00 | dt: 172ms | tok/sec: 1,525,190 | mfu: 31.0% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.821361 | lrm: 1.00 | dt: 152ms | tok/sec: 1,729,866 | mfu: 35.2% | epoch: 1 | remaining: 299s    
step 00019 (0.5%) | loss: 5.774000 | lrm: 1.00 | dt: 202ms | tok/sec: 1,298,833 | mfu: 26.4% | epoch: 1 | remaining: 298s    
step 00020 (0.5%) | loss: 5.729635 | lrm: 1.00 | dt: 151ms | tok/sec: 1,735,970 | mfu: 35.3% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.689172 | lrm: 1.00 | dt: 192ms | tok/sec: 1,367,544 | mfu: 27.8% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.653665 | lrm: 1.00 | dt: 197ms | tok/sec: 1,333,011 | mfu: 27.1% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.619392 | lrm: 1.00 | dt: 187ms | tok/sec: 1,405,593 | mfu: 28.6% | epoch: 1 | remaining: 298s    
step 00024 (0.8%) | loss: 5.587721 | lrm: 1.00 | dt: 162ms | tok/sec: 1,617,316 | mfu: 32.9% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.555667 | lrm: 1.00 | dt: 166ms | tok/sec: 1,575,741 | mfu: 32.1% | epoch: 1 | remaining: 297s    
step 00026 (0.9%) | loss: 5.524258 | lrm: 1.00 | dt: 198ms | tok/sec: 1,322,408 | mfu: 26.9% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.493625 | lrm: 1.00 | dt: 193ms | tok/sec: 1,358,384 | mfu: 27.6% | epoch: 1 | remaining: 297s    
step 00028 (1.0%) | loss: 5.466834 | lrm: 1.00 | dt: 194ms | tok/sec: 1,352,371 | mfu: 27.5% | epoch: 1 | remaining: 297s    
step 00029 (1.1%) | loss: 5.440151 | lrm: 1.00 | dt: 156ms | tok/sec: 1,677,857 | mfu: 34.1% | epoch: 1 | remaining: 297s    
step 00030 (1.1%) | loss: 5.410656 | lrm: 1.00 | dt: 151ms | tok/sec: 1,734,672 | mfu: 35.3% | epoch: 1 | remaining: 296s    
