Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 8, 'n_kv_head': 8, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,848
  scalars                 : 16
  total                   : 50,332,688
Estimated FLOPs per token: 2.107699e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011263 | lrm: 1.00 | dt: 18853ms | tok/sec: 13,904 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867336 | lrm: 1.00 | dt: 144ms | tok/sec: 1,819,452 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.485939 | lrm: 1.00 | dt: 147ms | tok/sec: 1,781,350 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.033782 | lrm: 1.00 | dt: 149ms | tok/sec: 1,761,089 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654519 | lrm: 1.00 | dt: 148ms | tok/sec: 1,765,790 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322080 | lrm: 1.00 | dt: 148ms | tok/sec: 1,771,991 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069138 | lrm: 1.00 | dt: 185ms | tok/sec: 1,418,503 | mfu: 30.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864006 | lrm: 1.00 | dt: 185ms | tok/sec: 1,420,368 | mfu: 30.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.689441 | lrm: 1.00 | dt: 191ms | tok/sec: 1,375,027 | mfu: 29.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541049 | lrm: 1.00 | dt: 169ms | tok/sec: 1,552,798 | mfu: 33.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.417563 | lrm: 1.00 | dt: 164ms | tok/sec: 1,596,783 | mfu: 34.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.308241 | lrm: 1.00 | dt: 147ms | tok/sec: 1,779,988 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.210188 | lrm: 1.00 | dt: 163ms | tok/sec: 1,610,100 | mfu: 34.3% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.127565 | lrm: 1.00 | dt: 163ms | tok/sec: 1,612,880 | mfu: 34.4% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.054287 | lrm: 1.00 | dt: 148ms | tok/sec: 1,767,999 | mfu: 37.7% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.986713 | lrm: 1.00 | dt: 184ms | tok/sec: 1,428,065 | mfu: 30.4% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.926748 | lrm: 1.00 | dt: 162ms | tok/sec: 1,620,653 | mfu: 34.5% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.868911 | lrm: 1.00 | dt: 157ms | tok/sec: 1,669,462 | mfu: 35.6% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.818007 | lrm: 1.00 | dt: 160ms | tok/sec: 1,641,209 | mfu: 35.0% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.769958 | lrm: 1.00 | dt: 163ms | tok/sec: 1,609,492 | mfu: 34.3% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.724790 | lrm: 1.00 | dt: 148ms | tok/sec: 1,775,135 | mfu: 37.8% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.683543 | lrm: 0.99 | dt: 174ms | tok/sec: 1,503,299 | mfu: 32.0% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.647251 | lrm: 0.99 | dt: 170ms | tok/sec: 1,541,482 | mfu: 32.8% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.612176 | lrm: 0.99 | dt: 166ms | tok/sec: 1,578,447 | mfu: 33.6% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.579381 | lrm: 0.99 | dt: 153ms | tok/sec: 1,715,611 | mfu: 36.5% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.545985 | lrm: 0.99 | dt: 162ms | tok/sec: 1,618,335 | mfu: 34.5% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.513324 | lrm: 0.99 | dt: 190ms | tok/sec: 1,376,414 | mfu: 29.3% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.481405 | lrm: 0.99 | dt: 181ms | tok/sec: 1,447,388 | mfu: 30.8% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.453391 | lrm: 0.99 | dt: 148ms | tok/sec: 1,768,016 | mfu: 37.7% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.425551 | lrm: 0.99 | dt: 184ms | tok/sec: 1,422,044 | mfu: 30.3% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.394798 | lrm: 0.99 | dt: 158ms | tok/sec: 1,654,724 | mfu: 35.2% | epoch: 1 | remaining: 297s    
