commit	val_bpb	memory_gb	status	description
288909a	0.992664	22.2	ok	TOTAL_BATCH_SIZE 2**19 -> 2**17 and DEVICE_BATCH_SIZE 128 -> 64, keeping grad_accum_steps = 1; nothing else changed.
a68a232	0.997445	22.2	ok	TOTAL_BATCH_SIZE 2**19 -> 2**17 and DEVICE_BATCH_SIZE 128 -> 64 (grad_accum=1), all LRs and architecture unchanged.
74a46fe	0.996770	22.2	ok	TOTAL_BATCH_SIZE 2**19 -> 2**17 and DEVICE_BATCH_SIZE 128 -> 64, so grad_accum stays 1; all LRs and schedules untouched.
407455f	0.996458	22.2	ok	TOTAL_BATCH_SIZE 2**19 -> 2**17 and DEVICE_BATCH_SIZE 128 -> 64, so grad_accum stays 1 and the run gets ~4x the optimizer steps in the same 5 minutes.
f3a5b30	0.996178	22.2	ok	TOTAL_BATCH_SIZE 2**19 -> 2**17 and DEVICE_BATCH_SIZE 128 -> 64, so grad_accum stays 1; nothing else changed.
130b988	0.997042	22.2	ok	TOTAL_BATCH_SIZE 2**19 -> 2**17 with DEVICE_BATCH_SIZE 128 -> 64 (grad_accum stays 1); eval call pinned to a fixed batch of 128 so val packing is unchanged.
83b417a	0.993168	44.0	ok	HEAD_DIM 128->64 (n_head 4->8 at identical params/FLOPs/VRAM) combined with TOTAL_BATCH_SIZE 2**17->2**18 and DEVICE_BATCH_SIZE 64->128 (grad_accum stays 1).
db08016	0.992664	22.2	ok	TOTAL_BATCH_SIZE 2**19 -> 2**17 and DEVICE_BATCH_SIZE 128 -> 64, keeping grad_accum_steps = 1; nothing else changed.
67c93c0	0.993599	44.0	ok	HEAD_DIM 128->64 (n_head 4->8 at dim 512, params/FLOPs/VRAM identical) stacked on TOTAL_BATCH_SIZE 2**18 with DEVICE_BATCH_SIZE 128; nothing else touched.
aba92dd	0.994131	44.0	ok	HEAD_DIM 128->64 (8 heads of 64 at unchanged dim 512, so params/FLOPs are identical), TOTAL_BATCH_SIZE 2^17->2^18, DEVICE_BATCH_SIZE 64->128 (grad_accum stays 1).
ed033dd	0.994496	44.0	ok	Three hyperparameter lines: HEAD_DIM 128->64 (8 heads instead of 4, identical params/FLOPs/VRAM), TOTAL_BATCH_SIZE 2**17->2**18, DEVICE_BATCH_SIZE 64->128 (grad_accum stays 1).
29a9449	0.997854	22.2	ok	Wrapped prepare.py's make_dataloader in a background prefetch thread (clone the reused buffers, worker waits on its own copy). val_bpb 0.997854, 406.1M tokens, MFU 32.6% - no improvement; an earlier attempt in the same slot that also replaced best-fit packing with contiguous stream packing was much worse (1.004606) despite 454M tokens.
a764e95	0.989981	44.0	ok	short_window = sequence_len//2 -> //4 (1024 -> 512) in GPT._compute_window_sizes, stacked on the round-1 replicated config (HEAD_DIM 64, TOTAL_BATCH_SIZE 2**18, DEVICE_BATCH_SIZE 128).
69b523b	0.993742	44.0	ok	Adopted the r01 replicated config (HEAD_DIM 64, TOTAL_BATCH_SIZE 2**18, DEVICE_BATCH_SIZE 128) and cut MATRIX_LR 0.04 -> 0.025; val_bpb 0.993742 at 468.2M tokens / 1786 steps / 37.48% MFU / 45.0GB, queued_s 338.
d799186	0.996756	44.0	ok	On the r01 replicated config (HEAD_DIM 64, TOTAL_BATCH_SIZE 2**18, DEVICE_BATCH_SIZE 128), raised MATRIX_LR 0.04 -> 0.06; one number different from the four byte-identical r01 runs.
1c0304d	0.993672	44.0	ok	Adopted the r1-cluster config (HEAD_DIM 64, TOTAL_BATCH_SIZE 2**18, DEVICE_BATCH_SIZE 128) and cut MATRIX_LR 0.04 -> 0.025; val_bpb 0.993672 at 471.6M tokens, 1799 steps, MFU 37.76%, 45.0GB, queued_s 995.
7976556	0.997140	44.0	ok	HEAD_DIM 64 + TOTAL_BATCH_SIZE 2^18 + DEVICE_BATCH_SIZE 128 (the four-times-replicated round-1 config) with MATRIX_LR raised 0.04 -> 0.06; nothing else changed, so it differs from that cluster by exactly one number.
96fe9f4	0.989668	44.0	ok	One line in _compute_window_sizes (short_window = long_window // 4, i.e. 1024 -> 512) on top of the round-1 replicated config (HEAD_DIM 64, TOTAL_BATCH_SIZE 2**18, DEVICE_BATCH_SIZE 128).
3ba3418	0.990541	44.0	ok	One line in GPT._compute_window_sizes: short_window = long_window // 4 -> // 8 (512 -> 256), everything else at baseline.
4d2055d	0.988725	44.0	ok	One line in GPT._compute_window_sizes: short_window = long_window // 4 -> // 8 (512 -> 256), WINDOW_PATTERN still SSSL; nothing else touched.
c8563d0	0.996919	44.0	ok	WINDOW_PATTERN "SSSL" -> "SSSS" and deleted the window_sizes[-1] = (long_window, 0) line, so all 8 layers use window 512 instead of 6x512 + 2x2048.
8f29279	0.989833	44.0	ok	One character in the hyperparameter block: WINDOW_PATTERN "SSSL" -> "SSSS", keeping window_sizes[-1] = long, so layers 0-6 use window 512 and only the final layer is global 2048 (baseline had globals at layers 3 and 7). val_bpb 0.989833 at 482.9M tokens / 1842 steps / MFU 34.08% / 45.0GB / queued_s 963; FLOPs/token 220.2M -> 210.8M as predicted.
f36d1e2	0.990153	44.0	ok	One character in the hyperparameter block: WINDOW_PATTERN "SSSL" -> "SSSS", so layer 3 goes from window 2048 to 512 and only the forced-long last layer keeps full context (7x512 + 1x2048). val_bpb 0.990153 vs the control pair's 0.989825 (n=2 at 6x512+2x2048) - a small raw LOSS, because FLOPs/token fell 4.3% but MFU fell 35.89% -> 33.73% and tokens fell 486.4M -> 477.9M.
e458c45	0.000000	0.0	crash	WINDOW_PATTERN "SSSL" -> "S" and deleted the window_sizes[-1] = (long_window, 0) override, so all 8 layers use window 512 (zero global layers); FLOPs/token 220.2M -> 201.4M, nothing else changed.
807990e	0.987792	44.0	ok	One line in the hyperparameter block: WARMDOWN_RATIO 0.5 -> 0.8, so the LR is flat for the first 20% of wall-clock and decays linearly to zero over the last 80% instead of the last 50%. Nothing else touched.
e615369	1.000256	47.6	ok	ASPECT_RATIO 64->44 and DEPTH 8->10 (n_layer 10, n_embd 448, 7 heads of 64), FLOPs/token 210.8M -> 209.2M; val_bpb 1.000256 at 411.3M tokens, MFU 28.78%, 48.7GB - a large loss on both throughput and quality-per-token.
ea91949	0.988189	44.0	ok	One line in the hyperparameter block: WARMDOWN_RATIO 0.5 -> 0.8, so the LR multiplier is flat for the first 20% of the time budget and decays linearly to zero over the last 80% instead of the last 50%. Nothing else changed.
8bc3104	1.000112	47.6	ok	ASPECT_RATIO 64->44 and DEPTH 8->10, giving n_layer 10 / n_embd 448 / 7 heads at head_dim 64; FLOPs/token 2.092e8 vs the baseline's 2.108e8 (-0.8%), nothing else touched.
f31d0d9	0.988407	48.6	ok	One line: model = torch.compile(model, dynamic=False, mode="max-autotune-no-cudagraphs"). val_bpb 0.988407 at 493.6M tokens, 1883 steps, MFU 34.85%, VRAM 49.7GB, total_seconds 488.8 (vs 325.4 baseline, i.e. +163s of untimed compile).
