Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 8, 'n_kv_head': 8, 'n_embd': 512, 'window_pattern': 'S'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,848
  scalars                 : 16
  total                   : 50,332,688
Estimated FLOPs per token: 2.013327e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 6531ms | tok/sec: 40,136 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867295 | lrm: 1.00 | dt: 149ms | tok/sec: 1,764,152 | mfu: 35.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.485949 | lrm: 1.00 | dt: 151ms | tok/sec: 1,731,969 | mfu: 35.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.033830 | lrm: 1.00 | dt: 151ms | tok/sec: 1,732,209 | mfu: 35.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654668 | lrm: 1.00 | dt: 150ms | tok/sec: 1,745,882 | mfu: 35.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322263 | lrm: 1.00 | dt: 151ms | tok/sec: 1,732,775 | mfu: 35.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069419 | lrm: 1.00 | dt: 156ms | tok/sec: 1,679,638 | mfu: 34.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864330 | lrm: 1.00 | dt: 167ms | tok/sec: 1,571,617 | mfu: 32.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.689859 | lrm: 1.00 | dt: 157ms | tok/sec: 1,673,969 | mfu: 34.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541559 | lrm: 1.00 | dt: 160ms | tok/sec: 1,641,846 | mfu: 33.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.418208 | lrm: 1.00 | dt: 205ms | tok/sec: 1,281,056 | mfu: 26.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.309081 | lrm: 1.00 | dt: 160ms | tok/sec: 1,633,547 | mfu: 33.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.211266 | lrm: 1.00 | dt: 164ms | tok/sec: 1,596,396 | mfu: 32.5% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.128856 | lrm: 1.00 | dt: 155ms | tok/sec: 1,689,297 | mfu: 34.4% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.055811 | lrm: 1.00 | dt: 152ms | tok/sec: 1,721,726 | mfu: 35.0% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.988586 | lrm: 1.00 | dt: 192ms | tok/sec: 1,364,227 | mfu: 27.8% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.929126 | lrm: 1.00 | dt: 154ms | tok/sec: 1,700,571 | mfu: 34.6% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.871761 | lrm: 1.00 | dt: 159ms | tok/sec: 1,650,127 | mfu: 33.6% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.821397 | lrm: 1.00 | dt: 154ms | tok/sec: 1,705,962 | mfu: 34.7% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.774030 | lrm: 1.00 | dt: 153ms | tok/sec: 1,713,072 | mfu: 34.9% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.729660 | lrm: 1.00 | dt: 154ms | tok/sec: 1,701,998 | mfu: 34.6% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.689202 | lrm: 1.00 | dt: 179ms | tok/sec: 1,464,547 | mfu: 29.8% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.653696 | lrm: 1.00 | dt: 154ms | tok/sec: 1,706,680 | mfu: 34.7% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.619441 | lrm: 1.00 | dt: 158ms | tok/sec: 1,663,230 | mfu: 33.8% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.587748 | lrm: 1.00 | dt: 153ms | tok/sec: 1,713,037 | mfu: 34.9% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.555670 | lrm: 1.00 | dt: 154ms | tok/sec: 1,699,144 | mfu: 34.6% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.524293 | lrm: 1.00 | dt: 155ms | tok/sec: 1,694,729 | mfu: 34.5% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.493723 | lrm: 1.00 | dt: 158ms | tok/sec: 1,656,956 | mfu: 33.7% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.466995 | lrm: 1.00 | dt: 163ms | tok/sec: 1,604,871 | mfu: 32.7% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.440353 | lrm: 1.00 | dt: 165ms | tok/sec: 1,588,279 | mfu: 32.3% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.410797 | lrm: 1.00 | dt: 151ms | tok/sec: 1,730,465 | mfu: 35.2% | epoch: 1 | remaining: 297s    
