Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 8, 'n_kv_head': 8, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,848
  scalars                 : 16
  total                   : 50,332,688
Estimated FLOPs per token: 2.107699e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011263 | lrm: 1.00 | dt: 29097ms | tok/sec: 9,009 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867336 | lrm: 1.00 | dt: 145ms | tok/sec: 1,802,067 | mfu: 38.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.485938 | lrm: 1.00 | dt: 149ms | tok/sec: 1,760,914 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.033785 | lrm: 1.00 | dt: 148ms | tok/sec: 1,773,165 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.654529 | lrm: 1.00 | dt: 149ms | tok/sec: 1,762,023 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322091 | lrm: 1.00 | dt: 148ms | tok/sec: 1,767,422 | mfu: 37.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069145 | lrm: 1.00 | dt: 190ms | tok/sec: 1,377,423 | mfu: 29.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.864006 | lrm: 1.00 | dt: 192ms | tok/sec: 1,364,754 | mfu: 29.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.689440 | lrm: 1.00 | dt: 199ms | tok/sec: 1,314,090 | mfu: 28.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.541051 | lrm: 1.00 | dt: 183ms | tok/sec: 1,433,511 | mfu: 30.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.417564 | lrm: 1.00 | dt: 189ms | tok/sec: 1,388,622 | mfu: 29.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.308241 | lrm: 1.00 | dt: 162ms | tok/sec: 1,622,454 | mfu: 34.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.210188 | lrm: 1.00 | dt: 195ms | tok/sec: 1,345,738 | mfu: 28.7% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.127567 | lrm: 1.00 | dt: 197ms | tok/sec: 1,328,244 | mfu: 28.3% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.054298 | lrm: 1.00 | dt: 172ms | tok/sec: 1,524,480 | mfu: 32.5% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.986724 | lrm: 1.00 | dt: 217ms | tok/sec: 1,206,692 | mfu: 25.7% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.926745 | lrm: 1.00 | dt: 149ms | tok/sec: 1,763,555 | mfu: 37.6% | epoch: 1 | remaining: 299s    
step 00017 (0.4%) | loss: 5.868892 | lrm: 1.00 | dt: 164ms | tok/sec: 1,597,597 | mfu: 34.0% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.817958 | lrm: 1.00 | dt: 158ms | tok/sec: 1,657,875 | mfu: 35.3% | epoch: 1 | remaining: 299s    
step 00019 (0.5%) | loss: 5.769913 | lrm: 1.00 | dt: 250ms | tok/sec: 1,050,101 | mfu: 22.4% | epoch: 1 | remaining: 298s    
step 00020 (0.6%) | loss: 5.724755 | lrm: 0.99 | dt: 149ms | tok/sec: 1,754,894 | mfu: 37.4% | epoch: 1 | remaining: 298s    
step 00021 (0.6%) | loss: 5.683482 | lrm: 0.99 | dt: 166ms | tok/sec: 1,580,019 | mfu: 33.7% | epoch: 1 | remaining: 298s    
step 00022 (0.7%) | loss: 5.647152 | lrm: 0.99 | dt: 160ms | tok/sec: 1,638,743 | mfu: 34.9% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.612056 | lrm: 0.99 | dt: 179ms | tok/sec: 1,462,229 | mfu: 31.1% | epoch: 1 | remaining: 298s    
step 00024 (0.8%) | loss: 5.579271 | lrm: 0.99 | dt: 167ms | tok/sec: 1,573,200 | mfu: 33.5% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.545880 | lrm: 0.99 | dt: 171ms | tok/sec: 1,533,025 | mfu: 32.7% | epoch: 1 | remaining: 297s    
step 00026 (0.9%) | loss: 5.513227 | lrm: 0.99 | dt: 216ms | tok/sec: 1,215,068 | mfu: 25.9% | epoch: 1 | remaining: 297s    
step 00027 (1.0%) | loss: 5.481309 | lrm: 0.99 | dt: 317ms | tok/sec: 826,113 | mfu: 17.6% | epoch: 1 | remaining: 297s    
step 00028 (1.1%) | loss: 5.453320 | lrm: 0.99 | dt: 157ms | tok/sec: 1,668,591 | mfu: 35.5% | epoch: 1 | remaining: 297s    
step 00029 (1.1%) | loss: 5.425489 | lrm: 0.99 | dt: 165ms | tok/sec: 1,589,220 | mfu: 33.9% | epoch: 1 | remaining: 296s    
step 00030 (1.2%) | loss: 5.394708 | lrm: 0.99 | dt: 162ms | tok/sec: 1,620,109 | mfu: 34.5% | epoch: 1 | remaining: 296s    
