run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	0	a0	0	ok	0.99677	0.99677	1.314438
2	0	a0	1	ok	0.996458	0.996458	1.3439875000000001
3	0	a1	0	ok	0.997042	0.996458	1.318019
4	0	a1	1	ok	0.996178	0.996178	1.8390459999999997
5	0	a2	0	ok	0.992664	0.992664	0.837314
6	0	a2	1	ok	0.997445	0.992664	1.7619065
7	1	a0	0	ok	0.993599	0.992664	1.95523
8	1	a0	1	ok	0.993168	0.992664	1.5658960000000002
9	1	a1	0	ok	0.997854	0.992664	3.0360074999999997
10	1	a1	1	ok	0.992664	0.992664	1.2858144999999999
11	1	a2	0	ok	0.994496	0.992664	4.990869000000001
12	1	a2	1	ok	0.994131	0.992664	1.6086855
13	2	a0	0	ok	0.993672	0.992664	2.574528
14	2	a0	1	ok	0.993742	0.992664	2.1024480000000003
15	2	a1	0	ok	0.996756	0.992664	2.4786449999999998
16	2	a1	1	ok	0.99714	0.992664	4.0170205
17	2	a2	0	ok	0.989668	0.989668	3.412371500000001
18	2	a2	1	ok	0.989981	0.989668	2.2640640000000003
19	3	a0	0	ok	0.989833	0.989668	4.802589
20	3	a0	1	ok	0.990153	0.989668	3.349248
21	3	a1	0	crash		0.989668	15.783758500000005
22	3	a1	1	ok	0.996919	0.989668	2.516258
23	3	a2	0	ok	0.990541	0.989668	3.2285949999999994
24	3	a2	1	ok	0.988725	0.988725	3.9936719999999997
25	4	a0	0	ok	0.990998	0.988725	5.722004500000001
26	4	a0	1	ok	0.988407	0.988407	7.115984000000001
27	4	a1	0	ok	0.988189	0.988189	4.75575
28	4	a1	1	ok	0.987792	0.987792	3.0561160000000003
29	4	a2	0	ok	1.000112	0.987792	2.9702304999999996
30	4	a2	1	ok	1.000256	0.987792	2.811598
31	5	a0	0	ok	0.995161	0.987792	3.781244
32	5	a0	1	ok	1.005109	0.987792	4.9013285
33	5	a1	0	crash		0.987792	5.806476499999998
34	5	a1	1	ok	0.992287	0.987792	3.9744794999999997
35	5	a2	0	ok	0.991142	0.987792	3.523665
36	5	a2	1	ok	0.988966	0.987792	3.196329
